
# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     552.31
2                     435.03
4                     966.52
8                    1050.91
16                   1180.71
32                   1499.72
64                    547.35
128                  1537.18
256                  1860.65
512                  2788.23
1024                 4165.47
2048                 7657.86
4096                11499.92
8192                23029.02
16384               78063.26
32768              153380.73
65536              303610.11
131072             617468.65
262144            1219383.70
524288            2427249.52

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     536.97
2                     443.85
4                     961.46
8                    1046.55
16                   1173.36
32                   1477.16
64                    542.20
128                  1536.01
256                  1917.31
512                  2817.74
1024                 4391.94
2048                 7732.51
4096                11502.49
8192                22996.17
16384               77088.23
32768              153043.27
65536              303444.27
131072             615685.26
262144            1217716.20
524288            2424517.21

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     541.96
2                     431.78
4                     956.73
8                    1044.29
16                   1152.02
32                   1466.45
64                    525.05
128                  1545.07
256                  1887.37
512                  2789.26
1024                 4153.72
2048                 7534.26
4096                11573.39
8192                22998.88
16384               77401.95
32768              153311.42
65536              303424.83
131072             615979.61
262144            1218202.01
524288            2425562.80

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     567.93
2                     443.47
4                     979.57
8                    1044.54
16                   1162.38
32                   1491.90
64                    540.97
128                  1566.66
256                  1869.44
512                  2793.35
1024                 4042.89
2048                 7678.63
4096                11485.37
8192                23089.98
16384               77044.94
32768              153240.05
65536              303346.04
131072             616641.70
262144            1218650.11
524288            2426454.38

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     544.11
2                     442.46
4                     974.76
8                    1055.43
16                   1178.18
32                   1497.10
64                    550.40
128                  1576.04
256                  1909.18
512                  2804.03
1024                 4111.04
2048                 7617.47
4096                11571.96
8192                23023.17
16384               77204.42
32768              152955.49
65536              303097.35
131072             615357.85
262144            1217586.29
524288            2424100.47

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     549.06
2                     439.10
4                     953.69
8                    1039.85
16                   1163.12
32                   1480.93
64                    548.69
128                  1531.81
256                  1880.30
512                  2795.97
1024                 4097.51
2048                 7567.07
4096                11530.11
8192                23099.01
16384               79712.84
32768              152966.72
65536              303225.82
131072             615806.87
262144            1217915.50
524288            2425356.31

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     522.64
2                     425.26
4                     958.67
8                    1061.93
16                   1179.58
32                   1509.11
64                    501.48
128                  1547.55
256                  1902.11
512                  2646.11
1024                 4105.46
2048                 7497.37
4096                11546.95
8192                22948.90
16384               77017.78
32768              153197.67
65536              303316.97
131072             616077.59
262144            1217987.25
524288            2424622.74

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     531.05
2                     423.35
4                     964.48
8                    1053.87
16                   1163.83
32                   1484.61
64                    507.76
128                  1533.33
256                  1869.46
512                  2791.26
1024                 4129.97
2048                 7666.26
4096                11561.78
8192                23109.47
16384               77356.69
32768              153278.18
65536              303325.80
131072             616107.72
262144            1218537.25
524288            2425962.98

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     549.67
2                     421.55
4                    1007.83
8                    1078.59
16                   1186.64
32                   1492.71
64                    533.50
128                  1532.74
256                  1929.41
512                  2748.99
1024                 4079.21
2048                 7531.75
4096                11580.37
8192                23033.77
16384               77224.32
32768              153068.23
65536              303286.38
131072             615744.92
262144            1218283.48
524288            2424226.80

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     541.90
2                     442.35
4                     976.37
8                    1079.99
16                   1191.01
32                   1513.21
64                    554.72
128                  1577.31
256                  1874.12
512                  2792.51
1024                 4106.33
2048                 7711.72
4096                11521.27
8192                23055.07
16384               77630.32
32768              152871.55
65536              303331.74
131072             615901.23
262144            1218368.48
524288            2425007.45

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     538.67
2                     430.78
4                     990.52
8                    1091.74
16                   1198.41
32                   1519.87
64                    515.20
128                  1535.41
256                  1920.75
512                  2843.76
1024                 4495.26
2048                 7689.19
4096                11444.06
8192                23032.99
16384               77742.61
32768              152710.37
65536              303327.50
131072             615853.24
262144            1217952.32
524288            2424617.15

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     554.13
2                     451.44
4                     977.72
8                    1062.75
16                   1163.49
32                   1486.03
64                    552.30
128                  1594.21
256                  1885.27
512                  2821.89
1024                 4104.28
2048                 7704.21
4096                11542.50
8192                23128.67
16384               78557.78
32768              152779.96
65536              303249.71
131072             615676.41
262144            1217673.26
524288            2424749.71

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     578.70
2                     425.41
4                     962.64
8                    1051.09
16                   1192.44
32                   1490.23
64                    504.82
128                  1575.62
256                  1949.61
512                  2859.70
1024                 4059.73
2048                 7583.34
4096                11536.62
8192                22988.28
16384               77315.92
32768              152664.86
65536              303396.18
131072             616026.06
262144            1218096.53
524288            2424997.01
