
# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     510.19
2                     503.03
4                     454.94
8                     488.29
16                    447.28
32                    536.91
64                    525.89
128                   643.07
256                   895.46
512                  1291.78
1024                 2243.41
2048                 7630.68
4096                11610.61

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     504.49
2                     504.62
4                     451.31
8                     484.83
16                    459.64
32                    547.19
64                    524.47
128                   643.83
256                   900.68
512                  1291.25
1024                 2157.39
2048                 7654.62
4096                11604.78

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     487.96
2                     523.30
4                     447.96
8                     488.88
16                    459.49
32                    531.56
64                    551.74
128                   644.29
256                   914.78
512                  1293.42
1024                 2185.44
2048                 7722.57
4096                11504.15

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     509.69
2                     495.49
4                     460.89
8                     481.82
16                    454.24
32                    538.82
64                    525.29
128                   641.67
256                   892.51
512                  1295.49
1024                 2172.15
2048                 7558.23
4096                14543.46

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     528.90
2                     509.83
4                     454.28
8                     484.84
16                    458.91
32                    534.39
64                    524.70
128                   642.98
256                   887.87
512                  1301.42
1024                 2280.01
2048                 7692.03
4096                11627.52

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     492.34
2                     491.93
4                     424.35
8                     455.00
16                    426.45
32                    504.46
64                    554.08
128                   613.58
256                   908.46
512                  1295.10
1024                 2190.11
2048                 7610.19
4096                11623.39

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     511.01
2                     511.53
4                     459.76
8                     491.10
16                    480.77
32                    533.02
64                    524.77
128                   644.71
256                   904.30
512                  1295.16
1024                 2224.10
2048                 7685.87
4096                11572.94

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     508.05
2                     515.70
4                     454.76
8                     488.17
16                    450.40
32                    520.93
64                    526.55
128                   642.08
256                   898.53
512                  1299.02
1024                 2189.22
2048                 7610.49
4096                11585.57

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     510.93
2                     509.29
4                     461.72
8                     482.97
16                    495.88
32                    545.63
64                    533.74
128                   639.11
256                   887.18
512                  1270.47
1024                 2159.14
2048                 7755.90
4096                11681.69

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     505.70
2                     506.83
4                     459.45
8                     479.33
16                    459.32
32                    516.39
64                    529.83
128                   643.30
256                   919.05
512                  1309.38
1024                 2214.08
2048                 7732.01
4096                11556.72

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    2337.69
2                     424.82
4                     428.78
8                     906.06
16                   1029.31
32                    686.98
64                    532.54
128                   688.23
256                   928.30
512                  1295.85
1024                 2206.22
2048                 7725.26
4096                11508.59

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     507.58
2                     503.38
4                     435.80
8                     466.22
16                    427.56
32                    503.86
64                    562.36
128                   628.79
256                   884.12
512                  1303.37
1024                 2227.28
2048                 7729.93
4096                11464.55

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     523.53
2                     502.68
4                     440.13
8                     472.95
16                    445.89
32                    531.80
64                    525.60
128                   643.60
256                   889.96
512                  1283.99
1024                 2133.31
2048                 7747.00
4096                11609.92
