
# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1076.73
2                    1113.65
4                    1022.80
8                    1134.84
16                    940.88
32                   1121.72
64                   1203.46
128                  1272.35
256                  1589.51
512                  2101.13
1024                 3171.73
2048                 5831.67
4096                12748.06
8192                27056.95
16384               64548.32
32768              127601.30
65536              250993.01
131072             511517.26
262144            1026493.96
524288            2000100.39

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1106.76
2                    1132.03
4                    1040.05
8                    1048.59
16                    974.49
32                   1132.91
64                   1191.09
128                  1200.73
256                  1600.06
512                  2106.42
1024                 3128.00
2048                 5732.61
4096                15095.74
8192                26463.25
16384               64269.18
32768              127716.30
65536              250577.25
131072             510829.96
262144            1006604.80
524288            1999883.75

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1258.41
2                    1093.66
4                    1002.57
8                    1072.84
16                   1001.61
32                   1087.58
64                   1220.04
128                  1211.61
256                  1523.19
512                  2121.90
1024                 3186.78
2048                 5999.46
4096                14077.50
8192                27186.27
16384               64154.43
32768              127803.46
65536              250719.03
131072             510592.95
262144            1022465.89
524288            2012576.64

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1217.90
2                    1146.26
4                    1030.03
8                    1066.92
16                    980.58
32                   1117.04
64                   1198.79
128                  1217.78
256                  1522.45
512                  2120.70
1024                 3146.00
2048                 5799.27
4096                12735.56
8192                26997.99
16384               63709.91
32768              127866.24
65536              250460.44
131072             510422.86
262144            1026669.35
524288            2009885.35

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1172.57
2                    1099.45
4                    1000.79
8                    1045.80
16                    987.75
32                   1149.36
64                   1224.06
128                  1225.61
256                  1516.53
512                  2116.49
1024                 3161.63
2048                 5862.28
4096                12573.60
8192                26478.51
16384               64222.16
32768              127905.67
65536              250692.90
131072             534169.09
262144            1007146.48
524288            2013848.81

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1249.60
2                    1123.51
4                    1012.07
8                    1047.82
16                   1004.98
32                   1132.22
64                   1198.54
128                  1210.95
256                  1414.53
512                  2069.50
1024                 3225.48
2048                 5850.75
4096                12668.77
8192                26795.29
16384               91516.44
32768              134670.15
65536              250626.36
131072             510516.81
262144            1005920.05
524288            2019353.94

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1154.57
2                     914.34
4                     862.87
8                     851.35
16                    943.47
32                    970.49
64                   1095.14
128                  1116.24
256                  1442.33
512                  2061.49
1024                 3151.37
2048                 5774.78
4096                12532.23
8192                26466.56
16384               63372.06
32768              128152.43
65536              250917.05
131072             510878.91
262144            1019779.69
524288            2011697.68

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1251.77
2                    1067.70
4                     999.41
8                    1075.48
16                    917.58
32                   1082.61
64                   1185.56
128                  1152.53
256                  1514.90
512                  2124.38
1024                 3180.41
2048                 5849.51
4096                12760.32
8192                27081.40
16384               65590.50
32768              127795.97
65536              250955.84
131072             537309.61
262144            1006880.60
524288            2011956.60

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1075.36
2                     991.82
4                    1128.05
8                    1044.74
16                    997.25
32                   1156.75
64                   1245.75
128                  1231.58
256                  1524.11
512                  2134.10
1024                 3189.26
2048                 5815.29
4096                12599.07
8192                26570.64
16384               64376.52
32768              128009.43
65536              253166.83
131072             566985.05
262144            1007319.81
524288            2007795.29

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1055.00
2                    1054.53
4                     972.48
8                    1184.46
16                    943.09
32                   1111.80
64                   1192.95
128                  1207.15
256                  1518.62
512                  2093.58
1024                 3138.99
2048                 5822.88
4096                12655.62
8192                26723.34
16384               65310.99
32768              127875.25
65536              285654.52
131072             510711.60
262144            1006311.85
524288            2008992.77

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1169.82
2                    1128.58
4                    1024.15
8                    1107.69
16                    954.46
32                   1120.77
64                   1246.66
128                  1247.26
256                  1539.90
512                  2101.73
1024                 3175.03
2048                 5771.77
4096                12649.33
8192                26702.47
16384               65396.81
32768              127827.85
65536              284459.01
131072             511125.75
262144            1006993.03
524288            2021718.86

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1237.77
2                    1115.81
4                    1063.32
8                    1177.02
16                    978.28
32                   1053.13
64                   1096.69
128                  1086.58
256                  1411.16
512                  2051.04
1024                 3258.43
2048                 5809.56
4096                12559.42
8192                26411.02
16384               65154.66
32768              164842.38
65536              250515.29
131072             510097.15
262144            1005655.22
524288            2001657.18

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                    1164.02
2                    1038.44
4                    1006.57
8                    1048.39
16                    925.32
32                   1055.56
64                   1223.62
128                  1186.68
256                  1486.20
512                  2094.99
1024                 3158.17
2048                 5792.44
4096                12512.66
8192                26303.23
16384               66099.89
32768              127702.40
65536              275402.92
131072             510495.41
262144            1006229.98
524288            2002415.72
