
# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     192.93
2                      99.15
4                     103.87
8                     192.14
16                    153.09
32                    147.33
64                    217.46
128                   296.47
256                   502.11
512                   850.05
1024                 1511.02
2048                 6563.25
4096                 9599.71

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     169.04
2                     118.80
4                     116.35
8                     124.32
16                    192.57
32                    148.38
64                    233.93
128                   324.62
256                   468.99
512                   852.20
1024                 1496.83
2048                 6612.16
4096                12475.90

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     170.26
2                      92.65
4                      86.81
8                      99.53
16                    122.62
32                    198.35
64                    186.37
128                   283.39
256                   458.19
512                   780.68
1024                 1450.13
2048                 6521.95
4096                 9586.03

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     190.09
2                     109.39
4                      94.50
8                     117.35
16                    201.91
32                    155.31
64                    184.33
128                   296.19
256                   462.59
512                   847.93
1024                 1488.51
2048                 6603.24
4096                 9562.24

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     189.72
2                     102.12
4                     100.77
8                     185.07
16                    144.89
32                    159.72
64                    202.66
128                   291.17
256                   464.10
512                   852.22
1024                 1475.45
2048                 6584.87
4096                 9619.86

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     233.73
2                      97.74
4                      95.15
8                     117.00
16                    133.25
32                    144.89
64                    246.90
128                   288.49
256                   481.77
512                   776.82
1024                 1498.31
2048                 6677.68
4096                 9600.35

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     211.12
2                     112.70
4                     114.37
8                     120.81
16                    140.07
32                    165.38
64                    209.44
128                   334.19
256                   493.49
512                   829.50
1024                 1504.91
2048                 6628.88
4096                 9687.46

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     230.36
2                     117.20
4                     131.02
8                     115.55
16                    120.30
32                    163.58
64                    205.78
128                   344.33
256                   534.58
512                   765.82
1024                 1504.38
2048                 6659.16
4096                 9673.82

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     183.23
2                      95.22
4                      86.96
8                      90.34
16                    102.97
32                    194.07
64                    177.88
128                   267.70
256                   411.14
512                   774.94
1024                 1532.75
2048                 6629.15
4096                 9660.96

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     204.91
2                     113.32
4                     113.04
8                     107.00
16                    216.40
32                    164.75
64                    188.11
128                   303.09
256                   474.96
512                   865.62
1024                 1516.08
2048                 6554.37
4096                 9494.68

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     159.63
2                      89.28
4                      90.89
8                      93.66
16                    102.20
32                    210.12
64                    177.15
128                   267.77
256                   410.26
512                   770.28
1024                 1536.63
2048                 8414.98
4096                 9582.90

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     212.77
2                     114.84
4                     111.11
8                     124.59
16                    191.63
32                    163.55
64                    212.17
128                   300.14
256                   466.63
512                   856.19
1024                 1487.54
2048                 6604.24
4096                 9626.24

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     192.96
2                     103.94
4                      99.77
8                     100.39
16                    113.82
32                    225.58
64                    206.20
128                   297.05
256                   466.82
512                   844.69
1024                 1483.47
2048                 6593.56
4096                 9635.07
