
# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      97.67
2                     139.33
4                     159.39
8                      85.73
16                     86.58
32                    146.99
64                    209.50
128                   290.72
256                   371.92
512                  1125.02
1024                 1290.50
2048                 1891.09
4096                 3481.90
8192                 7560.37
16384               13512.53
32768               27206.26
65536               51293.20
131072             101274.08
262144             229386.75
524288             526877.06

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      57.17
2                     112.55
4                     321.70
8                      59.14
16                     73.66
32                     87.50
64                     94.98
128                   290.24
256                   443.56
512                   775.99
1024                 1187.77
2048                 1740.77
4096                 3474.42
8192                 7431.00
16384               13963.46
32768               26810.13
65536               51165.43
131072             101554.29
262144             227939.01
524288             521777.78

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      83.15
2                     161.08
4                     104.07
8                      94.20
16                    105.33
32                    182.85
64                    233.32
128                   244.37
256                   331.33
512                  1093.50
1024                 1381.24
2048                 1815.43
4096                 3442.30
8192                 7684.52
16384               13861.68
32768               26395.69
65536               51630.04
131072             104014.09
262144             233596.12
524288             526762.42

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      91.81
2                     161.33
4                      94.15
8                      91.55
16                    102.69
32                    119.36
64                    175.16
128                   254.46
256                   370.72
512                   921.24
1024                 1509.68
2048                 2007.06
4096                 3538.51
8192                 7772.24
16384               13751.30
32768               26603.77
65536               51550.66
131072             101514.43
262144             229674.86
524288             525122.59

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     106.42
2                     165.73
4                     121.16
8                     117.35
16                    109.56
32                    171.51
64                    180.72
128                   227.17
256                   355.00
512                  1258.70
1024                 1389.76
2048                 1951.33
4096                 3461.15
8192                 7442.12
16384               13524.35
32768               26037.39
65536               50850.78
131072             108074.81
262144             230194.71
524288             522402.77

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      70.49
2                     107.23
4                      67.86
8                      85.87
16                     83.17
32                    123.13
64                    155.41
128                   207.33
256                   240.03
512                   898.39
1024                 1257.70
2048                 1946.30
4096                 3576.94
8192                 7643.62
16384               13681.12
32768               26412.45
65536               51701.96
131072             102227.85
262144             228315.74
524288             521364.28

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      80.03
2                     212.14
4                     100.99
8                     119.96
16                    106.59
32                    142.23
64                    181.01
128                   262.80
256                   310.91
512                   944.15
1024                 1169.29
2048                 1725.10
4096                 3252.37
8192                 7410.93
16384               15296.46
32768               26260.13
65536               52204.07
131072             102097.94
262144             228527.14
524288             525435.82

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      79.76
2                     130.90
4                      70.93
8                      89.33
16                    121.33
32                    115.80
64                    193.93
128                   251.99
256                   363.93
512                   828.38
1024                 1353.20
2048                 1939.38
4096                 3585.76
8192                 7463.24
16384               14015.64
32768               26128.00
65536               53694.74
131072             101604.07
262144             227846.51
524288             524471.86

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                     103.69
2                      89.54
4                     110.14
8                     133.07
16                    127.95
32                    141.75
64                    204.29
128                   260.88
256                   400.78
512                  1091.49
1024                 1979.82
2048                 2217.98
4096                 3792.40
8192                 7485.14
16384               13473.13
32768               27141.01
65536               51491.82
131072             102986.75
262144             228932.23
524288             526740.23

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      87.40
2                     107.41
4                      65.98
8                     146.30
16                    111.53
32                    191.66
64                    193.66
128                   299.44
256                   332.88
512                  1105.20
1024                 1289.80
2048                 1833.99
4096                 3494.03
8192                 7592.20
16384               13660.39
32768               26356.00
65536               52558.81
131072             101973.87
262144             229990.65
524288             526822.64

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      98.06
2                     131.83
4                      93.79
8                     128.32
16                    109.27
32                    193.17
64                    195.39
128                   234.41
256                   392.66
512                  1044.89
1024                 1434.78
2048                 1982.12
4096                 3526.35
8192                 7579.85
16384               13797.83
32768               25599.11
65536               52463.95
131072             102265.01
262144             229534.98
524288             524844.81

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      91.26
2                      87.75
4                      91.55
8                     142.00
16                    123.65
32                    157.12
64                    221.00
128                   249.15
256                   332.86
512                   919.29
1024                 1154.31
2048                 1670.35
4096                 3537.14
8192                 7624.51
16384               13822.49
32768               26641.57
65536               51793.99
131072             102399.17
262144             228291.78
524288             525057.26

# OSU MPI Allgather Latency Test v5.7
# Size       Avg Latency(us)
1                      79.26
2                     120.46
4                      63.05
8                      59.93
16                     89.37
32                    116.50
64                    192.19
128                   224.54
256                   307.17
512                  1119.68
1024                 1408.60
2048                 1974.14
4096                 3271.20
8192                 7289.87
16384               14182.65
32768               26733.49
65536               51391.22
131072             101337.06
262144             228967.53
524288             529030.23
