
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      60.83
2                      52.16
4                      51.81
8                      54.56
16                     20.16
32                     19.54
64                     27.07
128                    30.22
256                    37.01
512                    48.12
1024                  145.69
2048                  168.48
4096                  171.03
8192                  259.96
16384                 716.69
32768                1131.97
65536                2123.55
131072               3693.13
262144               7873.90
524288              12566.99
1048576             24371.00

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      63.39
2                      54.52
4                      58.95
8                      54.49
16                     19.77
32                     23.83
64                     25.71
128                    28.53
256                    34.02
512                    52.29
1024                  140.00
2048                  173.82
4096                  178.78
8192                  274.74
16384                 744.77
32768                1169.15
65536                2078.05
131072               3723.26
262144               6544.09
524288              12468.26
1048576             24596.46

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      57.91
2                      51.51
4                      51.91
8                      53.24
16                     20.84
32                     19.92
64                     27.62
128                    31.64
256                    34.62
512                    50.19
1024                  132.01
2048                  169.04
4096                  167.76
8192                  258.81
16384                 717.85
32768                1136.50
65536                2065.61
131072               3726.86
262144               6526.57
524288              12484.04
1048576             24594.94

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      63.46
2                      51.27
4                      49.76
8                      54.64
16                     16.64
32                     17.02
64                     24.12
128                    27.61
256                    31.87
512                    43.23
1024                  135.88
2048                  174.74
4096                  176.50
8192                  265.12
16384                 722.89
32768                1148.28
65536                2293.94
131072               4066.32
262144               6558.69
524288              12431.14
1048576             24645.21

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      57.57
2                      51.45
4                      58.99
8                      53.54
16                     20.15
32                     19.72
64                     25.46
128                    28.83
256                    36.40
512                    44.99
1024                  131.99
2048                  170.50
4096                  166.54
8192                  249.00
16384                 717.20
32768                1118.16
65536                2054.30
131072               3638.38
262144               6552.97
524288              13668.99
1048576             24523.88

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      62.41
2                      52.78
