
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      84.69
2                      79.54
4                      79.59
8                      79.76
16                     78.71
32                     82.25
64                     90.64
128                   109.19
256                   139.70
512                   218.76
1024                   95.13
2048                  132.29
4096                  204.86
8192                  311.57
16384                1003.19
32768                1817.21
65536                3904.61
131072               7378.88
262144              14148.01
524288              27768.75
1048576             55498.45

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      83.13
2                      77.01
4                      76.76
8                      77.31
16                     77.22
32                     80.87
64                     89.69
128                   109.97
256                   138.04
512                   217.83
1024                   95.01
2048                  127.67
4096                  200.42
8192                  313.66
16384                1003.99
32768                1824.80
65536                3910.09
131072               7356.26
262144              14318.87
524288              27766.83
1048576             55234.01

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      82.87
2                      77.25
4                      77.37
8                      78.02
16                     77.69
32                     81.05
64                     89.96
128                   110.85
256                   138.73
512                   217.59
1024                   94.98
2048                  128.02
4096                  202.38
8192                  311.80
16384                1007.00
32768                1819.36
65536                3927.79
131072               7360.71
262144              14187.81
524288              27705.96
1048576             55518.30

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      85.22
2                      79.65
4                      80.05
8                      80.39
16                     79.18
32                     82.49
64                     91.03
128                   110.43
256                   139.42
512                   218.54
1024                   95.11
2048                  130.75
4096                  203.37
8192                  313.76
16384                1004.40
32768                1827.18
65536                3912.24
131072               7346.58
262144              14141.18
524288              27747.58
1048576             55209.88

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      84.91
2                      79.04
4                      79.53
8                      80.01
16                     79.28
32                     82.48
64                     92.57
128                   110.03
256                   139.45
512                   218.44
1024                   94.99
2048                  131.33
4096                  204.24
8192                  313.42
16384                1003.68
32768                1810.51
65536                3920.55
131072               7335.42
262144              14110.42
524288              27594.76
1048576             55368.09

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      86.57
2                      81.50
4                      81.05
8                      81.81
16                     80.60
32                     83.55
64                     92.25
128                   111.14
256                   140.82
512                   219.24
1024                   96.52
2048                  132.50
4096                  200.28
8192                  313.55
16384                1007.20
32768                1862.88
65536                3961.10
131072               7357.04
262144              14127.54
524288              27760.76
1048576             55290.04

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      84.20
2                      78.63
4                      78.89
8                      79.50
16                     78.45
32                     81.82
64                     91.15
128                   108.62
256                   139.34
512                   218.12
1024                   95.14
2048                  130.42
4096                  202.22
8192                  312.22
16384                1002.35
32768                1832.59
65536                3936.11
131072               7319.72
262144              14140.60
524288              27677.17
1048576             55322.99

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      83.59
2                      77.68
4                      77.27
8                      77.69
16                     77.47
32                     81.24
64                     90.23
128                   108.76
256                   138.21
512                   217.79
1024                   94.95
2048                  132.17
4096                  202.48
8192                  314.30
16384                1006.18
32768                1820.92
65536                3946.42
131072               7330.99
262144              14074.69
524288              27643.76
1048576             55472.00

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      83.51
2                      77.91
4                      78.08
8                      78.50
16                     77.72
32                     81.24
64                     90.43
128                   108.25
256                   139.39
512                   218.12
1024                   94.95
2048                  129.09
4096                  204.25
8192                  312.90
16384                1002.51
32768                1816.46
65536                3908.05
131072               7356.53
262144              14171.41
524288              27662.01
1048576             55336.79

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      83.40
2                      77.81
4                      78.04
8                      78.71
16                     77.91
32                     81.46
64                     89.93
128                   110.22
256                   138.84
512                   217.77
1024                   95.03
2048                  130.35
4096                  201.75
8192                  312.70
16384                1005.77
32768                1829.52
65536                3945.71
131072               7275.47
262144              14100.68
524288              27752.33
1048576             55817.25

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      85.22
2                      79.50
4                      79.87
8                      80.59
16                     79.34
32                     82.67
64                     91.12
128                   108.57
256                   139.36
512                   219.02
1024                   94.97
2048                  132.23
4096                  205.91
8192                  312.42
16384                1012.71
32768                1820.62
65536                3924.83
131072               7308.12
262144              14088.73
524288              27654.94
1048576             55335.48
