
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.32
2                      44.30
4                      44.36
8                      45.47
16                     40.07
32                     41.26
64                     44.83
128                    49.73
256                    59.78
512                    75.84
1024                  116.26
2048                 1244.96
4096                 1797.86
8192                 3409.56
16384                6845.74
32768               12589.88
65536               26114.98
131072              49052.78
262144              97772.20
524288             192849.72
1048576            382584.49

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.46
2                      44.23
4                      44.27
8                      45.52
16                     40.11
32                     41.18
64                     44.95
128                    49.65
256                    59.60
512                    75.90
1024                  117.35
2048                 1251.25
4096                 1792.01
8192                 3394.15
16384                6826.63
32768               12597.22
65536               26028.29
131072              49009.07
262144              97743.57
524288             193388.69
1048576            384322.36

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      50.99
2                      45.74
4                      45.72
8                      46.91
16                     41.88
32                     42.99
64                     47.35
128                    51.42
256                    61.13
512                    76.64
1024                  117.49
2048                 1248.86
4096                 1800.14
8192                 3409.92
16384                6770.40
32768               12514.95
65536               25958.15
131072              49023.23
262144              97866.68
524288             193409.28
1048576            383969.72

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      48.65
2                      43.37
4                      43.36
8                      44.73
16                     39.40
32                     40.62
64                     44.52
128                    49.09
256                    59.12
512                    75.90
1024                  116.19
2048                 1247.18
4096                 1801.57
8192                 3400.38
16384                6863.32
32768               12666.55
65536               26054.83
131072              49293.45
262144              97973.92
524288             192972.27
1048576            382456.67

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      48.72
2                      43.66
4                      43.69
8                      44.73
16                     39.44
32                     41.04
64                     44.66
128                    49.34
256                    59.82
512                    78.58
1024                  116.42
2048                 1247.61
4096                 1810.60
8192                 3435.34
16384                6785.70
32768               12532.94
65536               26018.62
131072              49125.10
262144              97864.76
524288             193479.87
1048576            384432.80

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.10
2                      44.59
4                      44.67
8                      45.89
16                     40.30
32                     44.88
64                     45.26
128                    49.69
256                    59.25
512                    76.28
1024                  115.42
2048                 1248.85
4096                 1800.53
8192                 3436.55
16384                6809.19
32768               12550.00
65536               25984.93
131072              49129.90
262144              97749.04
524288             192702.08
1048576            382547.20

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      50.05
2                      45.54
4                      46.00
8                      46.55
16                     41.11
32                     42.80
64                     46.51
128                    51.72
256                    61.13
512                    77.18
1024                  118.57
2048                 1241.23
4096                 1796.86
8192                 3381.90
16384                6855.62
32768               12645.18
65536               26073.67
131072              49155.71
262144              97845.56
524288             192987.98
1048576            382663.16

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.20
2                      43.89
4                      44.05
8                      45.24
16                     39.58
32                     40.90
64                     44.82
128                    49.61
256                    59.63
512                    75.79
1024                  116.19
2048                 1245.54
4096                 1796.61
8192                 3423.92
16384                6788.44
32768               12555.13
65536               26020.28
131072              49088.59
262144              97854.36
524288             193047.17
1048576            383021.39

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.36
2                      44.65
4                      44.51
8                      45.60
16                     39.83
32                     41.46
64                     45.40
128                    50.26
256                    60.07
512                    75.64
1024                  117.18
2048                 1245.91
4096                 1794.31
8192                 3430.24
16384                6912.39
32768               12692.92
65536               26025.11
131072              49263.92
262144              98121.06
524288             193892.94
1048576            385086.67

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      51.50
2                      43.46
4                      43.39
8                      44.60
16                     39.37
32                     40.43
64                     44.57
128                    48.99
256                    59.11
512                    75.35
1024                  115.39
2048                 1245.34
4096                 1791.80
8192                 3408.88
16384                6789.95
32768               12524.89
65536               25971.63
131072              49046.66
262144              97770.77
524288             192808.78
1048576            382810.42

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      49.23
2                      44.09
4                      44.10
8                      45.18
16                     39.78
32                     41.16
64                     45.13
128                    49.84
256                    59.78
512                    75.83
1024                  116.34
2048                 1250.08
4096                 1796.46
8192                 3425.10
16384                6808.15
32768               12663.68
65536               26010.37
131072              49143.90
262144              97850.96
524288             193209.78
1048576            383501.06
