
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      45.96
2                      43.40
4                      43.43
8                      44.02
16                      9.26
32                      9.68
64                     10.96
128                    13.31
256                    15.90
512                    21.54
1024                   93.97
2048                  109.47
4096                  131.39
8192                  205.21
16384                 644.41
32768                1000.73
65536                2207.92
131072               3604.49
262144               6226.07
524288              11882.37
1048576             23349.95

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      46.41
2                      43.49
4                      43.63
8                      43.81
16                      9.11
32                      9.61
64                     11.01
128                    12.88
256                    15.97
512                    21.35
1024                   91.81
2048                  107.78
4096                  131.63
8192                  206.94
16384                 653.82
32768                1011.63
65536                2178.29
131072               3634.38
262144               6202.77
524288              11870.28
1048576             23225.82

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      45.97
2                      43.48
4                      43.80
8                      44.11
16                      9.29
32                      9.84
64                     10.99
128                    12.88
256                    15.75
512                    21.28
1024                   91.59
2048                  108.33
4096                  130.30
8192                  208.57
16384                 644.32
32768                1000.85
65536                2185.74
131072               3622.60
262144               6190.49
524288              11871.39
1048576             23226.00

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      46.37
2                      43.71
4                      43.81
8                      44.51
16                      9.40
32                      9.83
64                     11.20
128                    12.98
256                    15.82
512                    21.51
1024                   91.43
2048                  108.16
4096                  131.49
8192                  206.14
16384                 644.31
32768                 999.23
65536                2186.16
131072               3570.03
262144               6210.73
524288              11909.31
1048576             23453.00

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      45.52
2                      42.88
4                      43.05
8                      43.41
16                      9.11
32                      9.51
64                     10.79
128                    12.73
256                    15.67
512                    21.32
1024                   91.67
2048                  109.32
4096                  130.71
8192                  205.75
16384                 644.39
32768                 996.56
65536                2237.46
131072               3527.15
262144               6167.10
524288              11803.17
1048576             23377.83

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      45.44
2                      43.09
4                      43.28
8                      44.01
16                      9.23
32                      9.67
64                     11.00
128                    12.91
256                    15.92
512                    21.47
1024                   91.81
2048                  108.16
4096                  131.03
8192                  207.69
16384                 643.31
32768                 998.43
65536                2180.19
131072               3592.13
262144               6144.18
524288              11895.08
1048576             23330.65

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      45.11
2                      42.59
4                      42.80
8                      43.42
16                      9.19
32                      9.54
64                     11.09
128                    12.74
256                    15.68
512                    21.66
1024                   92.90
2048                  109.71
4096                  130.84
8192                  206.97
16384                 643.85
32768                 997.81
65536                2181.17
131072               3613.52
262144               6164.95
524288              11844.68
1048576             23170.45

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      45.59
2                      43.07
4                      43.26
8                      44.02
16                      9.28
32                      9.68
64                     10.98
128                    12.87
256                    15.87
512                    21.58
1024                   91.89
2048                  108.00
4096                  131.34
8192                  206.99
16384                 644.49
32768                 998.42
65536                2179.66
131072               3570.01
262144               6167.62
524288              12044.26
1048576             23238.55

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      46.04
2                      43.47
4                      43.69
8                      44.39
16                      9.35
32                      9.82
64                     10.99
128                    12.97
256                    15.93
512                    21.60
1024                   92.22
2048                  108.00
4096                  130.76
8192                  208.99
16384                 643.87
32768                1000.23
65536                2144.92
131072               3630.45
262144               6206.23
524288              11860.30
1048576             23193.50

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      46.12
2                      43.45
4                      43.58
8                      44.09
16                      9.25
32                      9.65
64                     14.73
128                    12.99
256                    15.88
512                    21.55
1024                   91.85
2048                  107.76
4096                  130.00
8192                  207.76
16384                 644.82
32768                 999.30
65536                2208.98
131072               3580.93
262144               6153.43
524288              11875.91
1048576             23265.31

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      45.81
2                      43.07
4                      43.41
8                      44.02
16                      9.33
32                      9.72
64                     11.11
128                    12.96
256                    15.98
512                    21.73
1024                   91.79
2048                  108.14
4096                  132.75
8192                  205.75
16384                 644.82
32768                1000.88
65536                2146.43
131072               3615.12
262144               6148.81
524288              11902.96
1048576             23351.68
