
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      29.75
2                      23.68
4                      22.70
8                      23.41
16                     17.54
32                     17.97
64                     19.79
128                    35.46
256                    36.79
512                    57.19
1024                   93.53
2048                 1756.95
4096                 2570.49
8192                 4386.32
16384                9697.43
32768               16329.77
65536               27570.89
131072              44214.77
262144              76179.15
524288             150490.77
1048576            305299.14

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      32.08
2                      12.68
4                      23.95
8                      18.31
16                     15.01
32                     15.39
64                     25.13
128                    39.41
256                    45.96
512                    45.09
1024                   85.23
2048                 1702.05
4096                 2323.89
8192                 3735.90
16384                9300.40
32768               14045.67
65536               24161.97
131072              41872.63
262144              76398.80
524288             151298.98
1048576            306968.24

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.23
2                      10.16
4                       9.97
8                      10.80
16                     11.11
32                     11.64
64                     13.12
128                    16.71
256                    22.73
512                    35.33
1024                   61.82
2048                 1157.51
4096                 1661.85
8192                 3208.76
16384                6333.12
32768               10775.75
65536               20139.69
131072              39208.98
262144              77894.81
524288             155048.42
1048576            310583.94

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.43
2                      10.58
4                      10.53
8                      11.22
16                     11.52
32                     12.08
64                     13.56
128                    16.99
256                    23.13
512                    35.83
1024                   61.69
2048                 1156.32
4096                 1673.47
8192                 3155.58
16384                6294.92
32768               10767.65
65536               20138.99
131072              39179.91
262144              77899.78
524288             155053.07
1048576            310129.01

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.83
2                      12.01
4                      11.99
8                      12.63
16                     13.08
32                     13.59
64                     15.23
128                    18.86
256                    24.67
512                    36.70
1024                   62.46
2048                 1164.25
4096                 1663.68
8192                 3137.57
16384                6323.89
32768               10820.49
65536               20150.67
131072              39208.07
262144              77932.26
524288             155065.44
1048576            310480.31

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.99
2                      10.92
4                      10.86
8                      11.50
16                     11.87
32                     12.40
64                     13.79
128                    17.20
256                    23.26
512                    35.63
1024                   62.25
2048                 1160.66
4096                 1655.01
8192                 3156.50
16384                6282.18
32768               10791.33
65536               20157.73
131072              39216.51
262144              77910.94
524288             155057.28
1048576            310454.54

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.85
2                      11.04
4                      11.31
8                      11.65
16                     12.12
32                     12.55
64                     14.01
128                    17.48
256                    23.79
512                    36.51
1024                   62.58
2048                 1158.78
4096                 1659.98
8192                 3119.38
16384                6382.25
32768               10878.66
65536               20191.56
131072              39257.53
262144              77929.76
524288             155075.37
1048576            310248.02

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.10
2                       9.98
4                       9.92
8                      10.71
16                     11.04
32                     11.54
64                     13.01
128                    16.37
256                    22.39
512                    35.47
1024                   61.31
2048                 1165.69
4096                 1662.00
8192                 3167.77
16384                6503.33
32768               10984.44
65536               20250.33
131072              39381.64
262144              77957.96
524288             155114.58
1048576            310342.89

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.57
2                      10.61
4                      10.59
8                      12.44
16                     11.55
32                     12.15
64                     13.63
128                    17.51
256                    23.59
512                    36.05
1024                   61.82
2048                 1160.02
4096                 1663.62
8192                 3167.47
16384                6295.73
32768               10778.02
65536               20123.96
131072              39179.71
262144              77892.36
524288             155041.39
1048576            310209.72

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.27
2                      11.31
4                      11.21
8                      12.08
16                     12.39
32                     12.93
64                     14.44
128                    17.90
256                    24.24
512                    37.43
1024                   62.90
2048                 1162.42
4096                 1682.82
8192                 3171.73
16384                6277.63
32768               10751.54
65536               20111.05
131072              39169.82
262144              77868.84
524288             155027.77
1048576            310408.82

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.82
2                      12.14
4                      12.05
8                      12.83
16                     13.26
32                     13.96
64                     15.48
128                    18.78
256                    25.02
512                    37.19
1024                   63.19
2048                 1156.53
4096                 1659.24
8192                 3110.87
16384                6305.67
32768               10786.81
65536               20140.63
131072              39192.44
262144              77799.80
524288             155016.76
1048576            310322.78

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      13.99
2                      10.03
4                       9.99
8                      10.56
16                     10.86
32                     11.39
64                     12.97
128                    16.64
256                    22.84
512                    35.38
1024                   61.78
2048                 1155.53
4096                 1659.20
8192                 3146.03
16384                6278.00
32768               10751.93
65536               20132.76
131072              39185.69
262144              77932.74
524288             155070.29
1048576            310389.41

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.55
2                      11.41
4                      11.33
8                      11.85
16                     12.27
32                     12.90
64                     14.42
128                    18.06
256                    24.14
512                    36.47
1024                   62.45
2048                 1158.24
4096                 1662.07
8192                 3149.78
16384                6333.58
32768               10787.39
65536               20138.52
131072              39180.07
262144              77900.09
524288             155030.44
1048576            310310.01

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.91
2                      11.04
4                      11.00
8                      11.46
16                     11.80
32                     12.41
64                     14.06
128                    17.44
256                    23.50
512                    36.19
1024                   62.85
2048                 1158.04
4096                 1674.17
8192                 3167.96
16384                6263.89
32768               10763.18
65536               20122.67
131072              39167.43
262144              77884.63
524288             155028.45
1048576            310322.79

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.68
2                      10.45
4                      10.43
8                      11.09
16                     11.35
32                     12.00
64                     13.53
128                    16.81
256                    22.92
512                    35.50
1024                   62.16
2048                 1157.50
4096                 1662.21
8192                 3140.44
16384                6297.38
32768               10800.83
65536               20154.99
131072              39200.73
262144              77894.73
524288             155032.21
1048576            310489.56
