
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      71.97
2                      72.82
4                      71.36
8                      70.05
16                     73.23
32                     73.58
64                     72.01
128                    86.40
256                    85.95
512                    96.37
1024                  112.32
2048                  137.80
4096                  203.67
8192                  426.84
16384                 924.10
32768                1787.50
65536                3987.71
131072               7694.05
262144              13095.99
524288              24399.26
1048576             48658.27

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      67.20
2                      68.07
4                      68.05
8                      67.95
16                     67.73
32                     67.87
64                     69.69
128                    74.94
256                    85.51
512                    90.04
1024                  104.24
2048                  131.06
4096                  191.89
8192                  362.91
16384                 664.95
32768                1317.19
65536                3054.05
131072               5617.32
262144              11043.40
524288              23785.73
1048576             47872.28

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      66.60
2                      68.41
4                      67.93
8                      68.26
16                     68.49
32                     68.46
64                     69.47
128                    76.78
256                    85.45
512                    90.06
1024                  104.14
2048                  131.02
4096                  192.43
8192                  364.66
16384                 667.83
32768                1333.10
65536                3061.76
131072               5679.04
262144              11183.97
524288              23680.41
1048576             47657.85

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      66.79
2                      68.08
4                      68.27
8                      67.97
16                     67.63
32                     67.64
64                     69.72
128                    75.06
256                    89.49
512                    90.65
1024                  104.82
2048                  131.64
4096                  192.29
8192                  360.02
16384                 667.15
32768                1353.98
65536                3070.29
131072               5652.02
262144              11176.30
524288              23846.58
1048576             47540.59

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      67.25
2                      68.11
4                      68.30
8                      67.34
16                     67.31
32                     67.91
64                     74.22
128                    75.12
256                    90.18
512                    90.99
1024                  105.01
2048                  133.20
4096                  193.61
8192                  431.64
16384                 758.06
32768                1446.61
65536                3339.60
131072               9618.28
262144              11087.41
524288              23992.20
1048576             47520.91

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      69.82
2                      68.00
4                      68.23
8                      67.47
16                     67.14
32                     67.80
64                     70.60
128                    75.29
256                    88.43
512                    90.71
1024                  104.82
2048                  131.79
4096                  191.46
8192                  362.36
16384                 665.90
32768                1340.73
65536                3064.43
131072               5609.02
262144              11127.42
524288              23873.59
1048576             49747.35

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      67.41
2                      68.47
4                      68.60
8                      68.56
16                     68.11
32                     68.09
64                     72.97
128                    75.45
256                    86.60
512                    90.70
1024                  104.59
2048                  131.15
4096                  191.86
8192                  364.46
16384                 662.52
32768                1348.51
65536                3056.76
131072               5642.68
262144              11127.48
524288              23963.23
1048576             47512.25

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      67.09
2                      68.23
4                      68.18
8                      67.54
16                     67.81
32                     67.93
64                     69.47
128                    74.98
256                    88.23
512                    90.75
1024                  104.70
2048                  131.42
4096                  201.37
8192                  365.58
16384                 665.71
32768                1337.17
65536                3058.29
131072               5633.71
262144              11149.32
524288              23720.70
1048576             47865.31

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      67.17
2                      68.18
4                      68.34
8                      68.06
16                     67.35
32                     67.91
64                     70.07
128                    75.13
256                    88.86
512                    90.43
1024                  105.45
2048                  131.27
4096                  192.20
8192                  366.90
16384                 667.89
32768                1334.98
65536                3037.80
131072               5714.76
262144              11012.68
524288              23810.63
1048576             49327.59

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      67.25
2                      68.24
4                      68.32
8                      68.02
16                     67.39
32                     67.70
64                     69.02
128                    75.15
256                    83.45
512                    90.46
1024                  104.70
2048                  131.13
4096                  192.17
8192                  365.51
16384                 682.74
32768                1347.13
65536                3072.48
131072               5651.53
262144              11096.23
524288              23917.80
1048576             47542.47

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      66.75
2                      67.77
4                      67.96
8                      67.27
16                     67.19
32                     67.57
64                     69.28
128                    74.66
256                    88.12
512                    90.07
1024                  104.49
2048                  130.70
4096                  191.70
8192                  364.06
16384                 666.01
32768                1331.67
65536                3073.42
131072               5646.85
262144              11103.89
524288              23724.67
1048576             47705.32
