
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      76.02
2                      70.98
4                      70.64
8                      79.89
16                     69.14
32                     70.96
64                     82.44
128                    78.65
256                    86.61
512                    93.96
1024                  132.01
2048                  138.66
4096                  211.82
8192                  358.17
16384                 776.06
32768                1480.66
65536                3349.73
131072               5981.22
262144              11128.00
524288              24483.15
1048576             48114.65

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      66.19
2                      67.43
4                      67.27
8                      67.30
16                     66.59
32                     66.50
64                     68.54
128                    74.87
256                    82.74
512                    90.28
1024                  104.52
2048                  132.18
4096                  192.27
8192                  366.29
16384                 667.32
32768                1328.40
65536                3089.56
131072               5594.75
262144              10948.57
524288              23662.49
1048576             47465.15

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      66.89
2                      68.11
4                      67.91
8                      67.04
16                     67.02
32                     67.76
64                     69.61
128                    75.00
256                    89.04
512                    92.75
1024                  104.82
2048                  131.81
4096                  192.22
8192                  363.60
16384                 668.92
32768                1351.73
65536                3067.00
131072               5628.07
262144              11073.68
524288              23593.90
1048576             47618.99

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      67.49
2                      68.11
4                      68.71
8                      68.08
16                     67.56
32                     67.87
64                     70.02
128                    75.01
256                    93.10
512                    93.92
1024                  105.09
2048                  131.82
4096                  192.80
8192                  355.97
16384                 666.79
32768                1357.22
65536                3065.10
131072               5642.20
262144              11115.30
524288              23623.20
1048576             47257.40

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      68.08
2                      68.91
4                      69.17
8                      67.64
16                     67.37
32                     68.22
64                     69.67
128                    75.06
256                    91.28
512                    90.57
1024                  104.60
2048                  131.34
4096                  192.33
8192                  359.66
16384                 663.73
32768                1334.19
65536                3083.37
131072               5610.89
262144              11058.13
524288              23743.62
1048576             47336.79

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      67.00
2                      68.07
4                      68.20
8                      67.48
16                     67.23
32                     67.52
64                     69.59
128                    74.85
256                    88.70
512                    90.38
1024                  106.84
2048                  130.94
4096                  192.18
8192                  363.00
16384                 662.76
32768                1319.23
65536                3066.02
131072               5613.01
262144              11090.02
524288              23812.22
1048576             47609.80

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      66.69
2                      67.92
4                      68.20
8                      68.45
16                     67.73
32                     67.73
64                     69.55
128                    74.84
256                    91.90
512                    90.72
1024                  104.99
2048                  131.45
4096                  192.32
8192                  364.28
16384                 670.75
32768                1340.31
65536                3065.12
131072               5636.44
262144              11073.14
524288              23804.58
1048576             47286.19

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      67.30
2                      68.09
4                      68.33
8                      68.59
16                     67.96
32                     67.94
64                     72.24
128                    74.94
256                    87.22
512                    90.70
1024                  104.90
2048                  131.37
4096                  194.80
8192                  362.88
16384                 662.02
32768                1344.83
65536                3189.68
131072               5691.40
262144              11100.90
524288              23803.31
1048576             47495.48

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      67.59
2                      68.25
4                      68.47
8                      68.22
16                     67.45
32                     68.35
64                     69.55
128                    75.01
256                    89.24
512                    90.65
1024                  104.90
2048                  131.18
4096                  191.93
8192                  362.26
16384                 664.85
32768                1338.82
65536                3094.02
131072               5666.36
262144              11020.70
524288              23599.20
1048576             47372.32

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      66.74
2                      67.86
4                      68.61
8                      67.97
16                     67.26
32                     67.56
64                     69.77
128                    75.25
256                    92.96
512                    90.78
1024                  104.86
2048                  131.20
4096                  192.49
8192                  361.10
16384                 663.83
32768                1334.77
65536                3051.06
131072               5660.49
262144              11043.13
524288              23743.38
1048576             47840.84

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      67.88
2                      68.52
4                      68.71
8                      67.87
16                     67.74
32                     67.75
64                     69.80
128                    75.27
256                    86.13
512                    90.85
1024                  104.81
2048                  132.58
4096                  192.26
8192                  371.39
16384                 667.91
32768                1348.95
65536                3071.19
131072               5637.21
262144              10953.17
524288              23656.55
1048576             47561.88
