
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.42
2                      24.61
4                      24.74
8                      24.88
16                     23.25
32                     23.65
64                     24.82
128                    29.07
256                    31.71
512                    35.39
1024                   43.68
2048                   59.41
4096                   91.87
8192                  154.76
16384                 289.27
32768                 542.86
65536                1028.19
131072               2162.30
262144               4686.33
524288               9433.05
1048576             19144.07

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.63
2                      25.09
4                      24.94
8                      25.28
16                     23.58
32                     23.91
64                     25.00
128                    28.99
256                    31.56
512                    35.45
1024                   44.16
2048                   59.91
4096                   92.05
8192                  155.26
16384                 290.24
32768                 539.26
65536                1027.26
131072               2156.73
262144               4715.89
524288               9471.70
1048576             19163.40

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.03
2                      25.51
4                      25.61
8                      25.71
16                     24.42
32                     24.53
64                     25.80
128                    29.86
256                    32.49
512                    36.00
1024                   44.18
2048                   60.09
4096                   92.58
8192                  154.62
16384                 289.84
32768                 541.55
65536                1018.43
131072               2157.30
262144               4708.12
524288               9474.80
1048576             19196.78

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.34
2                      25.38
4                      25.35
8                      25.72
16                     24.02
32                     24.56
64                     25.52
128                    29.66
256                    32.15
512                    36.03
1024                   43.98
2048                   59.81
4096                   92.01
8192                  154.73
16384                 290.59
32768                 538.85
65536                1029.01
131072               2154.61
262144               4726.25
524288               9491.12
1048576             19237.88

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.89
2                      25.29
4                      25.17
8                      25.31
16                     23.47
32                     24.04
64                     25.15
128                    29.39
256                    32.04
512                    36.08
1024                   43.84
2048                   59.55
4096                   91.84
8192                  154.44
16384                 288.99
32768                 534.31
65536                1036.41
131072               2162.46
262144               4721.67
524288               9489.51
1048576             19186.86

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.15
2                      25.60
4                      25.68
8                      25.97
16                     24.37
32                     24.62
64                     25.89
128                    30.11
256                    32.83
512                    36.75
1024                   44.61
2048                   60.27
4096                   92.03
8192                  154.33
16384                 288.96
32768                 543.66
65536                1020.89
131072               2155.98
262144               4667.27
524288               9428.28
1048576             19190.34

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.79
2                      24.66
4                      24.68
8                      25.00
16                     23.36
32                     23.56
64                     24.73
128                    29.01
256                    31.54
512                    35.62
1024                   44.12
2048                   59.57
4096                   91.87
8192                  155.03
16384                 291.39
32768                 535.09
65536                1035.44
131072               2153.65
262144               4699.04
524288               9511.29
1048576             19265.24

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.78
2                      25.01
4                      25.06
8                      25.35
16                     23.60
32                     23.71
64                     24.70
128                    29.11
256                    31.68
512                    35.53
1024                   43.60
2048                   59.12
4096                   92.41
8192                  154.53
16384                 289.78
32768                 536.71
65536                1035.55
131072               2157.65
262144               4738.24
524288               9495.54
1048576             19202.39

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.29
2                      25.47
4                      25.45
8                      25.61
16                     23.97
32                     24.48
64                     25.64
128                    29.83
256                    32.49
512                    36.37
1024                   44.35
2048                   60.05
4096                   92.15
8192                  154.69
16384                 290.46
32768                 540.19
65536                1029.08
131072               2163.52
262144               4698.42
524288               9466.72
1048576             19212.21

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.31
2                      24.56
4                      24.48
8                      24.68
16                     23.10
32                     23.51
64                     24.67
128                    28.75
256                    31.33
512                    35.17
1024                   43.67
2048                   59.70
4096                   92.26
8192                  155.25
16384                 289.70
32768                 539.09
65536                1034.19
131072               2158.20
262144               4699.30
524288               9477.36
1048576             19316.03

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      25.99
2                      24.84
4                      25.17
8                      25.32
16                     23.67
32                     23.97
64                     24.92
128                    29.12
256                    31.82
512                    35.61
1024                   43.60
2048                   59.77
4096                   92.65
8192                  157.43
16384                 291.72
32768                 548.46
65536                1038.44
131072               2180.07
262144               4758.90
524288               9492.33
1048576             19212.07
