
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      98.65
2                      98.92
4                      97.47
8                      97.30
16                     92.23
32                     92.85
64                    104.69
128                   105.40
256                   115.90
512                   130.79
1024                  159.84
2048                  213.39
4096                  323.39
8192                  560.47
16384                1058.00
32768                2630.06
65536                5311.21
131072              10050.56
262144              19722.30
524288              40958.09
1048576             81897.83

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      98.47
2                      99.12
4                      96.83
8                      97.26
16                     92.24
32                     92.16
64                    104.79
128                   105.66
256                   117.70
512                   130.80
1024                  160.03
2048                  213.92
4096                  322.63
8192                  559.66
16384                1065.69
32768                2645.65
65536                5317.40
131072              10047.41
262144              19805.94
524288              40952.94
1048576             82002.61

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      99.42
2                     101.11
4                      97.68
8                      97.34
16                     92.10
32                     92.31
64                    100.43
128                   105.64
256                   115.82
512                   130.76
1024                  159.53
2048                  214.43
4096                  322.65
8192                  559.34
16384                1058.81
32768                2623.55
65536                5300.31
131072              10065.77
262144              19732.25
524288              40867.22
1048576             82046.35

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      98.05
2                      98.30
4                      96.61
8                      95.96
16                     90.09
32                     92.23
64                     96.37
128                   104.97
256                   115.41
512                   130.16
1024                  160.49
2048                  228.73
4096                  324.28
8192                  557.31
16384                1054.77
32768                2649.80
65536                5330.63
131072              10067.82
262144              19731.35
524288              41055.07
1048576             81872.22

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      98.55
2                      98.99
4                      97.46
8                      97.66
16                     92.28
32                     92.25
64                    100.96
128                   105.14
256                   115.65
512                   130.71
1024                  159.64
2048                  213.69
4096                  322.66
8192                  560.07
16384                1068.83
32768                2605.53
65536                5290.17
131072              10032.37
262144              19771.14
524288              41083.89
1048576             81941.47

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      98.42
2                      99.04
4                      97.63
8                      97.39
16                     92.17
32                     92.46
64                    103.38
128                   105.44
256                   116.08
512                   130.89
1024                  160.48
2048                  214.10
4096                  322.37
8192                  560.70
16384                1065.78
32768                2637.03
65536                5300.85
131072              10086.57
262144              19778.00
524288              40902.07
1048576             81902.99

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      97.91
2                      98.66
4                      96.38
8                      97.18
16                     92.17
32                     92.23
64                    101.15
128                   105.30
256                   115.94
512                   130.60
1024                  159.51
2048                  218.75
4096                  325.10
8192                  558.41
16384                1059.75
32768                2654.48
65536                5274.32
131072              10014.03
262144              19739.44
524288              41049.65
1048576             81936.43

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      98.86
2                      99.70
4                      97.51
8                      99.18
16                     91.70
32                     92.22
64                    100.31
128                   105.06
256                   115.27
512                   130.56
1024                  160.12
2048                  222.73
4096                  322.65
8192                  559.44
16384                1056.68
32768                2642.56
65536                5319.88
131072               9991.09
262144              19818.25
524288              40752.81
1048576             81852.60

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      98.47
2                      99.31
4                      97.85
8                      97.44
16                     92.36
32                     92.49
64                    102.35
128                   105.08
256                   116.00
512                   130.66
1024                  159.68
2048                  213.09
4096                  324.69
8192                  561.34
16384                1063.29
32768                2615.19
65536                5291.99
131072               9991.47
262144              19727.75
524288              40984.77
1048576             81723.88

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      98.20
2                      98.49
4                      97.15
8                      97.04
16                     91.90
32                     92.07
64                    104.02
128                   105.41
256                   115.75
512                   130.70
1024                  159.95
2048                  219.34
4096                  322.52
8192                  559.43
16384                1069.40
32768                2633.30
65536                5257.68
131072               9992.98
262144              19757.15
524288              40860.70
1048576             81819.92

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      98.81
2                      99.58
4                      98.97
8                      98.21
16                     92.09
32                     92.22
64                     97.87
128                   105.17
256                   115.11
512                   130.06
1024                  159.39
2048                  227.03
4096                  321.92
8192                  559.85
16384                1064.69
32768                2608.97
65536                5333.92
131072              10005.69
262144              19769.93
524288              41105.12
1048576             81974.38
