
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      64.61
2                      65.39
4                      65.55
8                      66.26
16                     65.40
32                     64.84
64                     69.81
128                    71.50
256                    86.62
512                    86.96
1024                  101.44
2048                  126.89
4096                  186.86
8192                  352.16
16384                 633.00
32768                1245.13
65536                2767.39
131072               5182.39
262144              10198.36
524288              22016.58
1048576             44102.68

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      64.95
2                      65.73
4                      65.29
8                      64.62
16                     64.98
32                     64.35
64                     66.58
128                    71.12
256                    80.40
512                    86.83
1024                  101.36
2048                  127.21
4096                  186.69
8192                  352.40
16384                 638.89
32768                1250.16
65536                2804.60
131072               5265.25
262144              10236.38
524288              22131.42
1048576             44266.84

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      64.60
2                      65.24
4                      65.20
8                      63.82
16                     64.74
32                     64.46
64                     66.52
128                    70.97
256                    86.61
512                    86.81
1024                  101.41
2048                  127.04
4096                  186.67
8192                  351.68
16384                 636.58
32768                1263.48
65536                2767.03
131072               5218.47
262144              10212.28
524288              22058.33
1048576             44398.82

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      64.27
2                      65.13
4                      65.46
8                      64.48
16                     64.72
32                     64.50
64                     67.41
128                    71.90
256                    87.21
512                    87.43
1024                  101.81
2048                  127.45
4096                  186.95
8192                  353.55
16384                 640.65
32768                1259.23
65536                2802.74
131072               5258.27
262144              10238.66
524288              22047.74
1048576             44456.55

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      64.15
2                      65.37
4                      66.96
8                      64.47
16                     64.71
32                     64.42
64                     66.82
128                    71.38
256                    82.13
512                    88.31
1024                  101.36
2048                  126.87
4096                  186.51
8192                  354.38
16384                 638.92
32768                1271.24
65536                2780.22
131072               5263.05
262144              10214.36
524288              22034.24
1048576             44119.28

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      64.86
2                      66.13
4                      65.23
8                      64.75
16                     65.16
32                     64.54
64                     66.61
128                    71.22
256                    88.08
512                    87.36
1024                  101.79
2048                  127.56
4096                  186.84
8192                  349.24
16384                 644.84
32768                1264.70
65536                2812.61
131072               5243.87
262144              10222.84
524288              22047.58
1048576             44432.97

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      64.68
2                      65.24
4                      65.01
8                      64.71
16                     66.29
32                     64.45
64                     66.94
128                    71.60
256                    85.11
512                    86.99
1024                  101.59
2048                  127.16
4096                  187.18
8192                  351.09
16384                 640.13
32768                1247.81
65536                2782.75
131072               5187.04
262144              10197.79
524288              21893.52
1048576             43962.71

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      64.99
2                      65.36
4                      65.41
8                      65.13
16                     65.07
32                     64.44
64                     67.40
128                    71.59
256                    89.27
512                    87.39
1024                  101.79
2048                  127.15
4096                  187.63
8192                  352.04
16384                 643.08
32768                1249.74
65536                2851.44
131072               5262.03
262144              10232.75
524288              22158.63
1048576             44302.70

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      64.79
2                      65.34
4                      65.63
8                      64.97
16                     73.00
32                     64.68
64                     66.90
128                    71.52
256                    84.95
512                    86.94
1024                  101.32
2048                  126.71
4096                  186.12
8192                  353.76
16384                 631.26
32768                1252.29
65536                2805.41
131072               5249.34
262144              10222.03
524288              21847.62
1048576             44247.60

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      65.47
2                      65.38
4                      64.95
8                      64.30
16                     64.89
32                     64.35
64                     66.97
128                    74.97
256                    82.53
512                    86.91
1024                  101.08
2048                  126.63
4096                  186.99
8192                  353.19
16384                 634.00
32768                1243.16
65536                2758.04
131072               5199.97
262144              10214.14
524288              22002.03
1048576             44215.92

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      64.16
2                      65.46
4                      65.65
8                      64.45
16                     64.77
32                     64.25
64                     66.46
128                    71.11
256                    94.42
512                    86.93
1024                  100.96
2048                  126.44
4096                  186.10
8192                  351.00
16384                 631.83
32768                1253.37
65536                2767.54
131072               5216.74
262144              10306.90
524288              22075.99
1048576             44278.32
