
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.88
2                      13.91
4                      14.19
8                      16.33
16                     17.33
32                     19.08
64                     22.69
128                    29.41
256                    45.59
512                    68.52
1024                  127.72
2048                  197.97
4096                  361.44
8192                  701.06
16384                1037.63
32768                2279.49
65536                6286.51
131072              12248.41
262144              24073.09
524288              49035.36
1048576             99650.71

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      13.97
2                      13.63
4                      14.15
8                      16.07
16                     17.10
32                     18.72
64                     22.41
128                    29.58
256                    45.97
512                    67.90
1024                  125.33
2048                  200.53
4096                  360.64
8192                  691.78
16384                1037.96
32768                2284.20
65536                6276.55
131072              12673.69
262144              24480.79
524288              49082.48
1048576             98452.12

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.89
2                      13.96
4                      14.16
8                      16.19
16                     17.41
32                     18.98
64                     22.67
128                    29.67
256                    46.01
512                    69.95
1024                  129.30
2048                  206.89
4096                  362.22
8192                  687.58
16384                1037.34
32768                2283.99
65536                6470.91
131072              12405.46
262144              24232.88
524288              49260.28
1048576             99192.80

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.71
2                      13.80
4                      14.10
8                      16.17
16                     17.05
32                     18.68
64                     22.43
128                    29.55
256                    46.28
512                    69.95
1024                  129.88
2048                  206.86
4096                  360.83
8192                  693.49
16384                1038.47
32768                2292.19
65536                6163.16
131072              12564.96
262144              24325.39
524288              49082.02
1048576             99116.24

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.02
2                      13.94
4                      14.19
8                      16.27
16                     17.38
32                     18.94
64                     22.68
128                    29.81
256                    46.34
512                    69.57
1024                  130.47
2048                  205.81
4096                  359.60
8192                  696.70
16384                1037.82
32768                2302.78
65536                6614.77
131072              12439.76
262144              24255.18
524288              48969.04
1048576             99404.52

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.94
2                      13.98
4                      14.16
8                      16.17
16                     17.25
32                     18.87
64                     22.61
128                    30.30
256                    46.16
512                    68.82
1024                  126.60
2048                  201.98
4096                  362.55
8192                  694.20
16384                1041.03
32768                2292.23
65536                6750.82
131072              12380.32
262144              24208.97
524288              49014.34
1048576             99850.11

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.90
2                      13.99
4                      14.69
8                      16.22
16                     17.26
32                     18.87
64                     22.51
128                    29.76
256                    46.13
512                    70.52
1024                  129.15
2048                  203.52
4096                  358.88
8192                  691.44
16384                1048.62
32768                2288.17
65536                6343.13
131072              12299.10
262144              24156.08
524288              48850.83
1048576             99511.09

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.95
2                      14.37
4                      14.20
8                      16.19
16                     17.27
32                     18.89
64                     22.55
128                    29.80
256                    46.38
512                    70.18
1024                  131.11
2048                  205.34
4096                  363.72
8192                  697.20
16384                1042.58
32768                2283.12
65536                6396.23
131072              12394.26
262144              24244.51
524288              49047.19
1048576             98447.61

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.89
2                      13.95
4                      14.52
8                      16.20
16                     17.68
32                     18.88
64                     22.51
128                    30.03
256                    46.40
512                    70.02
1024                  129.63
2048                  203.00
4096                  364.75
8192                  698.69
16384                1040.88
32768                2293.87
65536                6307.51
131072              12445.19
262144              24250.18
524288              48860.79
1048576             99665.70

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.81
2                      14.05
4                      14.59
8                      16.29
16                     17.17
32                     18.85
64                     22.52
128                    29.51
256                    45.52
512                    68.81
1024                  128.68
2048                  208.35
4096                  361.04
8192                  687.95
16384                1034.24
32768                2273.52
65536                6221.98
131072              12371.62
262144              24185.90
524288              49199.79
1048576             99768.97

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.93
2                      14.31
4                      14.21
8                      16.24
16                     17.42
32                     18.93
64                     22.66
128                    29.78
256                    46.12
512                    69.49
1024                  129.48
2048                  203.56
4096                  361.70
8192                  695.39
16384                1041.69
32768                2296.74
65536                6498.43
131072              12508.15
262144              24307.03
524288              48968.12
1048576             99520.63
