
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.40
2                      14.65
4                      15.19
8                      16.41
16                     17.59
32                     19.97
64                     24.70
128                    33.58
256                    52.99
512                    86.59
1024                  150.05
2048                  256.07
4096                  477.18
8192                  738.10
16384                1559.82
32768                4198.53
65536                8730.71
131072              16870.07
262144              34473.54
524288              70188.00
1048576            140436.21

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.04
2                      14.44
4                      14.82
8                      16.30
16                     17.44
32                     19.70
64                     24.41
128                    33.35
256                    52.82
512                    86.41
1024                  149.92
2048                  256.36
4096                  478.04
8192                  738.44
16384                1562.87
32768                4228.31
65536                8658.04
131072              17143.62
262144              34696.87
524288              70426.08
1048576            139934.59

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.50
2                      14.68
4                      15.06
8                      16.44
16                     17.56
32                     19.91
64                     24.77
128                    34.18
256                    53.54
512                    87.67
1024                  150.70
2048                  257.11
4096                  478.46
8192                  740.48
16384                1558.74
32768                4194.85
65536                8592.42
131072              16853.72
262144              34409.10
524288              70099.20
1048576            139829.88

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.30
2                      14.55
4                      15.39
8                      16.39
16                     17.47
32                     19.88
64                     24.66
128                    33.40
256                    53.01
512                    87.05
1024                  150.66
2048                  256.70
4096                  478.81
8192                  734.08
16384                1559.87
32768                4198.26
65536                8645.78
131072              16929.06
262144              34315.86
524288              70080.88
1048576            139992.24

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.31
2                      14.55
4                      15.01
8                      16.42
16                     17.52
32                     19.92
64                     24.72
128                    33.69
256                    53.22
512                    86.81
1024                  148.77
2048                  255.02
4096                  478.43
8192                  738.77
16384                1555.24
32768                4176.13
65536                8586.70
131072              16909.97
262144              34459.71
524288              70009.61
1048576            140242.36

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.27
2                      14.48
4                      15.14
8                      16.29
16                     17.34
32                     19.72
64                     24.63
128                    33.42
256                    53.68
512                    86.88
1024                  150.47
2048                  254.31
4096                  476.27
8192                  737.56
16384                1559.37
32768                4189.58
65536                8757.18
131072              16868.85
262144              34692.43
524288              70182.54
1048576            140243.09

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.48
2                      14.80
4                      15.15
8                      16.66
16                     17.62
32                     20.00
64                     24.85
128                    33.98
256                    53.51
512                    86.37
1024                  150.63
2048                  255.71
4096                  478.77
8192                  739.79
16384                1566.16
32768                4243.69
65536                8800.68
131072              16906.34
262144              34564.69
524288              70168.65
1048576            140292.23

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.45
2                      15.04
4                      15.02
8                      16.47
16                     17.49
32                     19.73
64                     24.42
128                    33.46
256                    53.08
512                    86.11
1024                  149.09
2048                  257.84
4096                  477.93
8192                  735.38
16384                1562.07
32768                4190.65
65536                8608.54
131072              16859.09
262144              34526.93
524288              70285.23
1048576            140523.67

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.34
2                      14.41
4                      14.90
8                      16.21
16                     17.31
32                     19.79
64                     24.51
128                    33.46
256                    53.03
512                    87.12
1024                  150.10
2048                  256.87
4096                  475.90
8192                  732.82
16384                1559.91
32768                4196.14
65536                8850.84
131072              16846.91
262144              34726.38
524288              70395.37
1048576            140313.76

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.23
2                      14.61
4                      15.12
8                      16.46
16                     17.57
32                     19.93
64                     24.71
128                    33.83
256                    52.97
512                    86.49
1024                  149.92
2048                  256.81
4096                  482.11
8192                  737.95
16384                1559.79
32768                4193.62
65536                8719.46
131072              16842.04
262144              34654.34
524288              70383.04
1048576            140143.03

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.42
2                      14.61
4                      15.08
8                      16.34
16                     17.49
32                     19.88
64                     24.61
128                    33.49
256                    53.12
512                    86.72
1024                  149.65
2048                  257.28
4096                  475.30
8192                  735.20
16384                1556.34
32768                4195.19
65536                8767.86
131072              16825.36
262144              34484.40
524288              70141.77
1048576            139825.16
