
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     247.44
2                     269.96
4                     159.35
8                      57.90
16                    251.39
32                    267.49
64                    303.40
128                   555.36
256                   354.85
512                   828.32
1024                  249.73
2048                  475.93
4096                  918.18
8192                 1775.80
16384                3601.71
32768                7638.74
65536               15481.51
131072              31504.47
262144              63641.93
524288             127582.22
1048576            257721.27
2097152            510231.70

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      13.95
2                      13.97
4                      14.95
8                      16.18
16                     17.12
32                     19.56
64                     24.91
128                    35.95
256                    63.65
512                   129.66
1024                  245.72
2048                  475.79
4096                  901.65
8192                 1775.39
16384                3632.92
32768                7630.71
65536               15896.05
131072              32489.92
262144              65703.26
524288             134561.25
1048576            267599.84
2097152            538097.98

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      13.94
2                      13.93
4                      15.04
8                      16.25
16                     17.13
32                     19.39
64                     25.10
128                    36.03
256                    64.20
512                   129.00
1024                  245.40
2048                  479.33
4096                  899.62
8192                 1762.88
16384                3635.52
32768                7430.74
65536               15813.92
131072              32577.65
262144              65739.36
524288             134602.37
1048576            268247.60
2097152            533599.77

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      13.91
2                      13.94
4                      14.96
8                      16.20
16                     17.16
32                     19.37
64                     24.89
128                    35.87
256                    63.51
512                   129.89
1024                  245.21
2048                  473.82
4096                  899.63
8192                 1757.77
16384                3624.77
32768                7547.39
65536               15982.25
131072              32362.91
262144              65860.18
524288             134843.22
1048576            268354.05
2097152            537273.13

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      13.89
2                      13.96
4                      15.01
8                      16.20
16                     17.14
32                     19.40
64                     24.90
128                    35.91
256                    63.87
512                   129.24
1024                  245.42
2048                  481.17
4096                  900.63
8192                 1773.78
16384                3617.27
32768                7647.46
65536               15981.86
131072              32675.76
262144              66324.52
524288             134685.08
1048576            268098.63
2097152            538662.93

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      13.98
2                      13.94
4                      15.14
8                      16.20
16                     17.13
32                     19.40
64                     24.92
128                    35.82
256                    63.57
512                   129.64
1024                  245.63
2048                  476.71
4096                  901.41
8192                 1767.06
16384                3625.39
32768                7574.71
65536               16080.93
131072              32817.30
262144              66205.38
524288             134222.98
1048576            268024.61
2097152            529956.50

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      13.86
2                      13.93
4                      14.95
8                      16.16
16                     17.13
32                     19.39
64                     24.87
128                    35.89
256                    63.54
512                   129.35
1024                  245.40
2048                  474.44
4096                  900.87
8192                 1775.51
16384                3611.90
32768                7568.88
65536               15959.39
131072              32575.42
262144              66233.60
524288             134194.44
1048576            267846.08
2097152            538333.80

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.08
2                      13.94
4                      15.10
8                      16.17
16                     17.12
32                     19.39
64                     24.86
128                    35.87
256                    63.55
512                   129.93
1024                  245.41
2048                  477.57
4096                  899.63
8192                 1774.98
16384                3634.25
32768                7626.87
65536               15939.47
131072              32463.88
262144              66080.04
524288             134423.11
1048576            269079.58
2097152            536796.74

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      13.83
2                      13.95
4                      14.97
8                      16.18
16                     17.12
32                     19.37
64                     24.89
128                    35.94
256                    63.42
512                   128.59
1024                  245.41
2048                  476.00
4096                  903.03
8192                 1772.44
16384                3627.00
32768                7528.48
65536               16098.01
131072              32668.30
262144              66557.37
524288             134552.84
1048576            268505.07
2097152            534307.34

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      13.88
2                      13.95
4                      14.97
8                      16.21
16                     17.12
32                     19.44
64                     24.89
128                    36.08
256                    63.45
512                   128.87
1024                  245.77
2048                  478.23
4096                  901.37
8192                 1763.08
16384                3638.66
32768                7647.10
65536               15933.49
131072              32701.25
262144              65968.25
524288             134052.04
1048576            268979.62
2097152            535414.16
