
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.00
2                      14.11
4                      13.96
8                      14.18
16                     14.35
32                     15.80
64                     17.82
128                    21.25
256                    25.81
512                    34.81
1024                   59.47
2048                  106.25
4096                  204.73
8192                  438.44
16384                1015.26
32768                2388.26
65536                4912.53
131072              10082.59
262144              20403.65
524288              41315.17
1048576             83425.52
2097152            174142.05

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.85
2                      13.72
4                      13.69
8                      14.25
16                     14.35
32                     15.83
64                     17.71
128                    20.97
256                    25.94
512                    34.43
1024                   59.17
2048                  106.28
4096                  202.92
8192                  438.08
16384                1014.65
32768                2375.94
65536                4886.55
131072              10090.84
262144              20305.50
524288              41181.89
1048576             82994.27
2097152            174069.95

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.79
2                      13.70
4                      13.73
8                      14.12
16                     14.36
32                     15.68
64                     17.71
128                    20.90
256                    25.90
512                    34.33
1024                   58.65
2048                  106.33
4096                  202.43
8192                  436.66
16384                1016.54
32768                2380.37
65536                4898.79
131072              10126.36
262144              20310.96
524288              41099.19
1048576             82965.15
2097152            174101.91

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.75
2                      13.68
4                      13.76
8                      13.99
16                     14.34
32                     15.68
64                     17.73
128                    20.91
256                    25.91
512                    34.49
1024                   58.93
2048                  106.17
4096                  203.66
8192                  439.63
16384                1017.57
32768                2385.15
65536                4903.40
131072              10103.41
262144              20426.36
524288              41433.57
1048576             83395.37
2097152            173596.29

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.79
2                      13.83
4                      13.68
8                      13.99
16                     14.30
32                     15.66
64                     17.68
128                    21.11
256                    26.14
512                    34.71
1024                   58.64
2048                  105.96
4096                  202.28
8192                  435.91
16384                1009.60
32768                2372.82
65536                4877.03
131072              10061.61
262144              20289.43
524288              40835.60
1048576             82909.87
2097152            173248.06

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.81
2                      13.72
4                      13.73
8                      13.98
16                     14.35
32                     15.66
64                     17.75
128                    20.96
256                    25.93
512                    34.46
1024                   58.91
2048                  106.29
4096                  203.97
8192                  437.60
16384                1015.05
32768                2384.97
65536                4905.85
131072              10086.08
262144              20354.25
524288              41308.05
1048576             83143.60
2097152            174161.36

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.85
2                      13.70
4                      13.79
8                      14.03
16                     14.44
32                     15.66
64                     17.70
128                    20.93
256                    25.91
512                    34.41
1024                   58.81
2048                  106.08
4096                  202.58
8192                  438.24
16384                1021.30
32768                2389.79
65536                4908.31
131072              10110.45
262144              20426.95
524288              41506.79
1048576             83631.90
2097152            173587.68

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.80
2                      13.69
4                      13.74
8                      14.00
16                     14.42
32                     15.72
64                     17.73
128                    20.96
256                    25.86
512                    34.43
1024                   58.82
2048                  105.84
4096                  212.78
8192                  442.84
16384                1012.50
32768                2383.77
65536                4898.05
131072              10095.74
262144              20329.62
524288              41316.66
1048576             83355.64
2097152            173035.54

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.79
2                      13.70
4                      13.70
8                      13.99
16                     14.33
32                     15.70
64                     17.72
128                    21.05
256                    25.85
512                    34.68
1024                   58.92
2048                  106.09
4096                  202.70
8192                  436.05
16384                1015.90
32768                2382.40
65536                4890.18
131072              10089.30
262144              20287.41
524288              41301.99
1048576             83462.65
2097152            173762.71

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      14.78
2                      13.77
4                      13.70
8                      14.02
16                     14.37
32                     15.70
64                     17.70
128                    20.95
256                    25.80
512                    34.35
1024                   58.61
2048                  106.12
4096                  202.70
8192                  436.79
16384                1015.98
32768                2381.61
65536                4894.72
131072              10069.57
262144              20370.33
524288              41378.53
1048576             83377.61
2097152            174116.58
