
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      12.19
2                       9.95
4                      10.11
8                      10.78
16                     11.61
32                     12.38
64                     14.00
128                    17.55
256                    23.39
512                    37.88
1024                   69.50
2048                  208.17
4096                  432.34
8192                  599.89
16384                 798.08
32768                1302.48
65536                2032.09
131072               4136.91
262144               8627.25
524288              17936.96
1048576             35571.65
2097152             70090.21

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.34
2                      10.73
4                      10.01
8                      10.74
16                     11.58
32                     12.38
64                     13.95
128                    17.40
256                    23.14
512                    38.43
1024                   69.65
2048                  155.57
4096                  308.01
8192                  442.29
16384                 753.37
32768                1250.08
65536                1957.29
131072               3910.02
262144               7981.30
524288              16561.87
1048576             33059.36
2097152             66003.79

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.20
2                      10.48
4                      10.03
8                      10.76
16                     11.57
32                     12.39
64                     14.70
128                    17.41
256                    23.18
512                    38.11
1024                   69.35
2048                  155.58
4096                  308.14
8192                  442.54
16384                 758.33
32768                1162.50
65536                1956.05
131072               3907.09
262144               7977.10
524288              16540.86
1048576             33060.52
2097152             65978.77

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.88
2                       9.69
4                      10.03
8                      10.76
16                     11.55
32                     12.57
64                     13.96
128                    18.26
256                    23.43
512                    38.65
1024                   69.98
2048                  154.41
4096                  306.98
8192                  442.13
16384                 785.18
32768                1162.06
65536                1956.28
131072               3905.48
262144               7974.37
524288              16541.02
1048576             33066.22
2097152             65971.14

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      10.89
2                       9.69
4                      10.02
8                      10.81
16                     11.79
32                     12.33
64                     13.92
128                    17.44
256                    23.40
512                    39.34
1024                   69.55
2048                  152.90
4096                  306.09
8192                  443.92
16384                 789.25
32768                1226.61
65536                1954.04
131072               3907.53
262144               7974.83
524288              16570.05
1048576             33093.24
2097152             66036.04

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.59
2                       9.81
4                      10.07
8                      10.77
16                     11.55
32                     12.30
64                     13.90
128                    17.36
256                    23.20
512                    38.98
1024                   69.79
2048                  155.75
4096                  308.67
8192                  442.57
16384                 742.63
32768                1199.32
65536                1958.60
131072               3910.34
262144               7989.28
524288              16556.41
1048576             33064.74
2097152             66027.36

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.18
2                       9.75
4                      10.04
8                      10.83
16                     11.60
32                     12.55
64                     14.03
128                    17.44
256                    23.50
512                    38.91
1024                   69.11
2048                  155.29
4096                  307.83
8192                  442.18
16384                 742.24
32768                1165.47
65536                1958.04
131072               3912.45
262144               7980.33
524288              16553.42
1048576             33054.43
2097152             66004.99

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.06
2                       9.71
4                      10.03
8                      10.74
16                     11.59
32                     12.40
64                     13.93
128                    17.47
256                    23.46
512                    38.16
1024                   69.50
2048                  154.43
4096                  305.75
8192                  441.10
16384                 778.85
32768                1234.29
65536                1956.01
131072               3908.86
262144               7979.80
524288              16555.68
1048576             33073.25
2097152             66055.50

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.10
2                       9.96
4                      10.36
8                      11.00
16                     11.56
32                     12.59
64                     13.90
128                    18.01
256                    23.11
512                    38.53
1024                   68.79
2048                  154.44
4096                  308.31
8192                  445.04
16384                 796.41
32768                1166.19
65536                1959.75
131072               3914.68
262144               7979.66
524288              16548.83
1048576             33101.93
2097152             66034.72

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.35
2                      10.12
4                      10.45
8                      10.82
16                     11.69
32                     12.44
64                     13.97
128                    17.55
256                    24.32
512                    39.39
1024                   70.78
2048                  155.27
4096                  306.66
8192                  443.94
16384                 746.00
32768                1165.92
65536                1957.52
131072               3908.32
262144               7979.03
524288              16553.54
1048576             33070.86
2097152             65989.11
