
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.21
2                      16.75
4                      16.84
8                      17.20
16                     17.29
32                     18.23
64                     19.55
128                    21.95
256                    24.87
512                    29.83
1024                   39.84
2048                   57.29
4096                   92.82
8192                  159.92
16384                 301.44
32768                 576.21
65536                1271.15
131072               2755.77
262144               5943.92
524288              12265.77
1048576             24636.64

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.97
2                      16.78
4                      16.75
8                      16.90
16                     17.10
32                     18.05
64                     19.31
128                    21.78
256                    24.68
512                    29.51
1024                   39.39
2048                   56.39
4096                   92.10
8192                  158.64
16384                 299.91
32768                 571.91
65536                1272.66
131072               2745.44
262144               5913.22
524288              12231.41
1048576             24621.55

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.02
2                      16.83
4                      16.79
8                      17.07
16                     17.27
32                     18.08
64                     19.45
128                    21.90
256                    24.83
512                    29.73
1024                   39.58
2048                   56.26
4096                   91.93
8192                  158.87
16384                 300.37
32768                 572.59
65536                1272.36
131072               2748.65
262144               5928.46
524288              12218.32
1048576             24582.57

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.31
2                      16.82
4                      16.81
8                      17.03
16                     17.21
32                     18.22
64                     19.60
128                    22.04
256                    24.87
512                    29.75
1024                   39.84
2048                   56.67
4096                   92.41
8192                  159.59
16384                 301.20
32768                 575.71
65536                1268.05
131072               2749.33
262144               5938.78
524288              12243.71
1048576             24599.03

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.09
2                      16.85
4                      16.80
8                      17.06
16                     17.21
32                     18.15
64                     19.47
128                    21.94
256                    24.79
512                    29.74
1024                   39.65
2048                   57.01
4096                   92.60
8192                  159.90
16384                 299.81
32768                 573.64
65536                1275.62
131072               2749.22
262144               5945.86
524288              12264.96
1048576             24583.80

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.08
2                      16.72
4                      16.73
8                      16.94
16                     17.11
32                     18.06
64                     19.46
128                    21.77
256                    24.77
512                    29.66
1024                   39.41
2048                   56.36
4096                   92.33
8192                  159.36
16384                 301.17
32768                 573.87
65536                1267.00
131072               2749.57
262144               5944.47
524288              12240.08
1048576             24632.78

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.99
2                      16.76
4                      16.82
8                      16.98
16                     17.23
32                     18.07
64                     19.30
128                    21.76
256                    24.66
512                    29.55
1024                   39.49
2048                   56.50
4096                   91.85
8192                  159.16
16384                 300.11
32768                 569.85
65536                1270.62
131072               2749.97
262144               5926.03
524288              12245.87
1048576             24590.99

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.30
2                      17.00
4                      17.03
8                      17.27
16                     17.48
32                     18.38
64                     19.67
128                    22.11
256                    25.08
512                    29.93
1024                   39.87
2048                   56.96
4096                   92.93
8192                  159.43
16384                 301.30
32768                 572.06
65536                1271.48
131072               2760.62
262144               5927.02
524288              12263.99
1048576             24621.09

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.01
2                      16.73
4                      16.74
8                      16.86
16                     17.19
32                     17.99
64                     19.41
128                    21.75
256                    24.66
512                    29.60
1024                   39.56
2048                   56.55
4096                   91.91
8192                  158.87
16384                 299.89
32768                 568.41
65536                1266.95
131072               2752.81
262144               5943.08
524288              12221.71
1048576             24624.36

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.12
2                      16.85
4                      16.88
8                      17.13
16                     17.30
32                     18.19
64                     19.45
128                    21.96
256                    24.87
512                    29.76
1024                   39.66
2048                   56.47
4096                   92.00
8192                  159.00
16384                 299.83
32768                 572.77
65536                1269.26
131072               2751.45
262144               5918.96
524288              12232.71
1048576             24610.31

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      18.18
2                      16.98
4                      16.78
8                      16.99
16                     17.35
32                     18.04
64                     19.33
128                    21.76
256                    24.66
512                    29.53
1024                   39.36
2048                   56.46
4096                   92.12
8192                  159.15
16384                 299.50
32768                 572.71
65536                1269.53
131072               2750.03
262144               5921.94
524288              12235.08
1048576             24611.66
