
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.02
2                      16.40
4                      16.46
8                      16.73
16                     16.86
32                     16.96
64                     17.55
128                    19.66
256                    22.53
512                    25.41
1024                   29.81
2048                   38.88
4096                   57.32
8192                   89.98
16384                 168.38
32768                 294.60
65536                 551.00
131072               1302.94
262144               2780.26
524288               5635.23
1048576             11577.93

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.58
2                      16.40
4                      16.44
8                      16.71
16                     16.84
32                     16.97
64                     17.40
128                    19.64
256                    22.32
512                    25.37
1024                   29.80
2048                   39.01
4096                   57.20
8192                   88.74
16384                 166.52
32768                 287.34
65536                 548.10
131072               1298.18
262144               2770.32
524288               5613.11
1048576             11564.38

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.92
2                      16.53
4                      16.19
8                      16.46
16                     16.60
32                     16.72
64                     17.17
128                    19.79
256                    22.21
512                    25.21
1024                   29.42
2048                   38.74
4096                   56.81
8192                   89.56
16384                 166.32
32768                 287.06
65536                 549.00
131072               1301.39
262144               2787.75
524288               5623.83
1048576             11568.22

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.58
2                      16.04
4                      16.66
8                      16.53
16                     16.51
32                     16.80
64                     17.10
128                    19.46
256                    22.18
512                    25.08
1024                   29.36
2048                   38.25
4096                   56.39
8192                   88.25
16384                 165.39
32768                 286.77
65536                 547.22
131072               1295.33
262144               2771.25
524288               5613.27
1048576             11575.56

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.06
2                      16.40
4                      16.30
8                      16.57
16                     16.68
32                     16.84
64                     17.28
128                    19.76
256                    22.38
512                    25.43
1024                   29.56
2048                   38.27
4096                   56.54
8192                   88.75
16384                 166.02
32768                 287.92
65536                 546.16
131072               1299.53
262144               2781.76
524288               5622.26
1048576             11548.35

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.07
2                      16.37
4                      16.90
8                      16.69
16                     16.80
32                     16.95
64                     17.34
128                    19.57
256                    22.26
512                    25.35
1024                   29.65
2048                   38.94
4096                   57.38
8192                   89.63
16384                 168.67
32768                 297.10
65536                 550.95
131072               1305.95
262144               2782.82
524288               5615.76
1048576             11567.16

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.19
2                      16.56
4                      16.63
8                      16.90
16                     17.57
32                     17.16
64                     17.62
128                    19.91
256                    22.58
512                    25.71
1024                   30.07
2048                   39.33
4096                   57.99
8192                   91.19
16384                 169.80
32768                 293.45
65536                 551.81
131072               1310.62
262144               2807.47
524288               5641.40
1048576             11578.65

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.01
2                      16.39
4                      16.49
8                      16.75
16                     16.84
32                     16.94
64                     17.56
128                    19.68
256                    22.34
512                    25.46
1024                   29.79
2048                   38.89
4096                   57.51
8192                   89.85
16384                 168.33
32768                 288.73
65536                 549.37
131072               1306.26
262144               2785.58
524288               5616.15
1048576             11543.39

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.10
2                      16.47
4                      16.53
8                      16.80
16                     16.92
32                     17.07
64                     17.52
128                    19.88
256                    22.50
512                    25.57
1024                   30.00
2048                   39.23
4096                   57.93
8192                   91.04
16384                 170.59
32768                 293.47
65536                 556.32
131072               1311.85
262144               2795.64
524288               5617.92
1048576             11540.41

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.97
2                      16.41
4                      16.50
8                      16.79
16                     16.85
32                     17.05
64                     17.44
128                    19.74
256                    22.40
512                    25.39
1024                   29.75
2048                   38.92
4096                   57.30
8192                   88.76
16384                 165.68
32768                 296.08
65536                 546.84
131072               1299.91
262144               2761.64
524288               5623.57
1048576             11571.92

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.75
2                      16.02
4                      16.11
8                      16.36
16                     16.65
32                     16.65
64                     17.10
128                    19.55
256                    22.09
512                    25.13
1024                   29.42
2048                   38.47
4096                   56.60
8192                   88.87
16384                 166.85
32768                 287.94
65536                 551.06
131072               1298.97
262144               2768.54
524288               5614.83
1048576             11587.02
