
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.69
2                      34.29
4                      34.43
8                      34.95
16                     33.35
32                     14.28
64                     14.96
128                    16.20
256                    17.91
512                    20.47
1024                   26.40
2048                   36.99
4096                  105.71
8192                  159.14
16384                 484.12
32768                 715.13
65536                1296.03
131072               2063.83
262144               3838.90
524288               8653.75
1048576             17832.51

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.52
2                      34.16
4                      34.48
8                      34.83
16                     33.27
32                     14.30
64                     14.94
128                    16.21
256                    17.83
512                    20.46
1024                   26.37
2048                   36.90
4096                  105.99
8192                  159.86
16384                 486.11
32768                 716.47
65536                1280.76
131072               2072.12
262144               3850.15
524288               8678.87
1048576             17833.10

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.85
2                      34.41
4                      34.65
8                      34.85
16                     33.36
32                     14.29
64                     15.18
128                    16.44
256                    18.08
512                    20.72
1024                   26.67
2048                   37.17
4096                  106.08
8192                  159.63
16384                 486.54
32768                 723.68
65536                1297.94
131072               2053.92
262144               3842.45
524288               8643.79
1048576             17746.10

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.73
2                      34.32
4                      34.38
8                      34.85
16                     33.29
32                     14.30
64                     14.93
128                    16.23
256                    17.91
512                    20.55
1024                   26.45
2048                   36.94
4096                  106.13
8192                  159.56
16384                 486.72
32768                 717.02
65536                1297.58
131072               2078.35
262144               3839.02
524288               8659.63
1048576             17747.58

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.63
2                      34.26
4                      34.41
8                      34.97
16                     33.32
32                     14.29
64                     14.99
128                    16.24
256                    17.91
512                    20.61
1024                   26.73
2048                   37.05
4096                  106.13
8192                  160.69
16384                 486.72
32768                 720.85
65536                1308.29
131072               2061.91
262144               3852.30
524288               8669.21
1048576             17742.44

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.58
2                      34.23
4                      34.34
8                      34.83
16                     33.24
32                     14.22
64                     14.92
128                    16.20
256                    17.81
512                    20.46
1024                   26.39
2048                   36.89
4096                  106.00
8192                  159.48
16384                 484.63
32768                 719.64
65536                1292.36
131072               2063.44
262144               3847.85
524288               8671.26
1048576             17773.65

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.48
2                      34.20
4                      34.36
8                      34.74
16                     33.15
32                     14.22
64                     14.93
128                    16.21
256                    17.93
512                    20.45
1024                   26.39
2048                   37.03
4096                  105.31
8192                  158.92
16384                 484.39
32768                 715.24
65536                1280.26
131072               2055.82
262144               3837.93
524288               8667.34
1048576             17836.18

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.70
2                      34.31
4                      34.45
8                      34.91
16                     33.33
32                     14.28
64                     15.00
128                    16.27
256                    17.95
512                    20.58
1024                   26.56
2048                   37.16
4096                  106.03
8192                  159.71
16384                 486.91
32768                 720.95
65536                1305.78
131072               2069.51
262144               3860.64
524288               8665.94
1048576             17771.83

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.66
2                      34.29
4                      34.37
8                      34.91
16                     33.31
32                     14.34
64                     14.97
128                    16.24
256                    17.87
512                    20.50
1024                   26.52
2048                   37.04
4096                  106.16
8192                  159.65
16384                 485.44
32768                 717.46
65536                1290.13
131072               2072.08
262144               3840.85
524288               8652.98
1048576             17806.62

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.76
2                      34.52
4                      34.53
8                      35.04
16                     33.56
32                     14.44
64                     15.05
128                    16.29
256                    17.94
512                    20.74
1024                   26.57
2048                   37.12
4096                  107.08
8192                  160.87
16384                 490.82
32768                 719.25
65536                1308.14
131072               2087.53
262144               3868.39
524288               8699.25
1048576             17876.74

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      34.70
2                      34.40
4                      34.57
8                      35.01
16                     33.47
32                     14.34
64                     15.01
128                    16.32
256                    17.94
512                    20.57
1024                   26.57
2048                   37.22
4096                  106.63
8192                  160.28
16384                 485.63
32768                 718.60
65536                1293.28
131072               2061.09
262144               3835.96
524288               8656.71
1048576             17819.30
