
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.13
2                      16.29
4                      16.34
8                      16.50
16                     16.59
32                     16.73
64                     17.23
128                    19.85
256                    22.30
512                    25.29
1024                   29.60
2048                   38.66
4096                   56.93
8192                   89.41
16384                 168.22
32768                 293.28
65536                 549.36
131072               1300.67
262144               2765.12
524288               5643.99
1048576             11642.36

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.26
2                      16.62
4                      16.71
8                      16.88
16                     16.99
32                     17.10
64                     17.66
128                    20.10
256                    22.75
512                    25.72
1024                   30.23
2048                   39.59
4096                   58.55
8192                   91.97
16384                 172.56
32768                 297.26
65536                 560.77
131072               1308.96
262144               2789.47
524288               5663.89
1048576             11661.24

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.39
2                      18.75
4                      19.07
8                      19.11
16                     18.69
32                     19.37
64                     19.35
128                    21.23
256                    23.27
512                    25.57
1024                   29.61
2048                   38.59
4096                   56.97
8192                   89.24
16384                 167.62
32768                 290.99
65536                 552.48
131072               1298.64
262144               2768.61
524288               5643.86
1048576             11652.80

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.54
2                      19.52
4                      19.05
8                      19.49
16                     19.63
32                     19.46
64                     19.49
128                    21.47
256                    23.35
512                    25.66
1024                   29.97
2048                   39.09
4096                   57.80
8192                   90.83
16384                 170.01
32768                 293.62
65536                 553.71
131072               1306.63
262144               2773.09
524288               5657.35
1048576             11672.71

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.25
2                      16.81
4                      16.85
8                      16.96
16                     17.06
32                     17.16
64                     17.71
128                    20.10
256                    22.71
512                    25.76
1024                   30.28
2048                   39.63
4096                   58.79
8192                   93.17
16384                 173.39
32768                 299.40
65536                 564.02
131072               1317.14
262144               2789.59
524288               5657.47
1048576             11639.43

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.31
2                      16.65
4                      16.71
8                      16.90
16                     16.97
32                     17.07
64                     17.63
128                    20.04
256                    22.88
512                    26.09
1024                   30.26
2048                   39.58
4096                   58.08
8192                   90.64
16384                 170.45
32768                 293.88
65536                 553.42
131072               1297.64
262144               2771.30
524288               5639.22
1048576             11657.86

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.18
2                      16.58
4                      16.62
8                      16.82
16                     16.90
32                     16.98
64                     17.57
128                    19.99
256                    22.52
512                    25.55
1024                   30.38
2048                   39.12
4096                   57.93
8192                   90.97
16384                 170.84
32768                 294.24
65536                 552.99
131072               1304.84
262144               2764.50
524288               5649.19
1048576             11668.73

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.16
2                      16.49
4                      16.55
8                      16.77
16                     16.85
32                     16.93
64                     17.47
128                    19.77
256                    22.44
512                    25.44
1024                   29.87
2048                   39.27
4096                   57.87
8192                   90.88
16384                 169.92
32768                 295.31
65536                 553.73
131072               1301.06
262144               2765.49
524288               5649.69
1048576             11650.16

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.84
2                      16.20
4                      16.38
8                      16.43
16                     16.52
32                     16.70
64                     17.22
128                    19.66
256                    22.21
512                    25.25
1024                   29.54
2048                   38.65
4096                   57.10
8192                   89.42
16384                 168.55
32768                 292.07
65536                 551.54
131072               1296.99
262144               2762.61
524288               5646.08
1048576             11675.52

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      16.81
2                      16.16
4                      16.30
8                      16.47
16                     16.51
32                     16.65
64                     17.20
128                    19.68
256                    22.27
512                    25.29
1024                   29.70
2048                   38.50
4096                   57.04
8192                   89.63
16384                 169.41
32768                 291.70
65536                 549.01
131072               1299.13
262144               2751.85
524288               5643.66
1048576             11672.26

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      17.35
2                      16.68
4                      16.78
8                      16.99
16                     17.15
32                     17.07
64                     17.59
128                    19.89
256                    22.51
512                    25.82
1024                   29.85
2048                   39.19
4096                   58.13
8192                   90.79
16384                 171.74
32768                 294.32
65536                 553.97
131072               1312.14
262144               2783.77
524288               5663.59
1048576             11672.64
