
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      61.23
2                      60.39
4                      60.43
8                      60.55
16                     59.16
32                     59.96
64                     61.76
128                    64.55
256                    66.91
512                    71.63
1024                   80.76
2048                   90.78
4096                  105.73
8192                  158.68
16384                 485.16
32768                 715.94
65536                1260.69
131072               2095.52
262144               3861.20
524288               8595.20
1048576             17815.16

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      61.19
2                      60.11
4                      60.00
8                      60.48
16                     59.46
32                     59.80
64                     61.39
128                    64.41
256                    66.78
512                    71.48
1024                   80.68
2048                   91.11
4096                  105.34
8192                  158.64
16384                 485.70
32768                 716.67
65536                1258.13
131072               2088.65
262144               3863.31
524288               8598.03
1048576             17808.00

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      61.07
2                      60.84
4                      60.85
8                      61.21
16                     59.80
32                     60.87
64                     61.85
128                    64.61
256                    67.46
512                    71.73
1024                   80.86
2048                   90.51
4096                  105.71
8192                  159.42
16384                 486.80
32768                 718.34
65536                1260.62
131072               2090.36
262144               3854.23
524288               8598.18
1048576             17808.45

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      60.76
2                      60.29
4                      60.03
8                      60.65
16                     59.10
32                     60.17
64                     61.49
128                    65.31
256                    67.14
512                    71.45
1024                   80.80
2048                   89.95
4096                  106.04
8192                  160.03
16384                 487.58
32768                 720.02
65536                1265.59
131072               2112.84
262144               3879.60
524288               8621.60
1048576             17789.28

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      61.15
2                      60.83
4                      60.69
8                      61.75
16                     60.23
32                     61.12
64                     62.06
128                    65.98
256                    68.30
512                    72.70
1024                   81.02
2048                   88.85
4096                  107.01
8192                  160.42
16384                 492.54
32768                 718.87
65536                1260.12
131072               2103.95
262144               3869.31
524288               8602.63
1048576             17764.59

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      60.96
2                      60.57
4                      60.41
8                      60.60
16                     59.01
32                     59.91
64                     61.51
128                    64.73
256                    66.76
512                    71.23
1024                   80.67
2048                   90.42
4096                  106.09
8192                  160.25
16384                 491.18
32768                 720.62
65536                1264.20
131072               2106.47
262144               3885.31
524288               8623.13
1048576             17806.47

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      61.02
2                      60.51
4                      60.40
8                      61.19
16                     59.64
32                     59.97
64                     61.67
128                    64.66
256                    66.96
512                    71.47
1024                   80.86
2048                   90.27
4096                  106.24
8192                  160.35
16384                 487.13
32768                 721.05
65536                1271.53
131072               2110.65
262144               3882.00
524288               8630.07
1048576             17834.00

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      60.74
2                      60.20
4                      59.90
8                      60.62
16                     58.91
32                     59.68
64                     61.52
128                    64.48
256                    66.85
512                    71.14
1024                   80.45
2048                   90.71
4096                  105.85
8192                  159.19
16384                 486.13
32768                 717.31
65536                1263.19
131072               2114.49
262144               3873.94
524288               8602.49
1048576             17896.08

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      60.64
2                      60.45
4                      60.36
8                      60.80
16                     59.16
32                     59.93
64                     61.45
128                    65.37
256                    67.43
512                    71.33
1024                   80.63
2048                   90.09
4096                  105.76
8192                  159.21
16384                 485.00
32768                 716.30
65536                1261.37
131072               2108.94
262144               3851.62
524288               8598.61
1048576             17803.02

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      60.45
2                      60.21
4                      60.00
8                      60.69
16                     59.04
32                     59.70
64                     61.36
128                    64.79
256                    66.59
512                    71.33
1024                   80.55
2048                   89.42
4096                  105.43
8192                  159.33
16384                 485.14
32768                 716.93
65536                1259.79
131072               2094.41
262144               3861.19
524288               8617.05
1048576             17815.20

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      62.01
2                      60.52
4                      60.34
8                      61.01
16                     59.44
32                     60.58
64                     61.97
128                    65.16
256                    67.55
512                    72.01
1024                   81.44
2048                   90.97
4096                  106.97
8192                  159.88
16384                 486.52
32768                 719.05
65536                1269.76
131072               2111.80
262144               3882.37
524288               8624.87
1048576             17763.53
