
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      54.44
2                      53.86
4                      54.04
8                      54.91
16                     51.03
32                     51.73
64                     53.68
128                    57.39
256                    63.40
512                    72.43
1024                   92.83
2048                  126.61
4096                  204.77
8192                  346.58
16384                 694.36
32768                1888.02
65536                3600.77
131072               7467.09
262144              15691.75
524288              32543.14
1048576             65849.63

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      54.35
2                      53.81
4                      54.02
8                      54.87
16                     50.93
32                     51.38
64                     53.88
128                    57.29
256                    63.66
512                    72.49
1024                   92.98
2048                  126.64
4096                  204.06
8192                  346.48
16384                 697.31
32768                1861.34
65536                3600.80
131072               7465.15
262144              15687.45
524288              32542.70
1048576             65853.81

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      55.10
2                      54.54
4                      54.21
8                      55.09
16                     51.13
32                     51.74
64                     53.83
128                    57.23
256                    63.46
512                    72.53
1024                   93.01
2048                  126.43
4096                  203.83
8192                  346.91
16384                 700.17
32768                1872.66
65536                3605.61
131072               7471.43
262144              15693.17
524288              32547.57
1048576             65867.21

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      54.89
2                      54.53
4                      54.29
8                      55.32
16                     51.17
32                     51.99
64                     53.81
128                    57.48
256                    63.49
512                    72.51
1024                   92.86
2048                  126.87
4096                  204.17
8192                  347.11
16384                 710.42
32768                1858.98
65536                3601.78
131072               7462.07
262144              15663.94
524288              32525.32
1048576             65832.67

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      54.55
2                      54.22
4                      54.45
8                      55.05
16                     51.34
32                     51.60
64                     53.72
128                    57.41
256                    63.58
512                    72.53
1024                   92.94
2048                  126.60
4096                  204.11
8192                  346.46
16384                 713.40
32768                1867.90
65536                3603.03
131072               7468.86
262144              15679.98
524288              32544.77
1048576             65882.68

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      53.34
2                      52.96
4                      53.08
8                      53.82
16                     50.04
32                     50.64
64                     52.84
128                    56.75
256                    63.20
512                    72.40
1024                   92.91
2048                  126.82
4096                  203.96
8192                  346.72
16384                 718.15
32768                1872.71
65536                3604.62
131072               7470.66
262144              15655.73
524288              32544.85
1048576             65878.45

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      54.39
2                      54.06
4                      54.05
8                      55.00
16                     50.84
32                     51.61
64                     53.62
128                    57.44
256                    63.41
512                    72.37
1024                   92.74
2048                  126.44
4096                  203.73
8192                  346.25
16384                 697.06
32768                1868.89
65536                3604.29
131072               7468.09
262144              15673.87
524288              32547.18
1048576             65891.75

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      54.32
2                      53.89
4                      54.02
8                      54.86
16                     50.83
32                     51.42
64                     53.82
128                    57.29
256                    63.34
512                    72.38
1024                   92.90
2048                  126.43
4096                  203.83
8192                  345.99
16384                 698.07
32768                1884.29
65536                3594.34
131072               7460.82
262144              15667.82
524288              32543.43
1048576             65878.46

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      53.99
2                      53.97
4                      53.67
8                      54.98
16                     51.02
32                     51.19
64                     53.67
128                    57.14
256                    63.37
512                    72.42
1024                   92.81
2048                  126.53
4096                  204.14
8192                  346.70
16384                 704.53
32768                1847.64
65536                3598.98
131072               7461.39
262144              15665.38
524288              32536.68
1048576             65849.88

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      54.30
2                      53.82
4                      54.27
8                      55.00
16                     51.25
32                     51.92
64                     53.76
128                    57.43
256                    63.45
512                    72.48
1024                   92.94
2048                  126.78
4096                  204.24
8192                  347.51
16384                 710.08
32768                1862.76
65536                3594.86
131072               7467.87
262144              15685.11
524288              32550.59
1048576             65874.56

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      53.31
2                      52.99
4                      53.42
8                      53.88
16                     50.05
32                     50.54
64                     52.92
128                    56.85
256                    63.16
512                    72.38
1024                   92.87
2048                  126.55
4096                  203.84
8192                  346.25
16384                 717.49
32768                1867.72
65536                3610.73
131072               7473.21
262144              15669.80
524288              32573.23
1048576             65856.67
