
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.97
2                      30.43
4                      30.02
8                      31.32
16                     28.08
32                     29.36
64                     32.00
128                    36.68
256                    47.49
512                    63.58
1024                   92.12
2048                  146.71
4096                  259.28
8192                  516.88
16384                 952.60
32768                3339.41
65536                7004.26
131072              15140.48
262144              31317.24
524288              61709.98
1048576            128265.70

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.78
2                      30.09
4                      29.62
8                      30.82
16                     27.71
32                     28.91
64                     31.72
128                    36.06
256                    46.79
512                    62.97
1024                   91.06
2048                  144.56
4096                  255.96
8192                  509.03
16384                 906.74
32768                3307.03
65536                7079.99
131072              15096.08
262144              32754.17
524288              64682.33
1048576            128379.92

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.83
2                      30.27
4                      29.79
8                      31.08
16                     28.03
32                     29.30
64                     32.12
128                    36.42
256                    47.35
512                    63.31
1024                   91.19
2048                  145.09
4096                  256.66
8192                  510.05
16384                 973.48
32768                3349.44
65536                7133.57
131072              15087.25
262144              32689.06
524288              64884.28
1048576            128529.44

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.68
2                      29.95
4                      29.64
8                      30.74
16                     27.93
32                     28.85
64                     31.67
128                    36.02
256                    46.71
512                    63.02
1024                   91.06
2048                  145.26
4096                  259.00
8192                  512.17
16384                 937.73
32768                3305.32
65536                7077.63
131072              15244.50
262144              32686.45
524288              64740.65
1048576            128562.56

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.89
2                      30.01
4                      29.54
8                      30.93
16                     27.85
32                     28.91
64                     31.76
128                    36.32
256                    46.78
512                    63.13
1024                   91.36
2048                  144.81
4096                  258.04
8192                  512.25
16384                 960.14
32768                3325.79
65536                7011.51
131072              14986.20
262144              31315.84
524288              64568.51
1048576            128541.50

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.94
2                      30.51
4                      29.99
8                      31.29
16                     28.27
32                     29.37
64                     32.20
128                    36.62
256                    47.05
512                    63.50
1024                   92.19
2048                  146.33
4096                  258.13
8192                  512.82
16384                 953.12
32768                3291.67
65536                6992.34
131072              15166.77
262144              31290.86
524288              64696.16
1048576            127163.47

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.44
2                      30.01
4                      29.44
8                      30.79
16                     27.76
32                     28.89
64                     31.69
128                    36.29
256                    46.85
512                    63.01
1024                   91.43
2048                  144.62
4096                  256.27
8192                  511.91
16384                 905.42
32768                3306.75
65536                7080.55
131072              15130.80
262144              32679.43
524288              64913.24
1048576            128634.58

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.73
2                      30.32
4                      29.79
8                      31.12
16                     28.22
32                     29.28
64                     32.09
128                    36.44
256                    47.23
512                    63.66
1024                   92.03
2048                  145.84
4096                  258.74
8192                  512.97
16384                 969.80
32768                3275.68
65536                6932.36
131072              15157.91
262144              31209.78
524288              64166.36
1048576            128154.89

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.69
2                      30.31
4                      29.74
8                      31.11
16                     27.97
32                     29.13
64                     32.10
128                    36.64
256                    47.29
512                    63.83
1024                   91.77
2048                  145.18
4096                  258.90
8192                  514.33
16384                 953.97
32768                3311.65
65536                7087.72
131072              15102.61
262144              32724.29
524288              64747.49
1048576            128601.42

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.92
2                      30.29
4                      29.80
8                      31.20
16                     28.17
32                     29.27
64                     32.02
128                    36.62
256                    46.95
512                    63.42
1024                   91.53
2048                  144.81
4096                  258.03
8192                  511.07
16384                 959.92
32768                3343.46
65536                7080.42
131072              15197.82
262144              32409.30
524288              64521.88
1048576            127536.45

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      31.05
2                      30.54
4                      30.12
8                      31.19
16                     28.08
32                     29.20
64                     31.97
128                    36.45
256                    47.31
512                    63.72
1024                   92.11
2048                  145.62
4096                  256.26
8192                  511.62
16384                 973.54
32768                3334.72
65536                7049.14
131072              15181.85
262144              32577.57
524288              64655.92
1048576            128442.40
