
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.20
2                      29.07
4                      29.18
8                      30.04
16                     26.10
32                     26.85
64                     29.51
128                    37.21
256                    38.38
512                    46.19
1024                   64.15
2048                  125.43
4096                  232.26
8192                  375.70
16384                 927.47
32768                1903.75
65536                4100.38
131072               7543.16
262144              14472.41
524288              29097.34
1048576             60697.68

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.07
2                      28.99
4                      29.15
8                      30.06
16                     26.13
32                     26.78
64                     29.50
128                    37.26
256                    38.38
512                    46.16
1024                   64.24
2048                  125.37
4096                  232.11
8192                  375.79
16384                 936.49
32768                1905.76
65536                4084.25
131072               7494.18
262144              14437.27
524288              29346.10
1048576             60712.47

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.14
2                      29.12
4                      29.29
8                      30.10
16                     26.18
32                     26.83
64                     29.49
128                    37.20
256                    38.42
512                    46.22
1024                   64.14
2048                  125.39
4096                  232.18
8192                  376.54
16384                 930.34
32768                1895.12
65536                4054.33
131072               7427.51
262144              14395.74
524288              29089.84
1048576             61078.86

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.02
2                      29.03
4                      29.14
8                      29.95
16                     26.04
32                     26.76
64                     29.46
128                    37.24
256                    38.38
512                    46.19
1024                   64.17
2048                  125.44
4096                  231.98
8192                  375.34
16384                 931.66
32768                1898.51
65536                4052.39
131072               7515.66
262144              14457.65
524288              28892.45
1048576             60772.75

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.20
2                      29.15
4                      29.28
8                      30.09
16                     26.20
32                     26.90
64                     29.56
128                    37.25
256                    38.41
512                    46.16
1024                   64.18
2048                  125.78
4096                  232.19
8192                  375.68
16384                 931.26
32768                1896.89
65536                4041.83
131072               7394.01
262144              14412.19
524288              28769.62
1048576             60299.59

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.27
2                      29.14
4                      29.23
8                      30.10
16                     26.17
32                     26.85
64                     29.54
128                    37.18
256                    38.42
512                    46.17
1024                   64.18
2048                  125.39
4096                  232.02
8192                  376.51
16384                 932.76
32768                1898.02
65536                4033.13
131072               7526.54
262144              14434.25
524288              28685.42
1048576             61684.92

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.24
2                      29.11
4                      29.22
8                      30.08
16                     26.12
32                     26.86
64                     29.51
128                    37.25
256                    38.43
512                    46.15
1024                   64.07
2048                  125.52
4096                  232.24
8192                  375.71
16384                 932.15
32768                1896.76
65536                4058.74
131072               7429.71
262144              14464.46
524288              28629.80
1048576             60583.23

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.12
2                      29.12
4                      29.27
8                      30.10
16                     26.13
32                     26.84
64                     29.52
128                    37.24
256                    38.39
512                    46.22
1024                   64.21
2048                  125.72
4096                  232.10
8192                  376.47
16384                 931.97
32768                1895.86
65536                4042.96
131072               7471.09
262144              14486.53
524288              28927.56
1048576             60855.67

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.04
2                      28.99
4                      29.12
8                      29.94
16                     26.00
32                     26.77
64                     29.39
128                    37.17
256                    38.32
512                    46.18
1024                   64.08
2048                  125.41
4096                  233.00
8192                  376.70
16384                 937.82
32768                1914.76
65536                4041.13
131072               7498.38
262144              14429.34
524288              28937.60
1048576             60341.94

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.20
2                      29.13
4                      29.25
8                      30.15
16                     26.12
32                     26.82
64                     29.49
128                    37.21
256                    38.61
512                    46.16
1024                   64.15
2048                  125.78
4096                  232.11
8192                  375.95
16384                 932.28
32768                1897.90
65536                4080.47
131072               7513.27
262144              14477.30
524288              28698.26
1048576             61459.20

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.08
2                      28.97
4                      29.17
8                      29.96
16                     26.17
32                     26.80
64                     29.41
128                    37.21
256                    38.47
512                    46.22
1024                   64.25
2048                  125.87
4096                  233.21
8192                  377.84
16384                 936.89
32768                1943.29
65536                4113.90
131072               7497.15
262144              14393.77
524288              28803.41
1048576             59763.84
