
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.54
2                      19.16
4                      19.21
8                      19.51
16                     19.82
32                     19.52
64                     19.90
128                    21.02
256                    26.83
512                    29.42
1024                   33.89
2048                   41.72
4096                   60.20
8192                   91.11
16384                 166.12
32768                 277.61
65536                 453.98
131072                840.82
262144               1902.78
524288               4416.44
1048576              9105.53

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.68
2                      19.38
4                      19.38
8                      20.31
16                     19.95
32                     19.66
64                     20.08
128                    21.15
256                    27.40
512                    29.48
1024                   33.84
2048                   41.53
4096                   60.23
8192                   90.82
16384                 165.05
32768                 277.29
65536                 454.71
131072                841.20
262144               1900.36
524288               4421.20
1048576              9103.97

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.65
2                      19.40
4                      19.37
8                      19.71
16                     20.50
32                     19.71
64                     20.03
128                    21.16
256                    26.78
512                    29.34
1024                   33.81
2048                   41.67
4096                   60.27
8192                   91.11
16384                 165.82
32768                 277.72
65536                 454.06
131072                842.48
262144               1905.82
524288               4420.73
1048576              9102.22

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.64
2                      19.24
4                      19.23
8                      20.23
16                     19.88
32                     19.66
64                     19.97
128                    21.04
256                    27.47
512                    29.52
1024                   33.97
2048                   41.79
4096                   60.38
8192                   91.16
16384                 165.36
32768                 277.62
65536                 455.30
131072                841.67
262144               1905.10
524288               4418.09
1048576              9108.59

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.58
2                      19.18
4                      19.19
8                      19.60
16                     19.83
32                     19.61
64                     19.90
128                    20.99
256                    26.80
512                    29.25
1024                   33.72
2048                   41.48
4096                   60.09
8192                   90.92
16384                 164.89
32768                 277.37
65536                 454.39
131072                841.49
262144               1895.48
524288               4417.69
1048576              9100.06

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      20.71
2                      19.17
4                      19.22
8                      19.76
16                     20.09
32                     19.71
64                     19.99
128                    21.09
256                    26.89
512                    29.58
1024                   33.97
2048                   41.87
4096                   60.40
8192                   91.29
16384                 165.33
32768                 277.70
65536                 455.94
131072                843.79
262144               1903.26
524288               4428.88
1048576              9112.28

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.55
2                      19.26
4                      19.23
8                      19.64
16                     19.83
32                     19.63
64                     19.99
128                    21.03
256                    26.85
512                    29.46
1024                   33.82
2048                   41.67
4096                   60.11
8192                   91.09
16384                 166.26
32768                 277.87
65536                 454.24
131072                840.65
262144               1910.52
524288               4420.31
1048576              9100.05

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.64
2                      19.25
4                      19.24
8                      19.62
16                     19.82
32                     19.61
64                     20.50
128                    21.00
256                    26.80
512                    29.39
1024                   33.98
2048                   41.69
4096                   60.28
8192                   91.14
16384                 165.38
32768                 276.49
65536                 453.78
131072                840.87
262144               1902.05
524288               4426.57
1048576              9104.85

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.67
2                      19.24
4                      19.28
8                      20.23
16                     19.89
32                     19.59
64                     19.97
128                    21.05
256                    26.73
512                    29.25
1024                   33.75
2048                   41.48
4096                   60.30
8192                   91.32
16384                 165.52
32768                 278.30
65536                 455.19
131072                842.85
262144               1910.74
524288               4419.36
1048576              9105.50

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.61
2                      19.23
4                      19.31
8                      19.66
16                     19.98
32                     19.64
64                     20.00
128                    21.74
256                    26.87
512                    29.39
1024                   33.87
2048                   41.80
4096                   60.42
8192                   91.31
16384                 165.44
32768                 278.23
65536                 455.66
131072                841.60
262144               1912.60
524288               4431.07
1048576              9109.78

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      19.59
2                      19.20
4                      19.25
8                      19.59
16                     19.81
32                     19.62
64                     19.88
128                    21.04
256                    26.58
512                    29.24
1024                   33.72
2048                   41.37
4096                   60.04
8192                   90.85
16384                 165.18
32768                 277.73
65536                 454.36
131072                840.67
262144               1898.88
524288               4420.25
1048576              9106.90
