
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      35.91
2                      34.49
4                      35.25
8                      35.29
16                     34.97
32                     37.52
64                     38.67
128                    39.55
256                    45.20
512                    48.72
1024                   55.82
2048                   69.62
4096                   98.73
8192                  161.25
16384                 636.45
32768                 899.12
65536                1744.52
131072               3863.51
262144               7482.96
524288              15041.53
1048576             30651.74

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      35.52
2                      34.42
4                      35.12
8                      35.00
16                     34.98
32                     37.52
64                     38.66
128                    39.57
256                    44.88
512                    48.56
1024                   55.59
2048                   69.13
4096                   98.13
8192                  160.79
16384                 637.43
32768                 899.81
65536                1746.36
131072               3904.17
262144               7491.37
524288              15102.51
1048576             30528.27

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      35.57
2                      35.21
4                      36.61
8                      36.81
16                     36.60
32                     38.77
64                     39.50
128                    39.79
256                    44.86
512                    49.12
1024                   55.82
2048                   69.66
4096                   99.25
8192                  161.32
16384                 639.06
32768                 900.73
65536                1751.34
131072               3891.40
262144               7552.00
524288              15052.35
1048576             30541.76

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      35.95
2                      35.32
4                      35.05
8                      35.20
16                     35.29
32                     36.72
64                     38.07
128                    40.14
256                    44.95
512                    48.47
1024                   55.69
2048                   69.63
4096                   98.44
8192                  161.50
16384                 639.60
32768                 903.11
65536                1747.32
131072               3867.54
262144               7487.33
524288              15174.68
1048576             30720.42

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      36.43
2                      35.19
4                      37.70
8                      36.52
16                     35.96
32                     38.19
64                     38.97
128                    40.02
256                    45.73
512                    48.81
1024                   56.51
2048                   70.00
4096                   99.74
8192                  161.79
16384                 637.34
32768                 911.22
65536                1768.84
131072               3892.65
262144               7534.71
524288              14923.94
1048576             30359.38

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      35.55
2                      35.98
4                      37.74
8                      37.23
16                     36.95
32                     38.41
64                     39.40
128                    40.38
256                    45.00
512                    49.22
1024                   55.98
2048                   70.14
4096                   98.54
8192                  162.38
16384                 637.43
32768                 909.13
65536                1745.38
131072               3880.21
262144               7510.22
524288              15011.41
1048576             30487.76

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      35.19
2                      34.54
4                      34.91
8                      35.34
16                     35.14
32                     37.71
64                     38.56
128                    39.70
256                    45.17
512                    48.52
1024                   56.07
2048                   69.34
4096                   98.38
8192                  160.73
16384                 637.58
32768                 906.59
65536                1745.86
131072               3873.13
262144               7520.26
524288              15027.49
1048576             30656.52

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      35.51
2                      34.59
4                      35.21
8                      35.40
16                     35.04
32                     37.46
64                     38.44
128                    39.61
256                    44.87
512                    48.31
1024                   55.58
2048                   69.13
4096                   98.36
8192                  159.67
16384                 636.28
32768                 900.53
65536                1752.40
131072               3886.20
262144               7495.01
524288              14981.11
1048576             30376.23

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      35.48
2                      34.55
4                      36.45
8                      36.42
16                     35.73
32                     38.35
64                     39.09
128                    39.54
256                    44.76
512                    48.65
1024                   55.55
2048                   69.12
4096                   98.00
8192                  158.85
16384                 637.07
32768                 901.14
65536                1755.33
131072               3890.41
262144               7517.19
524288              15065.65
1048576             30502.08

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      35.26
2                      34.83
4                      36.17
8                      36.12
16                     35.94
32                     38.27
64                     39.05
128                    39.54
256                    44.88
512                    48.88
1024                   55.94
2048                   69.57
4096                   98.27
8192                  160.37
16384                 636.00
32768                 899.42
65536                1746.74
131072               3872.84
262144               7549.65
524288              15094.75
1048576             30520.27

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      35.60
2                      34.74
4                      36.37
8                      36.09
16                     36.04
32                     38.30
64                     39.20
128                    39.71
256                    45.07
512                    48.78
1024                   56.07
2048                   69.80
4096                   98.19
8192                  160.70
16384                 637.79
32768                 898.11
65536                1746.32
131072               3888.14
262144               7508.01
524288              15044.44
1048576             30592.60
