
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    25.90
512                    30.18
1024                   40.27
2048                   57.27
4096                   92.93
8192                  160.54
16384                 303.08
32768                 560.52
65536                1262.15
131072               2721.61
262144               5747.68
524288              11910.11
1048576             23816.77
2097152             47541.55

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    25.77
512                    30.07
1024                   40.12
2048                   56.99
4096                   92.58
8192                  159.70
16384                 301.50
32768                 561.39
65536                1258.76
131072               2706.62
262144               5734.21
524288              11892.05
1048576             23794.63
2097152             47517.29

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    25.56
512                    29.82
1024                   39.68
2048                   56.62
4096                   91.97
8192                  159.51
16384                 299.97
32768                 564.58
65536                1254.62
131072               2712.46
262144               5726.14
524288              11878.46
1048576             23870.40
2097152             47550.25

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    25.89
512                    30.09
1024                   40.18
2048                   56.98
4096                   92.51
8192                  160.51
16384                 304.54
32768                 566.17
65536                1259.07
131072               2719.40
262144               5742.94
524288              11877.98
1048576             23815.34
2097152             47530.50

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    25.76
512                    29.94
1024                   39.77
2048                   56.66
4096                   92.20
8192                  158.93
16384                 299.21
32768                 565.40
65536                1257.48
131072               2716.08
262144               5747.57
524288              11883.85
1048576             23821.15
2097152             47535.38
