
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    40.56
512                    48.28
1024                   67.82
2048                  104.01
4096                  187.40
8192                  406.73
16384                1119.03
32768                4476.33
65536                8748.89
131072              16833.59
262144              33778.14
524288              60456.14
1048576            106126.93
2097152            197598.96

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    40.60
512                    48.37
1024                   67.93
2048                  104.31
4096                  187.67
8192                  405.16
16384                1121.17
32768                4616.96
65536                8837.82
131072              16770.01
262144              33838.11
524288              60710.76
1048576            105908.64
2097152            197412.27

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    40.60
512                    48.38
1024                   67.80
2048                  104.04
4096                  188.05
8192                  407.55
16384                1120.04
32768                4469.20
65536                8858.18
131072              16849.24
262144              33976.61
524288              60517.83
1048576            105946.17
2097152            196601.62

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    40.64
512                    48.37
1024                   67.80
2048                  104.03
4096                  187.69
8192                  407.51
16384                1117.89
32768                4496.21
65536                8911.98
131072              16900.53
262144              33602.77
524288              60545.11
1048576            105861.29
2097152            196428.62

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    40.59
512                    48.51
1024                   68.20
2048                  104.12
4096                  187.51
8192                  406.18
16384                1116.20
32768                4421.96
65536                8775.64
131072              16603.81
262144              33799.24
524288              60350.70
1048576            105439.47
2097152            197451.14
