
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    42.52
512                    51.09
1024                   69.51
2048                  105.71
4096                  186.80
8192                  463.31
16384                1182.70
32768                4377.36
65536                9302.87
131072              17342.36
262144              34981.19
524288              64157.82
1048576            117151.50
2097152            224273.49

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    42.48
512                    51.06
1024                   69.48
2048                  105.57
4096                  186.35
8192                  460.11
16384                1180.20
32768                4376.64
65536                9204.38
131072              17331.47
262144              35255.11
524288              64420.63
1048576            117515.50
2097152            224006.48

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    42.58
512                    51.12
1024                   69.55
2048                  105.59
4096                  186.82
8192                  456.33
16384                1174.84
32768                4390.61
65536                9310.03
131072              17315.84
262144              34706.56
524288              64036.60
1048576            117460.23
2097152            224806.35

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    42.55
512                    51.15
1024                   69.65
2048                  105.72
4096                  187.09
8192                  461.12
16384                1173.17
32768                4650.56
65536                9329.52
131072              17262.03
262144              34895.92
524288              63939.00
1048576            117257.09
2097152            223947.27

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    42.56
512                    51.12
1024                   69.48
2048                  105.66
4096                  186.59
8192                  468.35
16384                1183.31
32768                4374.78
65536                9365.47
131072              17383.55
262144              34925.74
524288              63825.41
1048576            116695.45
2097152            223908.35
