
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       8.92
2                       8.31
4                       9.39
8                      10.52
16                     11.56
32                     10.28
64                     12.17
128                    15.56
256                    21.44
512                    30.86
1024                   56.91
2048                  106.59
4096                  230.46
8192                  424.73
16384                1310.10
32768                2068.14
65536                3183.49
131072               5625.23
262144              11300.60
524288              23138.58
1048576             53108.07
2097152            131426.68

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       8.72
2                       8.35
4                       9.36
8                      10.47
16                     11.55
32                     10.11
64                     11.99
128                    15.42
256                    21.44
512                    30.82
1024                   56.58
2048                  106.02
4096                  227.43
8192                  424.34
16384                1281.12
32768                2077.04
65536                3262.40
131072               5776.97
262144              11285.08
524288              24579.73
1048576             52891.12
2097152            129189.69

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       8.87
2                       8.31
4                       9.38
8                      10.44
16                     12.27
32                     10.09
64                     12.03
128                    15.58
256                    21.44
512                    30.94
1024                   56.68
2048                  106.24
4096                  229.25
8192                  421.58
16384                1281.06
32768                2071.81
65536                3312.76
131072               5787.60
262144              11624.90
524288              23672.61
1048576             54415.79
2097152            138573.03

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       8.76
2                       8.34
4                       9.37
8                      10.54
16                     11.54
32                     10.06
64                     12.03
128                    15.44
256                    21.43
512                    30.86
1024                   56.57
2048                  105.76
4096                  230.52
8192                  424.00
16384                1284.00
32768                2077.95
65536                3305.01
131072               5706.04
262144              11409.38
524288              23216.81
1048576             52419.09
2097152            132116.40

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       8.86
2                       8.39
4                       9.38
8                      10.46
16                     11.51
32                     10.25
64                     12.19
128                    15.54
256                    21.55
512                    31.43
1024                   56.66
2048                  106.17
4096                  229.99
8192                  433.31
16384                1278.83
32768                2073.82
65536                3237.00
131072               5721.17
262144              11432.97
524288              23235.42
1048576             51883.65
2097152            126823.81

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       8.99
2                       8.49
4                       9.70
8                      10.61
16                     11.71
32                     10.11
64                     12.21
128                    15.81
256                    21.48
512                    30.91
1024                   56.89
2048                  106.48
4096                  228.92
8192                  419.47
16384                1281.09
32768                2103.38
65536                3249.44
131072               5761.46
262144              11383.43
524288              23515.43
1048576             53665.77
2097152            124860.93

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       8.80
2                       8.38
4                       9.38
8                      10.46
16                     11.54
32                     10.58
64                     12.43
128                    15.69
256                    21.56
512                    31.00
1024                   56.57
2048                  106.16
4096                  226.57
8192                  417.08
16384                1279.34
32768                2069.52
65536                3178.92
131072               5817.78
262144              11348.86
524288              23396.59
1048576             51798.11
2097152            134918.12

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       8.80
2                       8.37
4                       9.62
8                      10.49
16                     11.53
32                     10.07
64                     11.98
128                    15.44
256                    21.40
512                    30.98
1024                   56.63
2048                  106.18
4096                  227.63
8192                  423.78
16384                1282.93
32768                2074.24
65536                3275.04
131072               5719.05
262144              11632.84
524288              23593.49
1048576             52786.08
2097152            125517.86

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       8.88
2                       8.35
4                       9.55
8                      10.46
16                     11.50
32                     10.24
64                     12.10
128                    15.51
256                    21.58
512                    30.94
1024                   57.18
2048                  107.03
4096                  248.78
8192                  425.81
16384                1283.10
32768                2081.81
65536                3216.72
131072               5606.40
262144              11253.23
524288              22776.39
1048576             50806.58
2097152            125569.97

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.01
2                       8.32
4                       9.35
8                      10.47
16                     11.54
32                     10.08
64                     12.00
128                    15.45
256                    21.41
512                    30.97
1024                   56.66
2048                  106.37
4096                  226.40
8192                  420.17
16384                1282.34
32768                2068.14
65536                3174.82
131072               5624.33
262144              11303.89
524288              22925.58
1048576             52499.56
2097152            125668.80
