
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.74
2                       8.21
4                       8.23
8                       8.40
16                      8.86
32                      9.74
64                     11.62
128                    14.55
256                    19.46
512                    27.45
1024                   50.97
2048                   92.10
4096                  870.43
8192                 1736.71
16384                2866.69
32768                5494.36
65536               10866.82
131072              21663.39
262144              43329.66
524288              86698.41
1048576            173421.28
2097152            347015.74

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.11
2                       7.95
4                       8.02
8                       8.29
16                      8.78
32                      9.55
64                     11.43
128                    14.52
256                    19.42
512                    27.55
1024                   50.53
2048                   91.86
4096                  879.48
8192                 1667.96
16384                2858.61
32768                5491.42
65536               10875.57
131072              21661.19
262144              43333.12
524288              86692.76
1048576            173431.24
2097152            346965.90

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.49
2                       8.37
4                       8.39
8                       8.64
16                      9.04
32                      9.88
64                     11.75
128                    14.67
256                    19.51
512                    27.43
1024                   50.38
2048                   91.93
4096                  868.38
8192                 1704.29
16384                2858.37
32768                5493.35
65536               10840.78
131072              21633.18
262144              43332.07
524288              86682.09
1048576            173414.96
2097152            346770.96

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       8.94
2                       7.98
4                       8.02
8                       8.27
16                      8.70
32                      9.52
64                     11.40
128                    14.47
256                    19.41
512                    27.46
1024                   50.30
2048                   91.79
4096                  860.77
8192                 1702.39
16384                2867.68
32768                5501.49
65536               10855.99
131072              21645.20
262144              43324.16
524288              86682.49
1048576            173415.94
2097152            346947.36

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.24
2                       8.20
4                       8.23
8                       8.45
16                      9.01
32                      9.76
64                     11.61
128                    14.99
256                    19.49
512                    27.73
1024                   50.23
2048                   91.86
4096                  881.24
8192                 1732.35
16384                2861.77
32768                5500.49
65536               10851.89
131072              21663.99
262144              43304.00
524288              86686.93
1048576            173392.89
2097152            346961.33

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.02
2                       7.97
4                       8.02
8                       8.39
16                      8.74
32                      9.53
64                     11.62
128                    14.54
256                    19.47
512                    27.55
1024                   50.53
2048                   91.88
4096                  866.81
8192                 1706.00
16384                2860.47
32768                5501.10
65536               10860.83
131072              21632.53
262144              43325.75
524288              86673.78
1048576            173403.72
2097152            346936.14

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.84
2                       8.45
4                       8.61
8                       8.97
16                      9.34
32                     10.12
64                     11.89
128                    15.25
256                    19.58
512                    27.48
1024                   50.23
2048                   91.95
4096                  862.56
8192                 1693.55
16384                2860.49
32768                5498.91
65536               10856.84
131072              21639.02
262144              43314.27
524288              86672.40
1048576            173400.90
2097152            346913.68

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.84
2                       8.32
4                       8.36
8                       8.63
16                      8.95
32                      9.83
64                     11.77
128                    14.86
256                    19.46
512                    27.47
1024                   50.89
2048                   91.50
4096                  867.86
8192                 1693.93
16384                2868.76
32768                5506.86
65536               10869.17
131072              21657.67
262144              43310.15
524288              86678.96
1048576            173408.41
2097152            346951.41

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.62
2                       8.55
4                       8.48
8                       8.88
16                      9.17
32                     10.02
64                     11.82
128                    14.72
256                    19.55
512                    27.48
1024                   51.07
2048                   91.95
4096                  869.67
8192                 1705.72
16384                2859.38
32768                5493.85
65536               10838.25
131072              21667.59
262144              43330.98
524288              86680.44
1048576            173403.50
2097152            346943.45

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.00
2                       7.99
4                       8.05
8                       8.31
16                      8.72
32                      9.53
64                     11.45
128                    14.62
256                    19.40
512                    27.46
1024                   50.43
2048                   92.44
4096                  876.58
8192                 1745.72
16384                2866.59
32768                5494.86
65536               10880.29
131072              21668.99
262144              43331.38
524288              86682.96
1048576            173404.54
2097152            346943.80
