
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.37
2                      11.38
4                      12.94
8                      13.54
16                     14.42
32                     16.48
64                     20.84
128                    30.72
256                    47.02
512                    70.14
1024                  119.94
2048                  201.64
4096                  386.11
8192                  809.93
16384                3529.66
32768                7104.34
65536               13936.70
131072              30346.66
262144              61968.00
524288             123028.13
1048576            241143.59
2097152            474676.54

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.91
2                      11.38
4                      12.25
8                      13.23
16                     14.28
32                     16.55
64                     20.87
128                    30.91
256                    47.36
512                    70.45
1024                  119.69
2048                  199.94
4096                  380.81
8192                  806.82
16384                3543.42
32768                7080.30
65536               13444.12
131072              29509.05
262144              59775.25
524288             122760.85
1048576            241044.76
2097152            474844.37

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.41
2                      11.38
4                      12.51
8                      13.22
16                     14.29
32                     16.49
64                     20.85
128                    30.66
256                    46.83
512                    70.00
1024                  118.98
2048                  200.74
4096                  383.60
8192                  806.38
16384                3529.08
32768                7157.34
65536               13811.11
131072              30329.98
262144              61903.87
524288             118647.11
1048576            240989.71
2097152            476558.86

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.42
2                      11.43
4                      12.28
8                      13.25
16                     14.31
32                     16.52
64                     20.81
128                    30.64
256                    46.71
512                    70.08
1024                  118.53
2048                  200.74
4096                  382.66
8192                  801.39
16384                3544.57
32768                7250.06
65536               13919.52
131072              28724.96
262144              62084.22
524288             123901.66
1048576            242003.33
2097152            476229.46

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.77
2                      11.47
4                      12.62
8                      13.53
16                     14.50
32                     16.63
64                     21.17
128                    30.75
256                    46.94
512                    70.09
1024                  118.81
2048                  200.71
4096                  378.36
8192                  809.86
16384                3549.31
32768                7134.15
65536               13708.28
131072              28996.76
262144              61805.78
524288             122313.93
1048576            239929.24
2097152            472677.28

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.38
2                      11.39
4                      12.31
8                      13.30
16                     14.34
32                     16.52
64                     20.83
128                    31.40
256                    47.05
512                    69.86
1024                  119.07
2048                  200.98
4096                  385.72
8192                  811.63
16384                3575.13
32768                6997.26
65536               13742.39
131072              29339.63
262144              59657.95
524288             116599.87
1048576            240567.94
2097152            472708.59

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.40
2                      11.36
4                      12.22
8                      13.26
16                     14.31
32                     16.50
64                     20.79
128                    30.56
256                    46.60
512                    69.93
1024                  118.31
2048                  200.21
4096                  378.48
8192                  802.05
16384                3512.41
32768                6975.95
65536               13748.36
131072              29383.31
262144              59711.06
524288             117993.46
1048576            240597.08
2097152            474428.61

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.34
2                      11.94
4                      12.37
8                      13.29
16                     14.39
32                     16.55
64                     20.89
128                    30.73
256                    46.96
512                    70.63
1024                  120.05
2048                  201.10
4096                  381.55
8192                  806.93
16384                3527.37
32768                7148.12
65536               13751.70
131072              30311.37
262144              61798.83
524288             122394.80
1048576            241191.34
2097152            475351.14

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.41
2                      11.41
4                      12.27
8                      13.27
16                     14.39
32                     16.55
64                     20.92
128                    30.79
256                    46.91
512                    70.04
1024                  119.10
2048                  201.30
4096                  377.55
8192                  805.49
16384                3530.28
32768                6823.61
65536               13615.54
131072              30063.32
262144              62103.87
524288             122541.13
1048576            240624.72
2097152            474398.34

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.52
2                      11.48
4                      12.27
8                      13.20
16                     14.30
32                     16.56
64                     20.84
128                    30.76
256                    46.95
512                    70.08
1024                  118.82
2048                  200.18
4096                  378.75
8192                  807.16
16384                3537.60
32768                6928.64
65536               13755.97
131072              30310.40
262144              61839.67
524288             122360.58
1048576            239747.22
2097152            471983.41
