
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.78
2                     156.49
4                     157.02
8                     160.49
16                    158.63
32                    162.39
64                    167.66
128                   186.34
256                   200.45
512                   238.23
1024                  315.94
2048                  222.29
4096                  329.82
8192                  551.67
16384                1379.97
32768                2160.52
65536                3344.87
131072               6280.62
262144              12606.09
524288              25447.73
1048576             51633.06
2097152            104965.51

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.98
2                     156.66
4                     157.07
8                     160.61
16                    158.80
32                    162.34
64                    169.18
128                   185.81
256                   200.39
512                   238.40
1024                  316.30
2048                  222.36
4096                  330.56
8192                  550.99
16384                1380.03
32768                2162.16
65536                3356.29
131072               6311.41
262144              12620.58
524288              25399.08
1048576             51754.44
2097152            104742.78

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.83
2                     156.80
4                     157.22
8                     160.70
16                    158.81
32                    162.37
64                    167.49
128                   174.40
256                   200.28
512                   238.17
1024                  315.56
2048                  222.11
4096                  331.11
8192                  552.24
16384                1378.76
32768                2155.44
65536                3338.26
131072               6303.53
262144              12601.27
524288              25475.71
1048576             51677.41
2097152            104873.23

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.78
2                     156.74
4                     157.14
8                     160.83
16                    158.73
32                    162.22
64                    167.01
128                   184.87
256                   200.36
512                   238.19
1024                  316.19
2048                  222.71
4096                  331.26
8192                  554.69
16384                1382.05
32768                2164.81
65536                3333.15
131072               6285.91
262144              12657.75
524288              25419.34
1048576             51843.89
2097152            104916.74

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.84
2                     156.61
4                     156.92
8                     160.68
16                    158.69
32                    162.35
64                    167.37
128                   181.99
256                   200.24
512                   238.26
1024                  315.88
2048                  222.74
4096                  330.53
8192                  564.60
16384                1386.94
32768                2162.31
65536                3345.80
131072               6287.20
262144              12691.74
524288              25444.20
1048576             51791.72
2097152            105265.72

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.94
2                     156.74
4                     157.26
8                     160.66
16                    158.94
32                    162.31
64                    167.10
128                   186.19
256                   200.35
512                   238.24
1024                  316.42
2048                  222.36
4096                  330.19
8192                  547.90
16384                1381.62
32768                2153.70
65536                3336.20
131072               6276.06
262144              12617.58
524288              25372.93
1048576             51837.18
2097152            105214.01

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.78
2                     156.61
4                     157.03
8                     160.62
16                    158.64
32                    162.20
64                    167.73
128                   186.99
256                   200.25
512                   238.19
1024                  316.05
2048                  221.55
4096                  329.32
8192                  553.70
16384                1380.08
32768                2160.72
65536                3338.19
131072               6300.06
262144              12604.25
524288              25423.65
1048576             51598.34
2097152            104615.45

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.82
2                     156.73
4                     157.21
8                     160.65
16                    158.85
32                    162.37
64                    169.09
128                   188.36
256                   200.57
512                   238.41
1024                  315.85
2048                  221.67
4096                  329.65
8192                  549.38
16384                1378.26
32768                2156.51
65536                3343.19
131072               6307.90
262144              12589.34
524288              25514.62
1048576             51756.88
2097152            105015.68

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     160.07
2                     156.60
4                     156.99
8                     160.57
16                    158.77
32                    162.31
64                    166.99
128                   175.04
256                   200.44
512                   238.35
1024                  315.88
2048                  222.44
4096                  330.81
8192                  553.69
16384                1383.02
32768                2157.73
65536                3347.34
131072               6278.10
262144              12669.24
524288              25494.60
1048576             51836.75
2097152            105583.52

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.75
2                     156.55
4                     157.14
8                     160.54
16                    158.72
32                    162.36
64                    168.26
128                   171.63
256                   200.37
512                   238.40
1024                  315.88
2048                  221.98
4096                  330.01
8192                  545.26
16384                1381.65
32768                2160.47
65536                3348.62
131072               6280.84
262144              12650.44
524288              25479.67
1048576             51763.32
2097152            104971.20
