
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.85
2                      41.43
4                      42.02
8                      43.94
16                     42.05
32                     44.95
64                     48.87
128                    56.76
256                    79.21
512                   114.01
1024                  188.85
2048                  176.19
4096                  269.53
8192                  517.95
16384                1509.13
32768                2809.66
65536                5437.05
131072              11051.31
262144              21441.14
524288              43277.07
1048576             87503.71
2097152            175516.53

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.86
2                      41.55
4                      42.13
8                      44.02
16                     42.17
32                     45.12
64                     48.94
128                    56.76
256                    79.24
512                   114.22
1024                  189.05
2048                  176.91
4096                  270.40
8192                  504.37
16384                1505.31
32768                2822.69
65536                5450.03
131072              10987.20
262144              21482.98
524288              43356.23
1048576             87441.55
2097152            175489.91

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.63
2                      41.32
4                      42.02
8                      43.88
16                     42.01
32                     44.91
64                     48.79
128                    56.56
256                    79.01
512                   114.03
1024                  188.66
2048                  176.35
4096                  268.97
8192                  508.88
16384                1500.92
32768                2796.72
65536                5451.76
131072              11050.93
262144              21450.78
524288              43261.19
1048576             87414.20
2097152            175417.60

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.79
2                      41.39
4                      42.06
8                      43.98
16                     42.04
32                     44.97
64                     48.88
128                    56.71
256                    79.24
512                   113.92
1024                  188.90
2048                  176.57
4096                  269.34
8192                  507.15
16384                1503.11
32768                2812.99
65536                5448.04
131072              10980.06
262144              21479.30
524288              43394.55
1048576             87515.37
2097152            175470.35

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.84
2                      41.47
4                      42.11
8                      44.01
16                     42.14
32                     45.07
64                     48.95
128                    56.68
256                    79.17
512                   114.13
1024                  188.99
2048                  177.81
4096                  269.88
8192                  503.01
16384                1501.75
32768                2801.86
65536                5457.65
131072              11028.69
262144              21472.70
524288              43335.36
1048576             87489.58
2097152            175411.52

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.87
2                      41.46
4                      42.12
8                      44.00
16                     42.19
32                     45.02
64                     48.91
128                    56.67
256                    79.12
512                   114.07
1024                  188.95
2048                  177.15
4096                  269.80
8192                  506.06
16384                1501.10
32768                2816.62
65536                5463.02
131072              11139.07
262144              21490.08
524288              43357.82
1048576             87572.65
2097152            175466.43

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.82
2                      41.47
4                      42.10
8                      43.99
16                     42.09
32                     44.99
64                     48.92
128                    56.60
256                    79.00
512                   113.86
1024                  188.76
2048                  176.32
4096                  268.98
8192                  509.08
16384                1500.81
32768                2829.18
65536                5469.01
131072              11044.78
262144              21506.19
524288              43295.32
1048576             87510.74
2097152            175545.22

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.89
2                      41.45
4                      42.14
8                      43.97
16                     42.13
32                     45.00
64                     48.91
128                    56.66
256                    79.03
512                   113.95
1024                  188.66
2048                  176.44
4096                  269.06
8192                  503.14
16384                1502.45
32768                2818.29
65536                5437.48
131072              11056.87
262144              21494.44
524288              43307.32
1048576             87587.22
2097152            175492.70

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.87
2                      41.48
4                      42.05
8                      43.95
16                     42.07
32                     45.00
64                     48.85
128                    56.61
256                    79.06
512                   113.98
1024                  188.63
2048                  177.02
4096                  269.63
8192                  512.11
16384                1502.37
32768                2812.13
65536                5442.25
131072              11045.00
262144              21485.36
524288              43304.43
1048576             87458.63
2097152            175385.35

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.83
2                      41.42
4                      42.02
8                      43.93
16                     42.08
32                     44.99
64                     48.86
128                    56.62
256                    79.01
512                   113.91
1024                  188.82
2048                  178.42
4096                  268.92
8192                  519.41
16384                1501.90
32768                2816.68
65536                5435.19
131072              10999.09
262144              21448.59
524288              43350.32
1048576             87474.36
2097152            175574.22
