
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      41.01
2                      40.21
4                      40.97
8                      43.44
16                     40.05
32                     42.81
64                     45.57
128                    51.00
256                    58.90
512                    74.38
1024                  113.33
2048                  190.68
4096                 1031.69
8192                 2041.80
16384                4717.18
32768                8427.72
65536               15709.75
131072              30180.19
262144              60239.40
524288             120489.86
1048576            238853.81
2097152            477672.09

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      40.81
2                      40.00
4                      40.83
8                      43.34
16                     39.98
32                     42.67
64                     45.49
128                    50.99
256                    59.28
512                    74.48
1024                  114.13
2048                  191.18
4096                 1024.57
8192                 2031.33
16384                4698.28
32768                8423.96
65536               15712.38
131072              30154.72
262144              60256.03
524288             120485.53
1048576            238921.14
2097152            476751.36

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      40.72
2                      39.90
4                      40.76
8                      43.59
16                     39.81
32                     42.62
64                     45.44
128                    50.86
256                    58.88
512                    74.33
1024                  113.45
2048                  190.89
4096                 1021.56
8192                 2133.80
16384                4646.92
32768                8435.84
65536               15700.05
131072              30163.31
262144              60232.84
524288             120468.05
1048576            238943.46
2097152            476856.01

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      40.82
2                      40.02
4                      41.04
8                      43.32
16                     39.88
32                     42.65
64                     45.48
128                    50.80
256                    58.88
512                    74.35
1024                  113.44
2048                  191.16
4096                 1023.01
8192                 2033.61
16384                4732.23
32768                8432.47
65536               15698.12
131072              30214.21
262144              60264.22
524288             120545.63
1048576            238947.55
2097152            476869.57

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      40.87
2                      40.05
4                      40.84
8                      43.26
16                     40.11
32                     42.83
64                     45.48
128                    50.88
256                    58.86
512                    74.32
1024                  113.51
2048                  190.73
4096                 1041.57
8192                 2066.35
16384                4694.03
32768                8439.81
65536               15739.05
131072              30168.72
262144              60230.09
524288             120521.03
1048576            238907.96
2097152            476772.93

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      41.11
2                      40.22
4                      41.17
8                      43.50
16                     39.96
32                     42.97
64                     45.66
128                    51.22
256                    58.98
512                    74.76
1024                  113.41
2048                  190.66
4096                 1020.46
8192                 2057.73
16384                4638.60
32768                8442.75
65536               15760.78
131072              30193.46
262144              60256.69
524288             120540.29
1048576            238937.85
2097152            476789.15

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      43.20
2                      41.29
4                      42.27
8                      44.47
16                     41.07
32                     44.07
64                     46.62
128                    51.77
256                    59.22
512                    74.38
1024                  113.53
2048                  190.95
4096                 1043.47
8192                 2088.23
16384                4628.99
32768                8457.38
65536               15754.94
131072              30215.15
262144              60212.90
524288             120542.29
1048576            238951.70
2097152            476841.31

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      41.09
2                      40.13
4                      41.11
8                      43.57
16                     40.03
32                     42.84
64                     45.44
128                    50.98
256                    58.93
512                    74.32
1024                  113.47
2048                  190.88
4096                 1050.65
8192                 2158.93
16384                4542.94
32768                8456.36
65536               15708.22
131072              30203.66
262144              60250.68
524288             120506.33
1048576            238894.71
2097152            476816.35

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.84
2                      41.22
4                      42.42
8                      44.49
16                     40.82
32                     43.84
64                     46.34
128                    51.97
256                    59.21
512                    74.38
1024                  113.79
2048                  191.61
4096                 1034.83
8192                 2080.74
16384                4637.82
32768                8450.79
65536               15727.12
131072              30163.33
262144              60251.11
524288             120459.73
1048576            238884.70
2097152            476779.99

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.56
2                      40.98
4                      41.70
8                      44.63
16                     40.87
32                     43.79
64                     46.23
128                    51.69
256                    59.10
512                    74.42
1024                  113.38
2048                  190.35
4096                 1031.53
8192                 2119.58
16384                4483.93
32768                8437.89
65536               15681.92
131072              30148.87
262144              60226.82
524288             120498.54
1048576            238789.15
2097152            476730.19
