
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    33.96
512                    41.38
1024                   58.19
2048                   89.28
4096                  153.34
8192                  294.45
16384                 602.08
32768                1378.24
65536                2836.98
131072               6108.76
262144              12594.00
524288              25377.65
1048576             50459.24
2097152            100228.28

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    33.93
512                    41.30
1024                   58.13
2048                   89.58
4096                  153.81
8192                  294.78
16384                 603.02
32768                1379.74
65536                2839.91
131072               6114.28
262144              12575.41
524288              25378.85
1048576             50422.20
2097152            100305.94

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    33.96
512                    41.35
1024                   58.19
2048                   89.45
4096                  153.57
8192                  294.15
16384                 603.13
32768                1389.64
65536                2837.68
131072               6107.14
262144              12593.19
524288              25368.62
1048576             50363.24
2097152            100287.76

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    33.97
512                    41.39
1024                   58.03
2048                   89.47
4096                  153.37
8192                  293.44
16384                 603.18
32768                1384.94
65536                2835.48
131072               6105.75
262144              12586.62
524288              25414.98
1048576             50388.41
2097152            100283.17

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    33.90
512                    41.32
1024                   58.13
2048                   89.22
4096                  153.43
8192                  294.59
16384                 600.08
32768                1380.22
65536                2840.69
131072               6087.94
262144              12576.91
524288              25397.31
1048576             50442.40
2097152            100400.77

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    34.07
512                    41.53
1024                   58.12
2048                   89.29
4096                  153.29
8192                  294.01
16384                 600.47
32768                1382.65
65536                2842.74
131072               6129.10
262144              12575.14
524288              25389.43
1048576             50395.67
2097152            100265.51

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    34.07
512                    41.48
1024                   58.20
2048                   89.23
4096                  154.01
8192                  294.51
16384                 599.82
32768                1381.37
65536                2836.62
131072               6095.84
262144              12574.35
524288              25393.22
1048576             50431.12
2097152            100307.25

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    33.88
512                    41.35
1024                   58.15
2048                   89.19
4096                  153.45
8192                  293.24
16384                 599.71
32768                1381.04
65536                2838.61
131072               6131.71
262144              12598.92
524288              25415.32
1048576             50447.78
2097152            100346.08

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    33.95
512                    41.39
1024                   58.28
2048                   89.45
4096                  153.47
8192                  293.51
16384                 600.29
32768                1382.72
65536                2836.38
131072               6104.23
262144              12592.69
524288              25397.29
1048576             50391.26
2097152            100345.62

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    33.96
512                    41.37
1024                   58.22
2048                   89.49
4096                  153.65
8192                  294.01
16384                 602.69
32768                1379.53
65536                2841.56
131072               6096.98
262144              12583.99
524288              25395.13
1048576             50398.86
2097152            100365.75
