
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    36.18
512                    43.93
1024                   62.47
2048                   96.90
4096                  182.54
8192                  405.66
16384                1146.92
32768                4890.90
65536               10249.86
131072              20621.26
262144              41403.56
524288              78239.89
1048576            144349.73
2097152            274231.57

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    36.11
512                    43.83
1024                   62.36
2048                   96.85
4096                  182.83
8192                  406.10
16384                1146.09
32768                4861.99
65536               10250.10
131072              20594.19
262144              41506.42
524288              78266.10
1048576            144228.83
2097152            274322.16

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    36.15
512                    43.91
1024                   62.57
2048                   97.01
4096                  182.67
8192                  405.64
16384                1141.79
32768                4941.93
65536               10249.53
131072              20690.94
262144              41644.08
524288              78335.95
1048576            144339.42
2097152            274276.32

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    36.16
512                    43.83
1024                   62.39
2048                   96.86
4096                  182.56
8192                  406.29
16384                1143.56
32768                4839.39
65536               10238.70
131072              20621.80
262144              41598.58
524288              78440.20
1048576            144227.92
2097152            274404.06

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    36.24
512                    43.86
1024                   62.33
2048                   96.77
4096                  182.19
8192                  403.72
16384                1142.49
32768                4921.55
65536               10211.15
131072              20650.70
262144              41506.79
524288              78330.06
1048576            144311.93
2097152            274396.53

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    36.36
512                    43.83
1024                   62.25
2048                   96.68
4096                  182.72
8192                  405.30
16384                1144.46
32768                4866.41
65536               10231.69
131072              20630.66
262144              41485.78
524288              78108.32
1048576            144404.33
2097152            274215.65

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    36.20
512                    43.83
1024                   62.37
2048                   96.86
4096                  182.06
8192                  404.64
16384                1145.66
32768                4899.49
65536               10226.14
131072              20563.01
262144              41641.89
524288              78117.51
1048576            144263.36
2097152            274287.35

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    36.18
512                    43.80
1024                   62.35
2048                   96.57
4096                  182.17
8192                  403.40
16384                1141.98
32768                4872.96
65536               10178.40
131072              20591.17
262144              41572.79
524288              78182.54
1048576            144323.88
2097152            274517.13

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    36.16
512                    43.92
1024                   62.35
2048                   96.77
4096                  182.34
8192                  404.55
16384                1145.29
32768                4865.11
65536               10217.35
131072              20575.09
262144              41736.28
524288              78174.59
1048576            144473.27
2097152            274403.74

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    36.18
512                    43.90
1024                   62.49
2048                   96.93
4096                  182.77
8192                  405.44
16384                1144.00
32768                4869.20
65536               10196.74
131072              20614.69
262144              41715.62
524288              78214.78
1048576            144210.59
2097152            274310.60
