
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    85.48
512                    95.74
1024                  115.71
2048                  153.01
4096                  244.93
8192                  429.56
16384                 862.96
32768                2095.64
65536                3425.58
131072               7307.33
262144              15725.53
524288              31918.11
1048576             64412.41
2097152            129191.37

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    93.76
512                    97.24
1024                  115.20
2048                  153.12
4096                  245.04
8192                  436.12
16384                 866.55
32768                2094.44
65536                3421.64
131072               7305.83
262144              15684.68
524288              31951.07
1048576             64437.48
2097152            129239.56

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    83.25
512                    95.11
1024                  114.98
2048                  152.99
4096                  244.50
8192                  430.97
16384                 864.54
32768                2095.49
65536                3420.63
131072               7294.75
262144              15704.10
524288              31874.65
1048576             64412.20
2097152            129239.46

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    84.85
512                    95.48
1024                  115.11
2048                  152.94
4096                  245.05
8192                  430.93
16384                 861.84
32768                2096.19
65536                3419.47
131072               7317.20
262144              15744.22
524288              31902.94
1048576             64425.42
2097152            129035.67

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    84.92
512                    95.63
1024                  115.27
2048                  153.24
4096                  244.68
8192                  436.54
16384                 861.63
32768                2113.97
65536                3419.89
131072               7304.08
262144              15688.17
524288              31905.88
1048576             64414.56
2097152            129193.49

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    84.92
512                    95.93
1024                  115.02
2048                  153.00
4096                  244.53
8192                  432.53
16384                 864.04
32768                2081.96
65536                3424.10
131072               7317.22
262144              15732.67
524288              31887.71
1048576             64479.92
2097152            129224.28

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    84.45
512                    95.64
1024                  115.15
2048                  153.16
4096                  244.92
8192                  437.69
16384                 865.79
32768                2096.73
65536                3416.55
131072               7307.36
262144              15725.02
524288              31933.18
1048576             64436.42
2097152            129102.29

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    84.17
512                    95.32
1024                  115.07
2048                  153.00
4096                  244.82
8192                  431.81
16384                 864.41
32768                2094.66
65536                3416.00
131072               7335.13
262144              15715.25
524288              31909.61
1048576             64407.63
2097152            129155.58

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    84.24
512                    95.49
1024                  115.13
2048                  153.21
4096                  244.76
8192                  435.19
16384                 866.65
32768                2094.22
65536                3413.40
131072               7324.92
262144              15734.24
524288              31914.38
1048576             64442.47
2097152            129192.77

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    84.79
512                    95.51
1024                  115.01
2048                  152.96
4096                  244.74
8192                  435.41
16384                 864.69
32768                2092.92
65536                3419.55
131072               7317.08
262144              15713.32
524288              31894.59
1048576             64439.34
2097152            129239.42
