
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    85.46
512                    95.89
1024                  115.43
2048                  154.08
4096                  245.65
8192                  431.44
16384                 874.53
32768                2054.05
65536                3356.18
131072               7175.27
262144              15566.93
524288              31373.21
1048576             63850.13
2097152            126841.60

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    93.78
512                    97.87
1024                  115.76
2048                  154.55
4096                  246.56
8192                  434.32
16384                 879.05
32768                2077.39
65536                3373.83
131072               7173.51
262144              15509.15
524288              31368.75
1048576             63797.08
2097152            126778.12

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    84.93
512                    95.55
1024                  115.28
2048                  153.90
4096                  245.70
8192                  430.42
16384                 874.78
32768                2056.00
65536                3365.49
131072               7153.06
262144              15544.04
524288              31437.08
1048576             63814.00
2097152            126836.22

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    84.48
512                    95.73
1024                  115.60
2048                  154.95
4096                  246.77
8192                  437.92
16384                 878.75
32768                2065.34
65536                3370.12
131072               7184.70
262144              15524.66
524288              31433.32
1048576             63900.77
2097152            126849.07

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    84.72
512                    95.48
1024                  115.40
2048                  153.80
4096                  245.59
8192                  432.01
16384                 873.67
32768                2058.11
65536                3358.83
131072               7166.42
262144              15575.94
524288              31418.80
1048576             63908.83
2097152            126859.20

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    84.55
512                    95.60
1024                  115.40
2048                  153.89
4096                  246.32
8192                  432.20
16384                 874.33
32768                2063.66
65536                3366.16
131072               7161.79
262144              15544.71
524288              31397.44
1048576             63846.62
2097152            126910.58

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    84.96
512                    95.83
1024                  115.48
2048                  153.99
4096                  246.05
8192                  434.34
16384                 874.85
32768                2057.36
65536                3360.22
131072               7184.24
262144              15566.40
524288              31392.67
1048576             63830.65
2097152            126858.46

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    84.10
512                    95.64
1024                  115.28
2048                  153.89
4096                  245.75
8192                  429.63
16384                 878.25
32768                2057.19
65536                3374.55
131072               7187.16
262144              15569.33
524288              31394.22
1048576             63824.78
2097152            126794.14

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    85.21
512                    95.48
1024                  115.25
2048                  153.70
4096                  245.57
8192                  432.75
16384                 873.12
32768                2060.36
65536                3366.35
131072               7167.55
262144              15539.11
524288              31420.21
1048576             63844.07
2097152            126871.74

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    84.41
512                    95.55
1024                  115.46
2048                  154.00
4096                  245.97
8192                  433.68
16384                 871.76
32768                2056.76
65536                3361.75
131072               7177.65
262144              15577.75
524288              31380.12
1048576             63867.18
2097152            126904.44
