
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    37.97
512                    45.56
1024                   63.05
2048                   95.51
4096                  162.49
8192                  308.44
16384                 628.23
32768                1413.89
65536                2903.09
131072               6009.50
262144              12350.37
524288              25100.86
1048576             50444.73
2097152            101125.58

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    37.95
512                    45.60
1024                   63.11
2048                   95.61
4096                  162.77
8192                  308.14
16384                 626.76
32768                1413.91
65536                2898.37
131072               5987.83
262144              12328.74
524288              25090.30
1048576             50419.86
2097152            101043.17

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    37.88
512                    45.54
1024                   63.03
2048                   95.37
4096                  162.28
8192                  309.28
16384                 624.80
32768                1414.98
65536                2896.58
131072               6014.40
262144              12339.19
524288              25107.04
1048576             50418.19
2097152            101099.65

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    37.88
512                    45.54
1024                   63.06
2048                   95.37
4096                  162.47
8192                  309.12
16384                 627.16
32768                1416.70
65536                2899.33
131072               6008.78
262144              12329.98
524288              25094.67
1048576             50438.82
2097152            101070.85

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    37.96
512                    45.63
1024                   63.14
2048                   95.55
4096                  162.35
8192                  309.78
16384                 628.36
32768                1413.93
65536                2898.00
131072               6011.40
262144              12337.52
524288              25105.39
1048576             50430.45
2097152            101093.68

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    37.89
512                    45.58
1024                   63.13
2048                   95.60
4096                  162.12
8192                  308.63
16384                 623.99
32768                1416.82
65536                2901.93
131072               6018.39
262144              12340.75
524288              25100.94
1048576             50457.66
2097152            101230.48

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    37.97
512                    45.63
1024                   63.18
2048                   95.65
4096                  162.76
8192                  309.01
16384                 629.83
32768                1414.70
65536                2893.97
131072               5990.78
262144              12342.84
524288              25092.56
1048576             50426.36
2097152            101116.84

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    38.08
512                    45.65
1024                   62.99
2048                   95.51
4096                  162.34
8192                  308.44
16384                 624.76
32768                1413.57
65536                2896.58
131072               5991.14
262144              12297.55
524288              25057.73
1048576             50412.93
2097152            101082.78

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    37.92
512                    45.51
1024                   62.91
2048                   95.49
4096                  162.47
8192                  309.14
16384                 627.08
32768                1414.95
65536                2899.05
131072               6028.57
262144              12309.19
524288              25063.66
1048576             50408.99
2097152            101071.34

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
256                    37.99
512                    45.60
1024                   63.12
2048                   95.54
4096                  162.28
8192                  308.71
16384                 626.04
32768                1411.13
65536                2900.49
131072               5997.86
262144              12341.03
524288              25077.04
1048576             50410.82
2097152            101113.29
