
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      80.47
2                      80.12
4                      80.67
8                      81.37
16                     76.84
32                     77.97
64                     81.06
128                    86.63
256                   111.91
512                   135.34
1024                  186.51
2048                  296.04
4096                  179.54
8192                  273.14
16384                 740.68
32768                1214.42
65536                2003.78
131072               3877.23
262144               7631.93
524288              15267.77
1048576             31529.60

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      80.47
2                      80.11
4                      80.44
8                      81.39
16                     76.82
32                     77.94
64                     81.10
128                    86.72
256                   111.96
512                   135.45
1024                  186.68
2048                  295.22
4096                  178.92
8192                  273.83
16384                 738.02
32768                1212.48
65536                2002.30
131072               3877.74
262144               7606.46
524288              15177.81
1048576             31435.94

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      80.47
2                      80.13
4                      80.47
8                      81.39
16                     76.83
32                     78.06
64                     81.14
128                    86.66
256                   111.92
512                   135.40
1024                  186.90
2048                  295.56
4096                  181.93
8192                  272.97
16384                 739.90
32768                1214.79
65536                2003.62
131072               3851.97
262144               7530.25
524288              15292.25
1048576             31535.81

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      80.36
2                      80.08
4                      80.43
8                      81.39
16                     77.06
32                     77.89
64                     81.10
128                    86.66
256                   112.03
512                   135.50
1024                  186.58
2048                  294.45
4096                  178.60
8192                  274.24
16384                 743.13
32768                1216.11
65536                2005.70
131072               3871.87
262144               7599.16
524288              15369.29
1048576             31482.06

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      80.48
2                      80.19
4                      80.59
8                      81.47
16                     76.91
32                     78.02
64                     81.15
128                    86.91
256                   111.99
512                   135.45
1024                  186.38
2048                  293.94
4096                  181.03
8192                  271.94
16384                 740.65
32768                1218.80
65536                2012.60
131072               3865.03
262144               7568.54
524288              15179.34
1048576             31566.89

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      80.46
2                      80.12
4                      80.49
8                      81.41
16                     76.86
32                     78.02
64                     81.20
128                    86.73
256                   112.17
512                   135.63
1024                  186.82
2048                  295.45
4096                  180.62
8192                  270.79
16384                 739.61
32768                1215.82
65536                2005.30
131072               3856.91
262144               7535.11
524288              15227.86
1048576             31539.75

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      80.60
2                      80.26
4                      80.53
8                      81.47
16                     76.91
32                     77.90
64                     81.13
128                    86.77
256                   112.04
512                   135.46
1024                  186.50
2048                  294.97
4096                  181.59
8192                  273.77
16384                 741.31
32768                1220.62
65536                2011.96
131072               3871.90
262144               7634.73
524288              15351.23
1048576             31631.59

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      80.51
2                      80.13
4                      80.52
8                      81.60
16                     76.98
32                     77.98
64                     81.18
128                    87.02
256                   111.93
512                   135.29
1024                  186.41
2048                  294.37
4096                  177.94
8192                  273.87
16384                 741.70
32768                1219.96
65536                2001.30
131072               3855.01
262144               7579.58
524288              15371.66
1048576             31454.81

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      80.44
2                      80.12
4                      80.42
8                      81.35
16                     76.86
32                     77.94
64                     81.05
128                    86.74
256                   112.00
512                   135.65
1024                  186.99
2048                  295.18
4096                  180.43
8192                  274.48
16384                 751.04
32768                1214.21
65536                2016.31
131072               3893.26
262144               7631.86
524288              15398.40
1048576             31363.28

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      80.55
2                      80.09
4                      80.45
8                      81.38
16                     76.85
32                     77.95
64                     81.13
128                    86.67
256                   111.91
512                   135.36
1024                  186.46
2048                  294.81
4096                  182.86
8192                  274.54
16384                 741.72
32768                1216.90
65536                2010.57
131072               3887.25
262144               7622.45
524288              15358.40
1048576             31562.87

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      80.43
2                      80.12
4                      80.40
8                      81.45
16                     76.85
32                     78.01
64                     81.06
128                    86.68
256                   111.89
512                   135.12
1024                  186.19
2048                  295.24
4096                  177.30
8192                  272.44
16384                 743.13
32768                1214.90
65536                1997.90
131072               3869.48
262144               7596.74
524288              15363.67
1048576             31475.41
