
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      40.58
2                      40.60
4                       8.72
8                       8.76
16                     39.82
32                     40.27
64                     41.75
128                    10.94
256                    12.25
512                    14.59
1024                   18.44
2048                   27.65
4096                   76.09
8192                  107.39
16384                 221.24
32768                 354.35
65536                 677.96
131072               1271.66
262144               2544.64
524288               5983.36
1048576             12216.02

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      40.60
2                      40.55
4                       8.72
8                       8.78
16                     39.88
32                     40.26
64                     41.74
128                    10.92
256                    12.33
512                    14.54
1024                   18.48
2048                   27.79
4096                   76.48
8192                  107.75
16384                 219.24
32768                 353.70
65536                 676.40
131072               1262.92
262144               2545.58
524288               5984.44
1048576             12229.06

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      40.72
2                      40.49
4                       8.70
8                       8.78
16                     40.02
32                     40.25
64                     41.97
128                    11.10
256                    12.53
512                    14.52
1024                   18.44
2048                   27.64
4096                   77.08
8192                  108.50
16384                 218.75
32768                 353.55
65536                 676.22
131072               1270.71
262144               2555.36
524288               5986.29
1048576             12224.98

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      40.61
2                      40.55
4                       8.69
8                       8.75
16                     39.85
32                     40.32
64                     41.81
128                    10.91
256                    12.26
512                    14.57
1024                   18.50
2048                   27.81
4096                   76.51
8192                  108.36
16384                 219.26
32768                 353.77
65536                 673.61
131072               1273.47
262144               2549.78
524288               5993.35
1048576             12240.84

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      40.77
2                      40.59
4                       8.73
8                       8.78
16                     40.12
32                     40.63
64                     41.90
128                    10.93
256                    12.26
512                    14.55
1024                   18.50
2048                   27.71
4096                   76.48
8192                  107.20
16384                 219.63
32768                 353.80
65536                 674.69
131072               1254.75
262144               2545.01
524288               5977.37
1048576             12226.86

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      40.54
2                      40.59
4                       8.75
8                       8.78
16                     39.76
32                     40.30
64                     41.81
128                    10.93
256                    12.29
512                    14.60
1024                   18.51
2048                   27.72
4096                   76.49
8192                  107.01
16384                 219.96
32768                 352.95
65536                 673.51
131072               1258.18
262144               2547.55
524288               5969.80
1048576             12223.21

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      40.54
2                      40.53
4                       8.71
8                       8.73
16                     39.83
32                     40.27
64                     41.74
128                    10.93
256                    12.24
512                    14.56
1024                   18.50
2048                   27.86
4096                   76.29
8192                  108.03
16384                 219.58
32768                 353.38
65536                 673.41
131072               1278.42
262144               2548.45
524288               5983.69
1048576             12219.67

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      40.54
2                      40.54
4                       8.70
8                       8.76
16                     39.76
32                     40.27
64                     41.76
128                    10.92
256                    12.26
512                    14.55
1024                   18.49
2048                   27.72
4096                   76.50
8192                  107.65
16384                 220.82
32768                 353.62
65536                 675.24
131072               1269.43
262144               2553.69
524288               5994.63
1048576             12232.47

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      40.56
2                      40.53
4                       8.71
8                       8.76
16                     39.79
32                     40.26
64                     41.82
128                    10.93
256                    12.22
512                    14.54
1024                   18.47
2048                   27.63
4096                   76.16
8192                  107.58
16384                 219.66
32768                 352.66
65536                 673.70
131072               1265.62
262144               2540.79
524288               5985.85
1048576             12228.16

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      40.53
2                      40.49
4                       8.69
8                       8.75
16                     39.82
32                     40.20
64                     41.75
128                    10.91
256                    12.28
512                    14.51
1024                   18.42
2048                   27.63
4096                   76.61
8192                  107.68
16384                 219.75
32768                 354.20
65536                 674.10
131072               1267.28
262144               2546.31
524288               5983.92
1048576             12232.02

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      40.65
2                      40.63
4                       8.71
8                       8.81
16                     39.83
32                     40.31
64                     41.84
128                    10.95
256                    12.26
512                    14.54
1024                   18.49
2048                   27.75
4096                   76.64
8192                  107.90
16384                 220.19
32768                 354.07
65536                 673.22
131072               1265.54
262144               2542.98
524288               5982.70
1048576             12223.32
