
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.12
2                       8.54
4                       9.07
8                       9.32
16                     10.16
32                     10.74
64                     11.61
128                    13.57
256                    17.81
512                    27.61
1024                   44.66
2048                   69.58
4096                  120.53
8192                  222.47
16384                 454.86
32768                 862.02
65536                2724.09
131072               6915.04
262144              14718.23
524288              29807.08
1048576             60157.55

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.35
2                       8.72
4                       9.35
8                       9.61
16                     10.30
32                     10.98
64                     12.00
128                    14.01
256                    18.21
512                    28.15
1024                   45.89
2048                   72.53
4096                  123.98
8192                  227.73
16384                 459.48
32768                 860.62
65536                2727.44
131072               6924.18
262144              14668.00
524288              29870.83
1048576             60278.31

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.30
2                       8.62
4                       9.21
8                       9.53
16                     10.20
32                     10.81
64                     11.77
128                    13.75
256                    17.99
512                    27.93
1024                   45.21
2048                   71.06
4096                  120.60
8192                  225.40
16384                 460.00
32768                 876.72
65536                2796.96
131072               6992.66
262144              14733.22
524288              29901.45
1048576             60316.26

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.24
2                       8.79
4                       9.33
8                       9.60
16                     10.34
32                     10.99
64                     12.01
128                    14.08
256                    18.35
512                    28.31
1024                   45.71
2048                   71.14
4096                  121.95
8192                  227.64
16384                 467.05
32768                 890.42
65536                2780.69
131072               6997.82
262144              14768.38
524288              30193.65
1048576             60315.56

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.36
2                       8.56
4                       9.16
8                       9.32
16                     10.13
32                     10.73
64                     11.70
128                    13.68
256                    17.87
512                    27.84
1024                   45.18
2048                   70.28
4096                  120.32
8192                  225.86
16384                 462.21
32768                 884.37
65536                2768.84
131072               6976.27
262144              14655.38
524288              29730.91
1048576             59909.16

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.20
2                       8.54
4                       9.06
8                       9.24
16                      9.99
32                     10.61
64                     11.61
128                    13.51
256                    17.69
512                    27.42
1024                   44.52
2048                   69.35
4096                  119.61
8192                  222.10
16384                 452.42
32768                 864.18
65536                2710.20
131072               6849.46
262144              14433.44
524288              29681.12
1048576             59966.97

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.15
2                       8.56
4                       9.05
8                       9.33
16                     10.03
32                     10.63
64                     11.59
128                    13.58
256                    17.70
512                    27.34
1024                   44.49
2048                   69.39
4096                  119.04
8192                  223.07
16384                 454.46
32768                 863.40
65536                2734.47
131072               6956.19
262144              14689.64
524288              29817.36
1048576             59742.87

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.15
2                       8.56
4                       9.06
8                       9.33
16                     10.12
32                     10.89
64                     11.82
128                    13.85
256                    17.93
512                    27.76
1024                   45.15
2048                   70.41
4096                  121.04
8192                  226.08
16384                 463.90
32768                 893.15
65536                2717.33
131072               6870.78
262144              14475.04
524288              29818.73
1048576             60151.32

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.25
2                       8.60
4                       9.11
8                       9.66
16                     10.24
32                     10.89
64                     11.89
128                    13.91
256                    17.98
512                    28.22
1024                   45.50
2048                   70.95
4096                  121.98
8192                  224.45
16384                 454.49
32768                 879.47
65536                2756.54
131072               6947.52
262144              14564.93
524288              29966.29
1048576             59974.46

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.23
2                       8.73
4                       9.25
8                       9.53
16                     10.21
32                     10.86
64                     11.85
128                    13.93
256                    18.19
512                    28.18
1024                   45.94
2048                   71.70
4096                  122.65
8192                  224.19
16384                 459.07
32768                 874.92
65536                2762.35
131072               6975.13
262144              14543.31
524288              29946.13
1048576             60047.93

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       9.18
2                       8.67
4                       9.14
8                       9.44
16                     10.13
32                     10.79
64                     11.75
128                    13.80
256                    17.86
512                    27.67
1024                   45.02
2048                   70.33
4096                  120.48
8192                  225.36
16384                 462.59
32768                 890.32
65536                2759.67
131072               6990.10
262144              14806.47
524288              29985.94
1048576             60118.74
