
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     133.08
2                     132.91
4                     133.08
8                     134.36
16                    130.90
32                    132.53
64                    136.51
128                   143.43
256                   148.36
512                   125.96
1024                  137.82
2048                  176.57
4096                  231.54
8192                  375.51
16384                1025.99
32768                1806.80
65536                2764.85
131072               5226.41
262144              10325.61
524288              20369.08
1048576             42578.41

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     132.45
2                     132.64
4                     132.80
8                     134.17
16                    130.70
32                    132.43
64                    136.40
128                   143.26
256                   148.23
512                   125.91
1024                  137.09
2048                  177.25
4096                  232.11
8192                  375.11
16384                1024.68
32768                1798.84
65536                2763.96
131072               5234.98
262144              10342.15
524288              20366.09
1048576             42454.80

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     133.17
2                     133.23
4                     133.47
8                     134.95
16                    131.29
32                    132.97
64                    136.84
128                   143.97
256                   148.78
512                   126.09
1024                  139.35
2048                  175.48
4096                  232.23
8192                  373.86
16384                1025.27
32768                1797.22
65536                2755.48
131072               5303.44
262144              10261.06
524288              20558.43
1048576             42534.17

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     133.23
2                     133.43
4                     134.00
8                     135.72
16                    131.32
32                    133.14
64                    137.17
128                   143.73
256                   148.67
512                   126.05
1024                  138.61
2048                  176.40
4096                  231.57
8192                  374.69
16384                1025.19
32768                1797.04
65536                2763.68
131072               5247.89
262144              10307.19
524288              20368.37
1048576             42518.93

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     132.87
2                     132.82
4                     133.16
8                     134.38
16                    131.14
32                    132.43
64                    136.53
128                   143.47
256                   148.38
512                   125.89
1024                  140.36
2048                  175.41
4096                  231.94
8192                  375.51
16384                1025.99
32768                1788.96
65536                2773.46
131072               5291.40
262144              10357.77
524288              20511.68
1048576             42758.13

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     132.65
2                     132.46
4                     132.97
8                     134.28
16                    130.77
32                    132.72
64                    136.44
128                   143.41
256                   148.38
512                   125.79
1024                  138.90
2048                  177.00
4096                  231.90
8192                  374.64
16384                1026.31
32768                1803.55
65536                2761.64
131072               5237.18
262144              10383.28
524288              20373.72
1048576             42495.56

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     132.75
2                     132.70
4                     132.82
8                     134.27
16                    130.92
32                    132.49
64                    136.40
128                   143.32
256                   148.39
512                   125.93
1024                  137.37
2048                  176.87
4096                  231.68
8192                  373.10
16384                1024.29
32768                1809.77
65536                2758.64
131072               5273.41
262144              10356.76
524288              20485.06
1048576             42733.03

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     132.56
2                     132.60
4                     132.88
8                     134.19
16                    131.01
32                    132.53
64                    136.48
128                   143.37
256                   148.28
512                   125.75
1024                  137.53
2048                  178.39
4096                  232.41
8192                  375.94
16384                1024.74
32768                1794.69
65536                2768.54
131072               5225.23
262144              10392.92
524288              20317.08
1048576             42403.88

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     133.00
2                     132.92
4                     133.18
8                     134.70
16                    131.14
32                    132.96
64                    136.81
128                   143.83
256                   148.70
512                   126.08
1024                  138.34
2048                  177.09
4096                  231.75
8192                  374.25
16384                1021.41
32768                1796.78
65536                2756.92
131072               5289.71
262144              10322.99
524288              20516.97
1048576             42790.87

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     132.88
2                     133.19
4                     133.15
8                     135.18
16                    131.55
32                    132.87
64                    136.91
128                   144.04
256                   148.77
512                   125.93
1024                  137.65
2048                  176.89
4096                  232.04
8192                  375.90
16384                1022.44
32768                1791.49
65536                2754.11
131072               5196.33
262144              10313.30
524288              20341.36
1048576             42557.10

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     132.86
2                     132.76
4                     133.24
8                     134.68
16                    131.16
32                    132.78
64                    136.56
128                   143.66
256                   148.83
512                   126.35
1024                  138.51
2048                  177.57
4096                  232.33
8192                  374.66
16384                1026.87
32768                1800.78
65536                2773.79
131072               5277.24
262144              10328.93
524288              20575.76
1048576             42683.77
