
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      45.67
2                      45.33
4                      45.27
8                      45.95
16                     42.96
32                     43.46
64                     45.73
128                    48.85
256                    52.74
512                    58.62
1024                   71.57
2048                   93.54
4096                  143.30
8192                  247.47
16384                 696.67
32768                1349.25
65536                3023.12
131072               6100.54
262144              12161.44
524288              24809.64
1048576             51014.84

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      45.80
2                      45.58
4                      45.35
8                      46.12
16                     43.07
32                     43.60
64                     46.02
128                    49.10
256                    52.71
512                    58.73
1024                   71.44
2048                   93.52
4096                  143.49
8192                  247.54
16384                 699.85
32768                1350.92
65536                3015.16
131072               6086.92
262144              12167.67
524288              24851.05
1048576             51047.66

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      45.75
2                      45.31
4                      45.25
8                      46.02
16                     43.01
32                     43.65
64                     45.95
128                    48.94
256                    52.67
512                    58.66
1024                   71.47
2048                   93.60
4096                  143.57
8192                  247.93
16384                 698.82
32768                1350.58
65536                3012.75
131072               6116.44
262144              12256.80
524288              24895.93
1048576             51011.16

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      45.92
2                      45.43
4                      45.55
8                      46.11
16                     43.06
32                     43.53
64                     45.94
128                    48.98
256                    52.75
512                    58.70
1024                   71.61
2048                   93.65
4096                  143.57
8192                  248.43
16384                 696.67
32768                1354.92
65536                2987.18
131072               6097.86
262144              12175.47
524288              24892.41
1048576             51004.48

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      45.85
2                      45.39
4                      45.32
8                      45.95
16                     43.02
32                     43.56
64                     45.80
128                    48.90
256                    52.74
512                    58.71
1024                   71.39
2048                   93.65
4096                  143.70
8192                  248.55
16384                 700.20
32768                1352.92
65536                3013.49
131072               6088.12
262144              12160.28
524288              24885.45
1048576             51026.59

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      45.92
2                      45.37
4                      45.30
8                      45.96
16                     43.16
32                     43.60
64                     45.89
128                    48.97
256                    52.80
512                    58.76
1024                   71.50
2048                   93.60
4096                  143.38
8192                  248.17
16384                 700.02
32768                1350.66
65536                3041.21
131072               6089.47
262144              12179.78
524288              24879.44
1048576             51067.80

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      45.90
2                      45.40
4                      45.35
8                      46.23
16                     43.08
32                     43.61
64                     45.74
128                    49.09
256                    52.84
512                    58.83
1024                   71.54
2048                   93.61
4096                  143.52
8192                  247.59
16384                 697.82
32768                1350.86
65536                3002.67
131072               6101.59
262144              12185.43
524288              24894.56
1048576             51093.29

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      46.13
2                      45.46
4                      45.37
8                      45.99
16                     43.06
32                     43.87
64                     45.86
128                    48.90
256                    52.73
512                    58.68
1024                   71.45
2048                   93.57
4096                  143.55
8192                  247.97
16384                 699.26
32768                1352.88
65536                2997.98
131072               6090.78
262144              12215.19
524288              24873.47
1048576             51017.77

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      45.64
2                      45.33
4                      45.33
8                      45.97
16                     43.08
32                     43.71
64                     45.82
128                    48.84
256                    52.75
512                    58.74
1024                   71.40
2048                   93.56
4096                  143.43
8192                  248.36
16384                 696.74
32768                1358.87
65536                3007.62
131072               6081.59
262144              12167.92
524288              24893.89
1048576             51078.29

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      45.77
2                      45.46
4                      45.32
8                      45.98
16                     43.32
32                     43.74
64                     45.89
128                    49.00
256                    52.82
512                    58.81
1024                   71.45
2048                   93.57
4096                  143.22
8192                  247.10
16384                 698.78
32768                1345.94
65536                3006.28
131072               6098.32
262144              12204.63
524288              24910.60
1048576             51063.03

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      45.71
2                      45.27
4                      45.29
8                      45.89
16                     42.91
32                     43.45
64                     45.79
128                    49.04
256                    52.78
512                    58.60
1024                   71.43
2048                   93.59
4096                  143.41
8192                  247.79
16384                 701.88
32768                1356.12
65536                3020.40
131072               6074.47
262144              12203.80
524288              24879.85
1048576             51130.77
