
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      65.44
2                      64.60
4                      63.98
8                      65.05
16                     14.96
32                     15.46
64                     16.48
128                    18.54
256                    21.40
512                    26.32
1024                   35.82
2048                   57.95
4096                  209.55
8192                  332.15
16384                 979.52
32768                1499.71
65536                2443.93
131072               4524.98
262144               8849.32
524288              18208.11
1048576             37419.91

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      65.47
2                      65.19
4                      65.32
8                      65.41
16                     15.10
32                     15.59
64                     16.42
128                    18.49
256                    21.29
512                    26.34
1024                   35.69
2048                   57.79
4096                  209.36
8192                  332.26
16384                 982.96
32768                1497.93
65536                2446.84
131072               4522.16
262144               8859.45
524288              18171.72
1048576             37194.36

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      63.67
2                      63.17
4                      63.60
8                      64.34
16                     14.89
32                     15.39
64                     16.47
128                    18.45
256                    21.31
512                    26.15
1024                   35.62
2048                   57.51
4096                  209.57
8192                  332.06
16384                 980.93
32768                1497.85
65536                2450.61
131072               4533.53
262144               8859.30
524288              18095.91
1048576             37024.43

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      64.36
2                      63.78
4                      64.24
8                      64.94
16                     14.95
32                     15.42
64                     16.50
128                    18.55
256                    21.46
512                    26.34
1024                   35.81
2048                   57.96
4096                  211.69
8192                  335.37
16384                 992.05
32768                1509.82
65536                2451.76
131072               4563.49
262144               8916.92
524288              18128.37
1048576             37109.49

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      64.27
2                      63.90
4                      63.99
8                      64.95
16                     14.95
32                     15.36
64                     16.38
128                    18.48
256                    21.27
512                    26.19
1024                   35.67
2048                   57.72
4096                  209.09
8192                  331.52
16384                 978.47
32768                1502.86
65536                2453.24
131072               4512.48
262144               8867.10
524288              18154.23
1048576             37240.06

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      64.95
2                      64.50
4                      64.97
8                      65.19
16                     15.12
32                     15.81
64                     16.66
128                    18.66
256                    21.52
512                    26.56
1024                   36.00
2048                   57.96
4096                  211.84
8192                  336.41
16384                 992.62
32768                1512.53
65536                2570.67
131072               4593.44
262144               8914.16
524288              18055.39
1048576             37007.24

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      64.46
2                      63.91
4                      63.50
8                      64.31
16                     15.00
32                     15.36
64                     16.41
128                    18.43
256                    21.34
512                    26.16
1024                   35.71
2048                   57.69
4096                  209.21
8192                  334.69
16384                 979.63
32768                1498.94
65536                2431.87
131072               4513.62
262144               8843.90
524288              18116.57
1048576             37154.69

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      64.65
2                      64.56
4                      64.67
8                      65.46
16                     15.02
32                     15.42
64                     16.47
128                    18.56
256                    21.27
512                    26.16
1024                   35.74
2048                   57.46
4096                  209.19
8192                  331.31
16384                 979.84
32768                1496.02
65536                2437.95
131072               4518.83
262144               8849.94
524288              18108.21
1048576             37129.81

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      64.73
2                      63.42
4                      63.92
8                      64.79
16                     14.96
32                     15.36
64                     16.42
128                    18.44
256                    21.30
512                    26.26
1024                   35.61
2048                   57.73
4096                  209.47
8192                  331.74
16384                 992.48
32768                1513.85
65536                2451.58
131072               4566.32
262144               8882.27
524288              18072.54
1048576             37097.21

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      65.15
2                      64.92
4                      64.46
8                      65.30
16                     15.09
32                     15.48
64                     16.46
128                    18.64
256                    21.46
512                    26.24
1024                   35.76
2048                   57.86
4096                  211.26
8192                  335.37
16384                 989.05
32768                1511.05
65536                2430.16
131072               4534.54
262144               8855.24
524288              18056.75
1048576             37151.10

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      63.42
2                      63.51
4                      63.50
8                      64.62
16                     14.95
32                     15.40
64                     16.39
128                    18.44
256                    21.36
512                    26.14
1024                   35.69
2048                   57.49
4096                  209.16
8192                  331.02
16384                 980.69
32768                1496.53
65536                2424.90
131072               4548.11
262144               8867.83
524288              18025.43
1048576             37136.24
