
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      12.95
2                      12.09
4                      12.91
8                      13.12
16                     14.13
32                     15.27
64                     17.05
128                    21.44
256                    31.39
512                    48.47
1024                   76.36
2048                  130.28
4096                  229.39
8192                  474.04
16384                 886.09
32768                2726.05
65536                6417.41
131072              13695.20
262144              28005.25
524288              56709.28
1048576            112904.08

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      13.13
2                      12.32
4                      13.01
8                      13.30
16                     14.32
32                     15.30
64                     17.24
128                    21.68
256                    31.77
512                    48.72
1024                   76.57
2048                  130.32
4096                  229.05
8192                  472.46
16384                 879.98
32768                2732.77
65536                6454.92
131072              13810.17
262144              27875.62
524288              56663.76
1048576            113306.32

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      12.89
2                      12.18
4                      12.71
8                      13.16
16                     14.15
32                     15.23
64                     17.30
128                    21.59
256                    31.70
512                    48.80
1024                   76.62
2048                  130.89
4096                  229.43
8192                  473.21
16384                 883.61
32768                2761.77
65536                6517.18
131072              13758.41
262144              27895.88
524288              56595.45
1048576            112928.48

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      13.00
2                      12.14
4                      12.69
8                      13.13
16                     14.13
32                     15.16
64                     17.12
128                    21.33
256                    31.14
512                    48.05
1024                   75.60
2048                  129.98
4096                  228.77
8192                  472.34
16384                 884.43
32768                2743.55
65536                6422.40
131072              13828.17
262144              27814.31
524288              56608.07
1048576            113240.53

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      12.89
2                      12.11
4                      12.78
8                      13.09
16                     14.22
32                     15.11
64                     17.11
128                    21.45
256                    31.33
512                    48.10
1024                   75.53
2048                  129.95
4096                  231.86
8192                  473.79
16384                 885.00
32768                2738.80
65536                6475.73
131072              13816.37
262144              27831.05
524288              56564.30
1048576            112987.33

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      12.82
2                      12.07
4                      12.75
8                      13.08
16                     14.12
32                     15.10
64                     17.12
128                    21.38
256                    31.23
512                    48.20
1024                   75.53
2048                  130.77
4096                  228.49
8192                  471.58
16384                 882.57
32768                2738.87
65536                6401.21
131072              13932.13
262144              27748.17
524288              56479.74
1048576            113095.13

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      12.96
2                      12.19
4                      12.83
8                      13.19
16                     14.18
32                     15.11
64                     17.03
128                    21.34
256                    31.24
512                    48.13
1024                   75.64
2048                  129.62
4096                  228.75
8192                  471.00
16384                 884.08
32768                2725.71
65536                6434.07
131072              13831.43
262144              27685.24
524288              56654.19
1048576            112973.22

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      13.34
2                      12.26
4                      12.75
8                      13.27
16                     14.21
32                     15.32
64                     17.24
128                    21.82
256                    31.97
512                    48.81
1024                   76.64
2048                  131.09
4096                  229.31
8192                  473.24
16384                 884.91
32768                2750.09
65536                6643.69
131072              13779.27
262144              27886.67
524288              56674.81
1048576            113191.77

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      13.04
2                      12.25
4                      12.92
8                      13.12
16                     14.22
32                     15.18
64                     17.33
128                    21.60
256                    31.74
512                    48.52
1024                   76.11
2048                  132.23
4096                  229.85
8192                  472.87
16384                 889.60
32768                2782.72
65536                6673.98
131072              13670.16
262144              27657.61
524288              56756.76
1048576            112493.65

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      13.23
2                      12.35
4                      12.98
8                      13.24
16                     14.50
32                     15.25
64                     17.14
128                    21.54
256                    31.73
512                    48.70
1024                   76.70
2048                  131.87
4096                  230.34
8192                  473.87
16384                 884.45
32768                2736.40
65536                6459.89
131072              13864.65
262144              27570.25
524288              56503.09
1048576            112917.40

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      13.08
2                      12.30
4                      12.88
8                      13.36
16                     14.29
32                     15.24
64                     17.24
128                    21.49
256                    31.37
512                    48.32
1024                   76.00
2048                  129.74
4096                  228.12
8192                  471.42
16384                 884.16
32768                2663.25
65536                6422.39
131072              13859.70
262144              27862.74
524288              56596.18
1048576            112976.27
