
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     132.68
2                     132.64
4                     132.96
8                     134.37
16                    132.04
32                    132.60
64                    136.50
128                   143.71
256                   148.91
512                   126.00
1024                  138.67
2048                  177.03
4096                  232.18
8192                  374.89
16384                1025.79
32768                1796.24
65536                2753.88
131072               5237.73
262144              10278.24
524288              20418.23
1048576             42568.09

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     132.81
2                     132.93
4                     132.84
8                     134.37
16                    131.23
32                    132.77
64                    136.31
128                   143.47
256                   148.82
512                   126.14
1024                  140.32
2048                  176.81
4096                  232.13
8192                  374.13
16384                1023.71
32768                1799.74
65536                2749.86
131072               5244.09
262144              10276.03
524288              20505.47
1048576             42664.09

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     132.69
2                     132.70
4                     133.01
8                     134.39
16                    131.20
32                    132.55
64                    136.24
128                   143.25
256                   148.89
512                   125.81
1024                  140.71
2048                  176.67
4096                  231.74
8192                  373.91
16384                1026.02
32768                1810.84
65536                2760.40
131072               5240.95
262144              10306.86
524288              20387.59
1048576             42450.09

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     133.24
2                     132.41
4                     132.84
8                     134.24
16                    131.18
32                    132.58
64                    136.23
128                   143.38
256                   148.79
512                   126.03
1024                  140.54
2048                  178.43
4096                  233.39
8192                  374.94
16384                1029.94
32768                1806.95
65536                2763.64
131072               5264.73
262144              10316.47
524288              20489.25
1048576             42458.61

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     132.29
2                     132.44
4                     132.46
8                     134.19
16                    131.16
32                    132.50
64                    136.24
128                   143.36
256                   148.51
512                   125.89
1024                  137.94
2048                  176.27
4096                  231.59
8192                  373.65
16384                1024.28
32768                1803.56
65536                2746.87
131072               5203.75
262144              10275.16
524288              20363.34
1048576             42518.92

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     132.47
2                     132.51
4                     132.58
8                     134.19
16                    131.02
32                    132.27
64                    136.15
128                   143.27
256                   148.96
512                   125.99
1024                  138.05
2048                  176.87
4096                  232.45
8192                  375.43
16384                1026.26
32768                1802.71
65536                2754.24
131072               5222.86
262144              10330.28
524288              20344.80
1048576             42475.30

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     132.65
2                     132.62
4                     132.60
8                     134.10
16                    131.16
32                    132.47
64                    135.97
128                   143.28
256                   148.73
512                   125.92
1024                  139.16
2048                  175.02
4096                  231.82
8192                  374.35
16384                1024.26
32768                1807.00
65536                2751.57
131072               5228.01
262144              10275.68
524288              20495.59
1048576             42733.25

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     132.16
2                     132.20
4                     132.50
8                     133.94
16                    130.91
32                    132.32
64                    135.94
128                   143.13
256                   148.44
512                   125.74
1024                  136.99
2048                  177.51
4096                  231.81
8192                  374.48
16384                1022.65
32768                1792.20
65536                2745.69
131072               5206.80
262144              10299.51
524288              20428.64
1048576             42617.59

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     132.12
2                     132.15
4                     132.41
8                     133.97
16                    130.75
32                    132.04
64                    135.82
128                   142.97
256                   148.39
512                   125.89
1024                  139.15
2048                  177.36
4096                  231.97
8192                  374.18
16384                1022.65
32768                1790.63
65536                2747.16
131072               5226.29
262144              10312.56
524288              20431.35
1048576             42713.13

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     132.24
2                     132.44
4                     132.70
8                     134.14
16                    131.03
32                    132.37
64                    136.42
128                   143.28
256                   148.57
512                   125.90
1024                  138.84
2048                  176.22
4096                  231.83
8192                  373.78
16384                1024.13
32768                1801.93
65536                2750.73
131072               5227.12
262144              10298.27
524288              20559.65
1048576             42393.85

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     132.49
2                     132.33
4                     132.54
8                     134.13
16                    131.03
32                    132.29
64                    135.89
128                   143.24
256                   148.39
512                   125.76
1024                  139.78
2048                  174.92
4096                  231.93
8192                  374.49
16384                1023.90
32768                1795.59
65536                2747.85
131072               5242.34
262144              10256.06
524288              20493.12
1048576             42523.68
