
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.82
2                      68.47
4                      68.81
8                      69.74
16                     11.26
32                     11.73
64                     13.02
128                    76.20
256                    18.37
512                    23.52
1024                   33.37
2048                  167.93
4096                  277.05
8192                  424.67
16384                 928.79
32768                1811.27
65536                3875.42
131072               7098.16
262144              13494.97
524288              26772.22
1048576             55345.72

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      12.01
2                      68.46
4                      68.85
8                      69.77
16                     11.31
32                     11.79
64                     13.06
128                    76.20
256                    18.35
512                    23.52
1024                   33.42
2048                  168.02
4096                  277.36
8192                  423.96
16384                 928.42
32768                1792.43
65536                3800.47
131072               7007.08
262144              13397.86
524288              26799.77
1048576             54995.88

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.78
2                      68.51
4                      68.89
8                      69.77
16                     11.55
32                     11.73
64                     13.04
128                    76.29
256                    18.38
512                    23.57
1024                   33.32
2048                  169.76
4096                  278.77
8192                  425.53
16384                 929.06
32768                1782.52
65536                3859.61
131072               7011.40
262144              13474.09
524288              27209.84
1048576             55639.76

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.88
2                      68.52
4                      68.82
8                      69.77
16                     11.31
32                     11.80
64                     13.07
128                    76.21
256                    18.34
512                    23.49
1024                   33.42
2048                  167.93
4096                  277.69
8192                  424.28
16384                 928.40
32768                1804.19
65536                3839.02
131072               7071.37
262144              13458.87
524288              27084.37
1048576             55709.89

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.83
2                      68.46
4                      68.77
8                      69.73
16                     11.44
32                     11.86
64                     13.06
128                    76.19
256                    18.32
512                    23.54
1024                   33.39
2048                  167.51
4096                  277.44
8192                  423.61
16384                 931.82
32768                1803.74
65536                3805.30
131072               6993.76
262144              13447.75
524288              26923.73
1048576             55300.71

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.84
2                      68.46
4                      68.81
8                      69.81
16                     11.28
32                     11.79
64                     13.02
128                    76.61
256                    18.28
512                    23.49
1024                   33.72
2048                  168.59
4096                  279.96
8192                  425.47
16384                 928.75
32768                1788.47
65536                3816.51
131072               7071.53
262144              13455.09
524288              27158.39
1048576             55032.53

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.89
2                      68.61
4                      68.85
8                      69.81
16                     11.34
32                     11.85
64                     13.17
128                    76.23
256                    18.41
512                    23.59
1024                   33.46
2048                  167.79
4096                  277.77
8192                  424.66
16384                 928.41
32768                1821.88
65536                3831.32
131072               7121.24
262144              13500.58
524288              27072.30
1048576             55463.53

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.85
2                      68.54
4                      68.86
8                      69.89
16                     11.31
32                     11.77
64                     13.07
128                    76.21
256                    18.29
512                    23.52
1024                   33.40
2048                  167.86
4096                  278.19
8192                  424.59
16384                 926.74
32768                1841.55
65536                3821.85
131072               7073.53
262144              13403.84
524288              26952.76
1048576             55025.41

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.92
2                      68.51
4                      68.86
8                      69.73
16                     11.32
32                     11.83
64                     13.10
128                    76.19
256                    18.35
512                    23.58
1024                   33.39
2048                  167.65
4096                  277.53
8192                  424.86
16384                 927.15
32768                1783.17
65536                3851.35
131072               7071.89
262144              13476.29
524288              27176.58
1048576             54966.96

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.84
2                      68.46
4                      68.81
8                      69.76
16                     11.51
32                     11.84
64                     13.01
128                    76.21
256                    18.34
512                    23.59
1024                   33.38
2048                  167.94
4096                  277.53
8192                  423.80
16384                 927.79
32768                1812.38
65536                3859.89
131072               7066.17
262144              13511.85
524288              26998.93
1048576             55166.60

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      11.93
2                      68.48
4                      68.82
8                      69.75
16                     11.33
32                     11.83
64                     13.15
128                    76.21
256                    18.32
512                    23.54
1024                   33.44
2048                  168.35
4096                  277.60
8192                  427.57
16384                 929.99
32768                1780.46
65536                3860.20
131072               7037.42
262144              13484.01
524288              26977.57
1048576             55436.70
