
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      26.81
2                      25.75
4                      25.89
8                      26.56
16                     23.48
32                     24.33
64                     26.47
128                    29.15
256                    33.93
512                    40.69
1024                   55.77
2048                   89.76
4096                  171.20
8192                  285.99
16384                 879.97
32768                1538.14
65536                2836.49
131072               6319.90
262144              12308.12
524288              24898.90
1048576             50451.76

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      27.16
2                      26.06
4                      26.22
8                      26.82
16                     23.78
32                     24.48
64                     26.67
128                    29.52
256                    34.18
512                    40.93
1024                   56.42
2048                   90.86
4096                  173.02
8192                  287.80
16384                 883.07
32768                1550.50
65536                2839.49
131072               6289.62
262144              12302.44
524288              24898.91
1048576             50354.40

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      27.57
2                      26.35
4                      26.56
8                      27.09
16                     24.06
32                     24.77
64                     27.02
128                    29.76
256                    34.58
512                    41.29
1024                   56.92
2048                   91.98
4096                  175.36
8192                  291.10
16384                 887.03
32768                1547.64
65536                2881.66
131072               6290.27
262144              12284.41
524288              24934.73
1048576             50418.75

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      27.35
2                      26.39
4                      26.38
8                      26.98
16                     24.10
32                     25.02
64                     26.96
128                    29.44
256                    34.31
512                    40.98
1024                   56.30
2048                   90.67
4096                  172.22
8192                  286.46
16384                 879.24
32768                1543.12
65536                2836.92
131072               6276.26
262144              12293.59
524288              24889.14
1048576             50465.08

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      27.04
2                      25.77
4                      25.81
8                      26.55
16                     23.56
32                     24.22
64                     26.51
128                    29.20
256                    34.05
512                    40.72
1024                   55.83
2048                   90.30
4096                  171.87
8192                  287.19
16384                 877.73
32768                1538.53
65536                2840.97
131072               6265.04
262144              12276.97
524288              24784.02
1048576             50330.27

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      27.05
2                      25.88
4                      26.15
8                      26.79
16                     23.60
32                     24.21
64                     26.43
128                    29.11
256                    33.89
512                    40.59
1024                   55.81
2048                   90.29
4096                  171.88
8192                  286.19
16384                 879.96
32768                1538.78
65536                2842.42
131072               6287.90
262144              12288.76
524288              24817.62
1048576             50412.80

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      27.06
2                      26.02
4                      26.21
8                      26.90
16                     23.83
32                     24.42
64                     26.76
128                    29.48
256                    34.26
512                    40.93
1024                   56.26
2048                   90.72
4096                  171.42
8192                  286.04
16384                 880.43
32768                1541.84
65536                2827.46
131072               6295.01
262144              12265.12
524288              24955.27
1048576             50411.92

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      27.14
2                      25.99
4                      26.07
8                      26.75
16                     23.77
32                     24.55
64                     26.69
128                    29.43
256                    34.28
512                    40.87
1024                   56.26
2048                   90.69
4096                  173.43
8192                  288.03
16384                 882.93
32768                1545.42
65536                2848.84
131072               6306.86
262144              12307.16
524288              24825.84
1048576             50522.39

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      27.00
2                      26.05
4                      26.06
8                      26.76
16                     23.82
32                     24.56
64                     26.70
128                    29.42
256                    34.21
512                    40.92
1024                   56.18
2048                   90.43
4096                  172.97
8192                  287.38
16384                 877.48
32768                1538.38
65536                2857.01
131072               6210.40
262144              12318.02
524288              24896.98
1048576             50477.85

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      27.34
2                      25.86
4                      25.97
8                      26.63
16                     23.63
32                     24.32
64                     26.60
128                    29.30
256                    33.94
512                    40.62
1024                   56.01
2048                   90.29
4096                  172.13
8192                  287.63
16384                 881.35
32768                1544.96
65536                2826.52
131072               6288.05
262144              12281.07
524288              24841.40
1048576             50466.67

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      27.81
2                      26.74
4                      26.81
8                      27.53
16                     24.11
32                     24.68
64                     26.99
128                    29.73
256                    34.58
512                    41.32
1024                   56.54
2048                   90.91
4096                  173.41
8192                  287.70
16384                 879.99
32768                1537.08
65536                2847.54
131072               6282.45
262144              12287.46
524288              24869.35
1048576             50528.18
