
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.09
2                       6.68
4                       6.97
8                       7.84
16                      7.36
32                      7.97
64                      8.92
128                    10.67
256                    13.51
512                    17.87
1024                   26.11
2048                   47.43
4096                  141.22
8192                  199.88
16384                 604.54
32768                 883.14
65536                1590.52
131072               2490.29
262144               4716.30
524288               8835.65
1048576             18597.48

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.07
2                       6.63
4                       6.90
8                       7.88
16                      7.31
32                      7.92
64                      8.94
128                    10.64
256                    13.47
512                    17.81
1024                   26.02
2048                   47.18
4096                  138.00
8192                  200.05
16384                 604.62
32768                 883.40
65536                1654.87
131072               2512.75
262144               4682.79
524288               8889.81
1048576             18696.14

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.30
2                       6.88
4                       7.19
8                       8.02
16                      7.32
32                      7.95
64                      8.88
128                    10.66
256                    13.47
512                    17.80
1024                   26.12
2048                   47.48
4096                  138.34
8192                  201.15
16384                 603.50
32768                 884.66
65536                1635.22
131072               2454.97
262144               4656.44
524288               8852.38
1048576             18289.89

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.11
2                       6.70
4                       7.01
8                       7.85
16                      7.32
32                      7.98
64                      8.92
128                    10.70
256                    13.58
512                    17.82
1024                   26.20
2048                   47.60
4096                  151.60
8192                  203.47
16384                 605.57
32768                 886.29
65536                1671.06
131072               2578.20
262144               4710.85
524288               8882.53
1048576             18252.89

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.15
2                       6.68
4                       7.01
8                       7.85
16                      7.33
32                      7.94
64                      8.93
128                    10.73
256                    13.52
512                    17.89
1024                   26.12
2048                   47.56
4096                  138.89
8192                  201.89
16384                 605.22
32768                 887.62
65536                1691.35
131072               2599.53
262144               4741.14
524288               8836.45
1048576             18070.79

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.15
2                       6.64
4                       6.97
8                       7.89
16                      7.35
32                      7.94
64                      8.90
128                    10.70
256                    13.49
512                    17.81
1024                   26.02
2048                   47.03
4096                  137.64
8192                  199.96
16384                 605.08
32768                 888.45
65536                1621.66
131072               2496.99
262144               4665.62
524288               8869.53
1048576             18321.78

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.12
2                       6.71
4                       7.00
8                       7.91
16                      7.40
32                      8.01
64                      8.93
128                    10.74
256                    13.58
512                    17.98
1024                   26.38
2048                   47.85
4096                  139.63
8192                  199.73
16384                 603.36
32768                 882.55
65536                1575.54
131072               2474.84
262144               4634.12
524288               8832.50
1048576             18213.05

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.09
2                       6.64
4                       7.03
8                       7.92
16                      7.33
32                      7.95
64                      8.92
128                    10.74
256                    13.49
512                    17.85
1024                   26.28
2048                   47.60
4096                  140.08
8192                  201.07
16384                 604.07
32768                 884.90
65536                1619.85
131072               2504.67
262144               4691.23
524288               8872.16
1048576             18291.57

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.20
2                       6.79
4                       7.07
8                       7.98
16                      7.44
32                      8.04
64                      9.01
128                    10.84
256                    13.65
512                    18.03
1024                   26.44
2048                   47.95
4096                  138.30
8192                  199.67
16384                 604.21
32768                 885.96
65536                1632.90
131072               2506.52
262144               4709.48
524288               8848.03
1048576             18353.66

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.16
2                       6.78
4                       7.02
8                       7.97
16                      7.38
32                      7.97
64                      8.94
128                    10.81
256                    13.53
512                    17.89
1024                   26.25
2048                   47.64
4096                  140.12
8192                  202.51
16384                 606.69
32768                 890.14
65536                1614.41
131072               2604.47
262144               4719.36
524288               8856.34
1048576             18253.68

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.22
2                       6.61
4                       6.95
8                       7.94
16                      7.33
32                      7.99
64                      8.94
128                    10.73
256                    13.44
512                    17.83
1024                   26.02
2048                   47.15
4096                  137.23
8192                  199.54
16384                 602.86
32768                 882.28
65536                1638.66
131072               2481.15
262144               4702.26
524288               8890.41
1048576             18329.96
