
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      32.43
2                      32.60
4                      32.90
8                      32.73
16                     33.58
32                     33.02
64                     33.33
128                    34.07
256                    40.92
512                    45.92
1024                   55.83
2048                   75.83
4096                  121.22
8192                  197.23
16384                 376.93
32768                 729.15
65536                1653.10
131072               3387.85
262144               7408.88
524288              15830.20
1048576             32111.96

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      32.54
2                      32.88
4                      32.58
8                      32.52
16                     33.36
32                     33.20
64                     33.21
128                    34.35
256                    41.09
512                    45.85
1024                   55.71
2048                   75.71
4096                  120.89
8192                  196.76
16384                 372.59
32768                 733.22
65536                1654.41
131072               3387.36
262144               7391.16
524288              15821.29
1048576             32143.10

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      33.00
2                      32.50
4                      33.01
8                      33.09
16                     33.61
32                     33.26
64                     33.53
128                    34.49
256                    41.06
512                    46.42
1024                   55.67
2048                   75.61
4096                  120.89
8192                  196.53
16384                 366.96
32768                 773.91
65536                1654.63
131072               3382.86
262144               7391.83
524288              15824.20
1048576             32100.49

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      30.56
2                      30.14
4                      30.31
8                      30.56
16                     31.47
32                     30.96
64                     31.57
128                    33.49
256                    40.60
512                    45.75
1024                   56.29
2048                   75.60
4096                  120.69
8192                  197.56
16384                 365.51
32768                 796.75
65536                1655.15
131072               3390.84
262144               7382.62
524288              15826.05
1048576             32146.58

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      32.69
2                      32.36
4                      33.29
8                      32.92
16                     33.39
32                     33.28
64                     33.26
128                    34.18
256                    41.06
512                    45.97
1024                   55.78
2048                   75.79
4096                  121.20
8192                  197.07
16384                 362.00
32768                 734.19
65536                1651.77
131072               3384.96
262144               7405.66
524288              15835.33
1048576             32125.21

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      32.55
2                      32.07
4                      32.72
8                      32.32
16                     33.18
32                     33.05
64                     33.23
128                    34.19
256                    41.06
512                    45.94
1024                   55.71
2048                   75.53
4096                  120.71
8192                  196.67
16384                 369.65
32768                 726.01
65536                1655.39
131072               3387.77
262144               7400.09
524288              15828.41
1048576             32125.75

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      32.04
2                      32.32
4                      32.68
8                      32.50
16                     33.33
32                     33.09
64                     33.36
128                    34.15
256                    41.06
512                    45.89
1024                   55.67
2048                   75.59
4096                  120.83
8192                  196.74
16384                 371.38
32768                 774.97
65536                1649.77
131072               3388.02
262144               7384.61
524288              15846.40
1048576             32165.49

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      32.41
2                      32.85
4                      32.51
8                      32.46
16                     32.89
32                     32.83
64                     33.25
128                    35.06
256                    41.02
512                    45.89
1024                   55.72
2048                   75.42
4096                  120.68
8192                  196.50
16384                 360.74
32768                 726.98
65536                1651.46
131072               3387.45
262144               7402.10
524288              15839.07
1048576             32167.59

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      32.51
2                      32.23
4                      32.23
8                      32.54
16                     33.36
32                     32.78
64                     32.92
128                    34.44
256                    40.99
512                    45.88
1024                   55.81
2048                   75.77
4096                  121.03
8192                  197.08
16384                 370.20
32768                 730.56
65536                1652.51
131072               3383.85
262144               7400.79
524288              15829.20
1048576             32123.75

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      32.84
2                      32.10
4                      32.74
8                      33.20
16                     33.19
32                     33.61
64                     33.31
128                    34.50
256                    41.23
512                    46.25
1024                   55.78
2048                   76.20
4096                  121.22
8192                  197.71
16384                 373.36
32768                 734.68
65536                1657.66
131072               3390.04
262144               7394.19
524288              15820.23
1048576             32137.90

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      32.77
2                      32.48
4                      32.50
8                      32.85
16                     33.15
32                     33.99
64                     33.17
128                    34.29
256                    41.04
512                    45.95
1024                   55.74
2048                   75.64
4096                  120.91
8192                  196.97
16384                 371.94
32768                 762.10
65536                1651.22
131072               3386.53
262144               7401.05
524288              15822.11
1048576             32113.09
