
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.72
2                       6.38
4                       6.43
8                       7.05
16                      7.76
32                      8.22
64                      8.98
128                    10.44
256                    13.86
512                    21.79
1024                   35.49
2048                   53.91
4096                   89.70
8192                  161.96
16384                 360.81
32768                 662.99
65536                2512.12
131072               5940.85
262144              12815.16
524288              26495.73
1048576             52773.85

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.76
2                       6.47
4                       6.47
8                       7.17
16                      7.78
32                      8.30
64                      9.07
128                    10.58
256                    13.92
512                    21.88
1024                   36.17
2048                   54.57
4096                   90.16
8192                  162.99
16384                 364.09
32768                 666.97
65536                2529.26
131072               5852.37
262144              12974.73
524288              26348.04
1048576             52572.93

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.71
2                       6.53
4                       6.55
8                       7.21
16                      7.86
32                      8.37
64                      9.14
128                    10.66
256                    14.02
512                    22.22
1024                   36.37
2048                   54.96
4096                   90.95
8192                  163.24
16384                 363.29
32768                 670.25
65536                2512.20
131072               5946.69
262144              12864.84
524288              26291.22
1048576             53031.50

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.68
2                       6.51
4                       6.52
8                       7.29
16                      7.90
32                      8.38
64                      9.11
128                    10.61
256                    13.99
512                    22.13
1024                   36.35
2048                   54.62
4096                   90.46
8192                  161.29
16384                 358.35
32768                 658.96
65536                2412.93
131072               5903.08
262144              12821.39
524288              26342.73
1048576             52929.97

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.87
2                       6.61
4                       6.65
8                       7.37
16                      7.94
32                      8.46
64                      9.20
128                    10.70
256                    14.00
512                    22.11
1024                   36.46
2048                   55.11
4096                   90.62
8192                  161.36
16384                 358.85
32768                 658.85
65536                2493.55
131072               5958.55
262144              12913.68
524288              26224.88
1048576             53103.96

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.75
2                       6.43
4                       6.35
8                       7.10
16                      7.66
32                      8.18
64                      8.94
128                    10.44
256                    13.81
512                    21.61
1024                   35.84
2048                   53.89
4096                   89.62
8192                  160.62
16384                 357.41
32768                 659.80
65536                2543.40
131072               6019.31
262144              12869.34
524288              26530.07
1048576             52821.59

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.77
2                       6.36
4                       6.43
8                       7.02
16                      7.70
32                      8.19
64                      8.96
128                    10.49
256                    13.81
512                    21.69
1024                   35.81
2048                   53.88
4096                   89.81
8192                  161.68
16384                 358.88
32768                 663.11
65536                2494.95
131072               5945.79
262144              12910.14
524288              26195.36
1048576             52845.74

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       7.09
2                       6.44
4                       6.48
8                       7.16
16                      7.78
32                      8.26
64                      9.01
128                    10.52
256                    14.08
512                    22.14
1024                   36.15
2048                   54.69
4096                   90.10
8192                  162.41
16384                 360.65
32768                 662.72
65536                2528.53
131072               5621.43
262144              12943.86
524288              26451.69
1048576             52849.95

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.76
2                       6.43
4                       6.46
8                       7.11
16                      7.75
32                      8.24
64                      9.02
128                    10.51
256                    13.89
512                    21.95
1024                   35.71
2048                   53.73
4096                   91.44
8192                  162.48
16384                 358.60
32768                 661.43
65536                2519.63
131072               5646.84
262144              12975.64
524288              26803.40
1048576             52130.13

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.83
2                       6.39
4                       6.45
8                       7.08
16                      7.72
32                      8.22
64                      9.02
128                    10.47
256                    13.69
512                    21.63
1024                   35.86
2048                   53.96
4096                   90.10
8192                  161.17
16384                 358.84
32768                 662.48
65536                2484.02
131072               5927.28
262144              12789.52
524288              26515.93
1048576             52587.22

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                       6.85
2                       6.41
4                       6.43
8                       7.14
16                      7.74
32                      8.23
64                      9.01
128                    10.56
256                    13.91
512                    21.87
1024                   35.83
2048                   54.20
4096                   89.73
8192                  161.22
16384                 358.73
32768                 663.17
65536                2515.04
131072               5905.48
262144              12892.88
524288              26491.54
1048576             52725.28
