
		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      22.44
2                      21.34
4                      20.64
8                      20.66
16                     20.85
32                     21.00
64                     21.45
128                    23.19
256                    28.73
512                    30.22
1024                   34.18
2048                   41.48
4096                   58.19
8192                   88.00
16384                 311.96
32768                 440.44
65536                 700.96
131072               1214.20
262144               2708.15
524288               7008.86
1048576             14013.03

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      21.52
2                      20.31
4                      20.36
8                      20.65
16                     21.18
32                     20.98
64                     21.51
128                    23.13
256                    28.52
512                    30.08
1024                   34.13
2048                   41.48
4096                   58.05
8192                   88.00
16384                 307.88
32768                 443.29
65536                 698.81
131072               1208.67
262144               2720.35
524288               7027.28
1048576             14042.77

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      22.77
2                      20.43
4                      20.47
8                      20.70
16                     21.00
32                     20.94
64                     21.37
128                    23.01
256                    28.53
512                    30.16
1024                   34.22
2048                   41.52
4096                   57.96
8192                   87.67
16384                 315.96
32768                 437.70
65536                 700.81
131072               1202.20
262144               2710.18
524288               7066.48
1048576             13116.03

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      23.02
2                      20.54
4                      20.36
8                      20.75
16                     20.75
32                     20.73
64                     21.24
128                    23.10
256                    28.60
512                    30.28
1024                   34.30
2048                   41.37
4096                   57.89
8192                   87.35
16384                 316.67
32768                 435.63
65536                 700.29
131072               1207.87
262144               2715.88
524288               7062.90
1048576             13613.56

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      21.92
2                      20.27
4                      20.65
8                      20.60
16                     20.70
32                     20.81
64                     21.32
128                    22.98
256                    28.48
512                    30.02
1024                   34.10
2048                   41.53
4096                   58.08
8192                   87.85
16384                 308.12
32768                 438.92
65536                 698.84
131072               1220.77
262144               2720.64
524288               7059.60
1048576             13794.06

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      21.71
2                      21.47
4                      20.38
8                      20.54
16                     20.84
32                     20.77
64                     21.37
128                    23.02
256                    29.04
512                    31.13
1024                   34.55
2048                   41.92
4096                   58.51
8192                   88.05
16384                 307.72
32768                 437.26
65536                 700.85
131072               1195.69
262144               2711.88
524288               7052.21
1048576             14119.77

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      21.94
2                      20.32
4                      20.18
8                      20.50
16                     20.93
32                     20.81
64                     21.64
128                    23.10
256                    28.66
512                    30.42
1024                   34.44
2048                   41.78
4096                   58.43
8192                   88.26
16384                 310.57
32768                 435.37
65536                 700.73
131072               1201.75
262144               2716.94
524288               7048.31
1048576             13875.37

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      23.23
2                      20.24
4                      20.31
8                      20.56
16                     20.65
32                     20.93
64                     21.17
128                    22.93
256                    28.80
512                    30.58
1024                   34.46
2048                   41.57
4096                   58.44
8192                   87.94
16384                 306.07
32768                 437.32
65536                 701.14
131072               1210.83
262144               2701.51
524288               7036.53
1048576             14391.92

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      23.48
2                      20.83
4                      20.48
8                      20.68
16                     20.62
32                     20.75
64                     21.22
128                    23.16
256                    28.49
512                    30.07
1024                   34.26
2048                   41.71
4096                   57.96
8192                   88.02
16384                 313.02
32768                 453.94
65536                 699.73
131072               1211.29
262144               2716.14
524288               7087.44
1048576             13750.32

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      21.15
2                      20.57
4                      20.62
8                      20.54
16                     20.72
32                     20.72
64                     21.25
128                    22.84
256                    28.59
512                    30.30
1024                   34.15
2048                   41.58
4096                   58.13
8192                   88.16
16384                 306.45
32768                 434.49
65536                 697.71
131072               1205.78
262144               2713.82
524288               6921.10
1048576             14256.31

		****** Secure Run with BoringSSL  128  GCM-SIV ********

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      22.05
2                      20.40
4                      20.40
8                      20.67
16                     20.70
32                     20.80
64                     21.29
128                    22.97
256                    28.58
512                    30.22
1024                   34.24
2048                   41.54
4096                   58.10
8192                   87.68
16384                 311.92
32768                 437.50
65536                 699.92
131072               1206.77
262144               2726.08
524288               7026.31
1048576             14276.61
