
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.60
2                     158.63
4                     160.06
8                     163.59
16                    158.48
32                    162.27
64                    166.15
128                   185.19
256                   200.19
512                   237.62
1024                  313.61
2048                  463.31

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.57
2                     158.59
4                     159.95
8                     163.52
16                    158.46
32                    162.24
64                    166.11
128                   184.76
256                   200.16
512                   237.75
1024                  314.09
2048                  463.22

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.76
2                     158.71
4                     160.09
8                     163.57
16                    158.56
32                    162.20
64                    166.16
128                   183.72
256                   200.09
512                   237.68
1024                  314.49
2048                  462.77

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.67
2                     158.58
4                     159.97
8                     163.54
16                    158.49
32                    162.04
64                    166.09
128                   186.15
256                   200.02
512                   237.68
1024                  314.14
2048                  462.36

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.68
2                     158.71
4                     160.07
8                     163.60
16                    158.60
32                    162.22
64                    166.16
128                   185.40
256                   200.23
512                   237.82
1024                  314.30
2048                  463.76

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.65
2                     158.63
4                     160.02
8                     163.48
16                    158.51
32                    162.15
64                    166.17
128                   183.75
256                   199.96
512                   237.44
1024                  314.60
2048                  463.77

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.73
2                     158.76
4                     160.08
8                     163.65
16                    158.67
32                    162.28
64                    166.18
128                   183.42
256                   200.23
512                   237.65
1024                  313.96
2048                  463.47

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.65
2                     158.69
4                     160.03
8                     163.54
16                    158.60
32                    162.17
64                    166.09
128                   184.53
256                   200.02
512                   237.60
1024                  314.54
2048                  463.15

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.75
2                     158.74
4                     160.11
8                     163.57
16                    158.58
32                    162.12
64                    166.15
128                   184.15
256                   200.20
512                   237.61
1024                  314.94
2048                  462.81

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                     159.86
2                     158.74
4                     160.17
8                     163.63
16                    158.65
32                    162.27
64                    166.21
128                   185.03
256                   200.38
512                   237.97
1024                  314.23
2048                  464.13
