
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      43.95
2                      42.52
4                      43.23
8                      45.90
16                     41.83
32                     45.47
64                     47.96
128                    53.79
256                    61.25
512                    78.12
1024                  119.32
2048                  213.67

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      43.46
2                      42.27
4                      43.10
8                      45.24
16                     41.57
32                     45.16
64                     47.40
128                    52.94
256                    61.17
512                    78.13
1024                  119.80
2048                  213.54

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      41.79
2                      40.83
4                      41.59
8                      44.13
16                     40.22
32                     43.33
64                     46.19
128                    52.18
256                    61.00
512                    78.15
1024                  119.68
2048                  214.19

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      43.18
2                      41.90
4                      42.66
8                      45.05
16                     41.40
32                     44.81
64                     47.48
128                    53.13
256                    61.13
512                    78.16
1024                  119.46
2048                  213.76

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.91
2                      41.45
4                      42.45
8                      44.76
16                     41.23
32                     44.44
64                     47.06
128                    52.70
256                    61.06
512                    78.27
1024                  119.54
2048                  213.77

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      41.77
2                      40.86
4                      41.51
8                      44.12
16                     40.37
32                     43.49
64                     46.37
128                    52.39
256                    60.87
512                    78.05
1024                  119.57
2048                  214.10

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      41.52
2                      40.62
4                      41.64
8                      44.12
16                     40.27
32                     43.43
64                     46.33
128                    52.30
256                    60.97
512                    78.34
1024                  119.77
2048                  214.66

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      42.35
2                      41.42
4                      42.35
8                      44.48
16                     40.74
32                     44.01
64                     46.75
128                    52.44
256                    60.95
512                    78.12
1024                  119.79
2048                  214.26

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      41.71
2                      40.90
4                      41.82
8                      44.19
16                     40.43
32                     43.51
64                     46.40
128                    52.40
256                    60.93
512                    78.11
1024                  119.66
2048                  213.61

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      44.20
2                      42.78
4                      43.97
8                      46.24
16                     42.05
32                     45.54
64                     48.17
128                    53.25
256                    61.34
512                    78.18
1024                  119.74
2048                  214.20
