
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.79
2                      13.98
4                      14.41
8                      15.71
16                     17.19
32                     18.84
64                     22.32
128                    28.52
256                    47.50
512                    76.59
1024                  139.01
2048                  253.56

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.68
2                      13.97
4                      14.40
8                      15.67
16                     17.25
32                     18.84
64                     22.32
128                    28.52
256                    47.29
512                    76.62
1024                  138.83
2048                  253.44

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.75
2                      13.99
4                      14.40
8                      15.70
16                     17.24
32                     18.88
64                     22.26
128                    28.45
256                    47.26
512                    76.45
1024                  138.88
2048                  253.49

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.63
2                      13.94
4                      14.40
8                      15.70
16                     17.18
32                     18.84
64                     22.27
128                    28.53
256                    47.29
512                    76.47
1024                  138.90
2048                  253.44

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.62
2                      13.97
4                      14.40
8                      15.66
16                     17.21
32                     18.90
64                     22.30
128                    28.49
256                    47.36
512                    76.60
1024                  138.69
2048                  253.59

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.82
2                      13.98
4                      14.46
8                      15.82
16                     17.29
32                     18.90
64                     22.32
128                    28.47
256                    47.46
512                    76.61
1024                  139.12
2048                  253.63

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.71
2                      13.97
4                      14.41
8                      15.72
16                     17.21
32                     18.84
64                     22.28
128                    28.46
256                    47.36
512                    76.55
1024                  138.83
2048                  253.54

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.82
2                      13.98
4                      14.41
8                      15.72
16                     17.20
32                     18.91
64                     22.28
128                    28.50
256                    47.43
512                    76.57
1024                  138.73
2048                  253.70

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.69
2                      13.90
4                      14.38
8                      15.71
16                     17.23
32                     18.85
64                     22.29
128                    28.48
256                    47.29
512                    76.48
1024                  138.49
2048                  253.43

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      15.68
2                      13.93
4                      14.38
8                      15.71
16                     17.23
32                     18.84
64                     22.30
128                    28.50
256                    47.45
512                    76.61
1024                  138.84
2048                  253.97
