
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      22.39
2                      20.29
4                      20.36
8                      20.58
16                     21.04
32                     21.71
64                     23.85
128                    26.94
256                    32.69
512                    41.37
1024                   58.44
2048                   89.95
4096                  153.78
8192                  293.61
16384                 591.88
32768                1371.26
65536                2854.72
131072               6006.45
262144              12517.26
524288              24976.07
1048576             49275.05
2097152             98037.88

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      22.35
2                      20.24
4                      20.31
8                      20.53
16                     21.00
32                     21.69
64                     23.80
128                    26.98
256                    32.65
512                    41.38
1024                   58.48
2048                   89.88
4096                  153.87
8192                  294.96
16384                 595.61
32768                1382.84
65536                2837.82
131072               6014.82
262144              12488.26
524288              24991.79
1048576             49339.13
2097152             98096.53

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      22.30
2                      20.19
4                      20.30
8                      20.50
16                     20.93
32                     21.60
64                     23.76
128                    26.88
256                    32.72
512                    41.31
1024                   58.30
2048                   89.52
4096                  153.16
8192                  293.48
16384                 589.66
32768                1367.50
65536                2845.84
131072               6016.79
262144              12513.68
524288              24989.55
1048576             49272.18
2097152             98149.30

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      22.34
2                      20.26
4                      20.29
8                      20.47
16                     20.93
32                     21.65
64                     23.77
128                    26.89
256                    32.73
512                    41.39
1024                   58.45
2048                   89.85
4096                  153.28
8192                  293.63
16384                 592.28
32768                1369.42
65536                2843.59
131072               6005.53
262144              12457.56
524288              24934.42
1048576             49304.63
2097152             98133.51

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      22.31
2                      20.19
4                      20.30
8                      20.51
16                     20.98
32                     21.67
64                     23.76
128                    26.98
256                    32.67
512                    41.38
1024                   58.53
2048                   89.89
4096                  154.18
8192                  292.91
16384                 593.40
32768                1375.78
65536                2835.78
131072               6006.02
262144              12494.05
524288              24936.67
1048576             49314.03
2097152             97967.89
