
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      23.68
2                      21.04
4                      21.25
8                      21.48
16                     21.99
32                     22.72
64                     24.70
128                    27.90
256                    34.36
512                    43.79
1024                   62.62
2048                   97.20
4096                  182.66
8192                  404.32
16384                1129.03
32768                4608.95
65536                9284.35
131072              17586.67
262144              35904.50
524288              64385.09
1048576            113944.61
2097152            213158.46

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      23.74
2                      21.01
4                      21.30
8                      21.48
16                     21.93
32                     22.59
64                     24.69
128                    27.87
256                    34.30
512                    43.85
1024                   62.60
2048                   97.16
4096                  182.23
8192                  403.61
16384                1125.34
32768                4621.37
65536                9249.42
131072              17687.06
262144              35846.36
524288              64626.71
1048576            113652.17
2097152            213377.60

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      23.72
2                      21.02
4                      21.21
8                      21.43
16                     21.92
32                     22.64
64                     24.68
128                    27.85
256                    34.25
512                    43.68
1024                   62.47
2048                   96.76
4096                  182.23
8192                  402.02
16384                1121.43
32768                4626.68
65536                9193.20
131072              17554.31
262144              35787.21
524288              64428.16
1048576            113997.89
2097152            213215.58

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      23.59
2                      21.04
4                      21.27
8                      21.43
16                     22.00
32                     22.65
64                     24.72
128                    27.89
256                    34.34
512                    43.73
1024                   62.41
2048                   96.96
4096                  182.12
8192                  402.67
16384                1132.14
32768                4613.24
65536                9290.22
131072              17634.56
262144              35795.52
524288              64573.90
1048576            113835.41
2097152            213295.18

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      23.60
2                      21.04
4                      21.29
8                      21.43
16                     21.94
32                     22.69
64                     24.90
128                    27.93
256                    34.32
512                    43.94
1024                   62.57
2048                   97.09
4096                  182.83
8192                  403.23
16384                1130.62
32768                4575.98
65536                9277.01
131072              17448.18
262144              36129.71
524288              64627.93
1048576            114112.90
2097152            213366.60
