
# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      44.62
2                      44.00
4                      44.22
8                      44.91
16                     46.05
32                     45.62
64                     46.23
128                    47.95
256                    59.60
512                    68.98
1024                   84.72
2048                  112.96
4096                  166.62
8192                  284.75
16384                 512.98
32768                 987.05
65536                2172.75
131072               4301.83
262144               9121.24
524288              18896.57
1048576             38204.41
2097152             76925.80

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      44.51
2                      44.12
4                      44.19
8                      44.74
16                     45.87
32                     45.54
64                     46.19
128                    48.11
256                    59.59
512                    69.03
1024                   84.76
2048                  112.94
4096                  166.55
8192                  283.52
16384                 516.57
32768                 988.07
65536                2165.51
131072               4304.83
262144               9118.61
524288              18909.62
1048576             38168.14
2097152             76971.20

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      44.71
2                      44.26
4                      44.35
8                      44.76
16                     45.99
32                     45.66
64                     46.22
128                    48.28
256                    59.66
512                    69.08
1024                   84.81
2048                  112.85
4096                  166.65
8192                  283.70
16384                 514.87
32768                 987.90
65536                2172.72
131072               4297.53
262144               9114.33
524288              18909.90
1048576             38157.70
2097152             76909.25

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      44.79
2                      44.21
4                      44.32
8                      44.94
16                     46.30
32                     45.84
64                     46.30
128                    48.29
256                    59.79
512                    69.17
1024                   84.67
2048                  112.73
4096                  166.53
8192                  284.11
16384                 513.67
32768                 993.76
65536                2170.20
131072               4299.87
262144               9127.25
524288              18909.68
1048576             38207.55
2097152             76811.22

# OSU MPI Allgather Latency Test v5.6.2
# Size       Avg Latency(us)
1                      44.57
2                      44.21
4                      44.31
8                      44.75
16                     46.16
32                     45.87
64                     46.44
128                    47.98
256                    59.70
512                    69.01
1024                   84.68
2048                  112.72
4096                  166.78
8192                  283.96
16384                 512.17
32768                 987.55
65536                2170.80
131072               4293.24
262144               9122.31
524288              18906.89
1048576             38185.28
2097152             76964.07
